"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","64.03","65.20","65.31","63.97","3.34M","-1.69%"
"02/02/2023","65.13","65.10","65.81","64.77","2.63M","0.00%"
"02/01/2023","65.13","65.39","65.60","64.07","2.53M","-0.94%"
"01/31/2023","65.75","64.40","65.75","63.88","2.94M","2.57%"
"01/30/2023","64.10","65.47","65.47","64.00","3.27M","-2.47%"
"01/27/2023","65.72","65.48","65.73","64.60","2.70M","0.35%"
"01/26/2023","65.49","65.84","65.91","64.86","1.61M","-0.49%"
"01/25/2023","65.81","64.94","65.94","64.75","2.06M","0.87%"
"01/24/2023","65.24","66.00","74.07","65.06","2.05M","-1.38%"
"01/23/2023","66.15","64.96","66.34","64.73","2.52M","2.24%"
"01/20/2023","64.70","63.68","64.72","63.20","2.60M","1.91%"
"01/19/2023","63.49","63.64","63.83","63.01","2.12M","-0.59%"
"01/18/2023","63.87","65.28","65.74","63.82","2.18M","-2.28%"
"01/17/2023","65.36","64.98","65.78","64.98","2.58M","0.58%"
"01/13/2023","64.98","64.48","65.02","64.39","2.13M","0.23%"
"01/12/2023","64.83","66.04","66.26","64.79","1.95M","-1.49%"
"01/11/2023","65.81","65.86","66.02","64.85","2.14M","0.35%"
"01/10/2023","65.58","66.00","66.01","65.13","2.02M","-0.20%"
"01/09/2023","65.71","66.15","66.79","65.71","2.15M","-0.54%"
"01/06/2023","66.07","64.84","66.34","64.69","2.39M","2.66%"
"01/05/2023","64.36","64.44","64.67","63.85","2.87M","-0.23%"
"01/04/2023","64.51","64.01","64.84","63.89","3.35M","1.43%"
"01/03/2023","63.60","62.95","63.85","62.52","3.43M","2.17%"
"12/30/2022","62.25","61.68","62.25","61.45","2.18M","0.74%"
"12/29/2022","61.79","61.25","62.06","61.18","1.73M","0.98%"
"12/28/2022","61.19","61.68","61.99","61.09","1.33M","-0.81%"
"12/27/2022","61.69","61.36","61.85","60.90","1.71M","0.55%"
"12/23/2022","61.35","60.96","61.40","60.76","1.30M","0.77%"
"12/22/2022","60.88","60.33","60.90","59.38","2.38M","0.20%"
"12/21/2022","60.76","61.63","61.91","60.65","3.07M","-1.01%"
"12/20/2022","61.38","60.60","61.66","60.60","2.89M","0.94%"
"12/19/2022","60.81","61.78","62.07","60.51","3.88M","-1.67%"
"12/16/2022","61.84","61.93","62.46","61.05","5.23M","-1.17%"
"12/15/2022","62.57","63.87","64.11","62.44","3.53M","-2.77%"
"12/14/2022","64.35","64.62","65.11","63.90","2.98M","-0.36%"
"12/13/2022","64.58","65.15","66.08","64.35","2.62M","0.08%"
"12/12/2022","64.53","63.68","64.60","63.10","2.62M","1.22%"
"12/09/2022","63.75","63.45","64.41","63.31","2.31M","-0.17%"
"12/08/2022","63.86","63.55","64.28","63.50","3.18M","0.19%"
"12/07/2022","63.74","64.01","64.79","63.71","3.44M","-0.64%"
"12/06/2022","64.15","64.44","64.77","63.77","3.99M","-0.96%"
"12/05/2022","64.77","65.42","65.58","64.31","2.46M","-1.89%"
"12/02/2022","66.02","65.10","66.13","64.91","2.90M","0.82%"
"12/01/2022","65.48","66.61","66.61","64.94","2.61M","-1.21%"
"11/30/2022","66.28","65.96","66.32","64.58","3.60M","-0.26%"
"11/29/2022","66.45","65.55","66.63","65.07","3.51M","1.40%"
"11/28/2022","65.53","65.87","66.70","64.79","4.50M","-2.67%"
"11/25/2022","67.33","67.27","67.87","67.22","2.01M","0.28%"
"11/23/2022","67.14","67.12","67.33","66.72","2.23M","-0.27%"
"11/22/2022","67.32","67.13","67.87","66.78","5.25M","0.85%"
"11/21/2022","66.75","65.63","66.79","65.04","4.04M","1.88%"
"11/18/2022","65.52","66.00","66.15","64.33","3.59M","0.20%"
"11/17/2022","65.39","64.17","65.48","64.17","3.19M","1.33%"
"11/16/2022","64.53","64.48","65.38","64.09","3.87M","0.30%"
"11/15/2022","64.34","65.69","65.96","63.96","3.82M","-0.76%"
"11/14/2022","64.83","67.59","68.75","64.72","5.54M","-3.83%"
"11/11/2022","67.41","66.56","67.51","65.58","4.79M","1.43%"
"11/10/2022","66.46","65.61","66.88","65.29","4.08M","3.67%"
"11/09/2022","64.11","65.52","66.11","63.62","5.16M","-5.34%"
"11/08/2022","67.73","67.31","68.67","67.07","2.10M","0.70%"
"11/07/2022","67.26","67.48","68.02","66.03","4.33M","-0.06%"
"11/04/2022","67.30","67.37","68.01","66.38","2.24M","1.11%"
"11/03/2022","66.56","66.92","67.06","66.22","1.88M","-1.30%"
"11/02/2022","67.44","67.74","69.02","67.39","1.69M","-0.82%"
"11/01/2022","68.00","68.85","69.07","67.82","1.58M","-0.51%"
"10/31/2022","68.35","68.63","69.03","68.09","2.30M","-0.42%"
"10/28/2022","68.64","67.65","68.87","67.51","1.69M","1.85%"
"10/27/2022","67.39","68.09","68.58","67.18","2.13M","-0.63%"
"10/26/2022","67.82","67.40","68.43","67.35","1.97M","1.18%"
"10/25/2022","67.03","65.12","67.37","65.05","3.85M","2.93%"
"10/24/2022","65.12","65.51","66.18","64.79","3.94M","0.00%"
"10/21/2022","65.12","64.46","65.29","64.16","2.31M","0.80%"
"10/20/2022","64.60","65.24","66.01","64.47","1.91M","-0.65%"
"10/19/2022","65.02","65.85","66.20","64.64","2.21M","-1.04%"
"10/18/2022","65.70","66.65","66.79","65.29","2.07M","-0.17%"
"10/17/2022","65.81","65.86","66.45","65.53","2.62M","1.50%"
"10/14/2022","64.84","65.86","66.73","64.53","2.35M","-0.93%"
"10/13/2022","65.45","63.25","65.87","62.94","2.78M","2.62%"
"10/12/2022","63.78","64.21","64.52","63.68","2.20M","-0.27%"
"10/11/2022","63.95","64.03","64.94","63.43","2.51M","-0.23%"
"10/10/2022","64.10","64.21","64.85","63.86","2.04M","0.33%"
"10/07/2022","63.89","65.15","65.21","63.44","2.77M","-2.49%"
"10/06/2022","65.52","66.07","66.27","65.11","2.81M","-1.68%"
"10/05/2022","66.64","67.14","67.30","65.90","2.65M","-1.22%"
"10/04/2022","67.46","67.08","68.28","67.00","3.71M","1.11%"
"10/03/2022","66.72","66.38","66.75","65.52","3.45M","1.20%"
"09/30/2022","65.93","66.83","67.31","65.85","2.49M","-1.38%"
"09/29/2022","66.85","67.99","68.06","66.22","2.51M","-2.54%"
"09/28/2022","68.59","68.64","68.89","67.65","2.83M","0.04%"
"09/27/2022","68.56","69.40","70.07","67.96","2.01M","-0.57%"
"09/26/2022","68.95","69.81","69.87","68.59","1.55M","-1.42%"
"09/23/2022","69.94","70.25","70.55","68.99","1.89M","-1.51%"
"09/22/2022","71.01","71.61","71.67","70.76","1.61M","-0.43%"
"09/21/2022","71.32","72.37","72.83","71.30","1.47M","-0.71%"
"09/20/2022","71.83","72.00","72.21","71.21","1.52M","-0.84%"
"09/19/2022","72.44","71.85","72.52","71.74","1.30M","0.60%"
"09/16/2022","72.01","71.86","72.28","71.41","2.99M","-0.12%"
"09/15/2022","72.10","72.27","73.30","71.81","2.01M","-0.26%"
"09/14/2022","72.29","73.16","73.30","71.68","2.22M","-1.28%"
"09/13/2022","73.23","73.79","74.40","73.05","2.18M","-3.08%"
"09/12/2022","75.56","75.85","76.23","75.46","2.53M","-0.01%"
"09/09/2022","75.57","74.52","76.00","74.14","2.06M","2.20%"
"09/08/2022","73.94","72.99","74.20","72.66","2.19M","0.08%"
"09/07/2022","73.88","72.84","74.26","72.18","1.98M","1.12%"
"09/06/2022","73.06","75.02","75.02","72.93","2.20M","-2.09%"
"09/02/2022","74.62","75.40","76.13","74.26","1.87M","-0.27%"
"09/01/2022","74.82","75.03","75.23","73.92","2.68M","-0.74%"
"08/31/2022","75.38","76.09","76.43","75.33","2.24M","-1.77%"
"08/30/2022","76.74","77.64","77.91","76.23","3.04M","-1.18%"
"08/29/2022","77.66","77.78","78.34","77.17","1.50M","-0.83%"
"08/26/2022","78.31","80.17","80.36","78.24","1.36M","-2.16%"
"08/25/2022","80.04","79.65","80.69","79.42","1.46M","0.64%"
"08/24/2022","79.53","79.98","79.99","78.80","1.63M","-0.38%"
"08/23/2022","79.83","80.32","80.41","79.50","1.32M","-0.77%"
"08/22/2022","80.45","81.20","81.24","80.05","1.25M","-1.59%"
"08/19/2022","81.75","81.82","82.03","81.34","1.16M","-0.04%"
"08/18/2022","81.78","80.99","82.00","80.52","1.25M","0.85%"
"08/17/2022","81.09","81.94","82.05","80.81","1.78M","-1.22%"
"08/16/2022","82.09","82.20","82.49","81.76","1.74M","0.05%"
"08/15/2022","82.05","81.63","82.17","81.21","1.53M","0.32%"
"08/12/2022","81.79","80.91","81.85","80.81","1.52M","1.36%"
"08/11/2022","80.69","79.78","81.76","79.65","2.15M","1.68%"
"08/10/2022","79.36","80.34","80.60","79.28","2.56M","-0.70%"
"08/09/2022","79.92","80.22","81.20","79.65","3.35M","-0.22%"
"08/08/2022","80.10","82.31","83.08","78.68","9.68M","-8.40%"
"08/05/2022","87.45","86.47","87.77","85.98","1.85M","1.02%"
"08/04/2022","86.57","87.23","87.64","86.48","1.29M","-1.13%"
"08/03/2022","87.56","87.58","87.87","86.79","1.05M","0.06%"
"08/02/2022","87.51","88.39","88.49","87.21","1.08M","-0.75%"
"08/01/2022","88.17","87.86","88.76","87.72","1.34M","0.18%"
"07/29/2022","88.01","87.04","88.14","86.65","1.44M","0.93%"
"07/28/2022","87.20","85.72","87.55","85.60","1.40M","1.77%"
"07/27/2022","85.68","84.38","85.91","83.19","1.21M","1.75%"
"07/26/2022","84.21","83.12","84.40","83.07","1.35M","0.62%"
"07/25/2022","83.69","82.29","83.77","82.06","1.68M","1.96%"
"07/22/2022","82.08","82.69","83.00","81.64","1.34M","-0.17%"
"07/21/2022","82.22","81.58","82.37","81.38","1.25M","-0.16%"
"07/20/2022","82.35","82.34","82.65","81.49","1.65M","-1.38%"
"07/19/2022","83.50","82.68","83.66","82.68","1.40M","1.98%"
"07/18/2022","81.88","82.19","83.11","81.65","1.37M","-0.06%"
"07/15/2022","81.93","82.54","82.88","81.71","1.92M","0.48%"
"07/14/2022","81.54","81.24","82.31","80.88","1.73M","-1.79%"
"07/13/2022","83.03","82.32","83.48","81.62","1.52M","0.37%"
