"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","74.44","75.16","76.11","74.21","1.24M","-1.70%"
"02/02/2023","75.73","74.83","76.10","74.15","1.89M","1.58%"
"02/01/2023","74.55","72.40","74.68","72.26","2.49M","2.33%"
"01/31/2023","72.85","70.77","72.86","70.55","1.90M","3.19%"
"01/30/2023","70.60","72.16","72.48","70.52","1.61M","-2.32%"
"01/27/2023","72.28","72.02","72.78","71.71","1.27M","0.22%"
"01/26/2023","72.12","71.13","72.16","69.95","1.86M","2.81%"
"01/25/2023","70.15","71.20","71.20","68.60","2.46M","0.79%"
"01/24/2023","69.60","75.18","75.18","68.00","1.69M","0.90%"
"01/23/2023","68.98","68.29","69.44","68.22","1.26M","1.67%"
"01/20/2023","67.85","66.83","68.14","66.63","1.61M","2.15%"
"01/19/2023","66.42","67.77","67.98","66.37","1.59M","-2.80%"
"01/18/2023","68.33","69.83","70.13","68.25","2.43M","-1.51%"
"01/17/2023","69.38","70.25","70.52","69.27","1.63M","-1.24%"
"01/13/2023","70.25","70.26","70.84","69.86","1.11M","-1.67%"
"01/12/2023","71.44","71.10","71.83","70.74","781.14K","0.90%"
"01/11/2023","70.80","71.13","71.38","70.12","1.60M","-0.06%"
"01/10/2023","70.84","70.17","70.85","69.86","1.05M","0.47%"
"01/09/2023","70.51","72.15","72.34","70.30","867.83K","-1.86%"
"01/06/2023","71.85","70.62","72.05","70.62","1.10M","2.54%"
"01/05/2023","70.07","70.48","70.92","69.92","1.04M","-1.39%"
"01/04/2023","71.06","70.32","71.40","70.14","862.61K","1.14%"
"01/03/2023","70.26","70.91","71.10","69.85","818.47K","-0.76%"
"12/30/2022","70.80","70.83","71.14","70.02","1.01M","-0.59%"
"12/29/2022","71.22","70.43","71.49","70.14","911.19K","1.83%"
"12/28/2022","69.94","70.99","71.11","69.86","906.31K","-1.14%"
"12/27/2022","70.75","70.55","71.04","70.10","792.13K","0.48%"
"12/23/2022","70.41","69.89","70.61","69.72","657.81K","0.49%"
"12/22/2022","70.07","70.33","70.80","69.02","1.29M","-1.43%"
"12/21/2022","71.09","70.12","71.33","69.91","1.28M","2.23%"
"12/20/2022","69.54","69.41","70.18","69.07","1.52M","0.38%"
"12/19/2022","69.28","70.06","70.67","68.99","1.23M","-1.03%"
"12/16/2022","70.00","68.96","70.30","68.69","3.00M","0.39%"
"12/15/2022","69.73","71.26","71.49","69.67","1.48M","-3.18%"
"12/14/2022","72.02","72.05","73.24","71.76","1.52M","0.13%"
"12/13/2022","71.93","73.83","73.83","71.47","1.45M","-0.39%"
"12/12/2022","72.21","71.51","72.48","71.23","1.90M","0.70%"
"12/09/2022","71.71","72.96","73.26","71.59","1.70M","-1.77%"
"12/08/2022","73.00","73.02","73.79","72.66","1.44M","0.59%"
"12/07/2022","72.57","73.36","73.85","72.55","1.73M","-1.36%"
"12/06/2022","73.57","75.01","75.97","72.75","4.54M","5.25%"
"12/05/2022","69.90","70.63","70.95","69.62","1.44M","-1.96%"
"12/02/2022","71.30","69.73","71.34","69.67","1.11M","0.62%"
"12/01/2022","70.86","71.74","72.20","70.80","888.01K","-0.73%"
"11/30/2022","71.38","70.27","72.50","69.06","2.29M","1.49%"
