"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","332.57","335.64","341.05","331.27","310.01K","-3.68%"
"02/02/2023","345.29","342.21","347.48","340.44","371.73K","2.62%"
"02/01/2023","336.46","322.41","337.45","318.86","312.52K","4.24%"
"01/31/2023","322.77","317.81","322.79","315.58","164.22K","1.71%"
"01/30/2023","317.35","323.25","327.04","317.29","234.92K","-3.09%"
"01/27/2023","327.47","319.42","327.92","319.21","188.92K","2.05%"
"01/26/2023","320.88","323.46","324.43","317.90","180.61K","0.86%"
"01/25/2023","318.15","312.84","319.51","305.20","168.72K","-0.27%"
"01/24/2023","319.00","325.75","354.14","317.53","157.24K","-1.82%"
"01/23/2023","324.90","316.00","325.52","316.00","202.02K","2.82%"
"01/20/2023","316.00","306.44","316.39","304.67","192.15K","3.49%"
"01/19/2023","305.34","302.98","307.47","301.69","305.69K","0.07%"
"01/18/2023","305.13","321.25","323.77","304.57","293.93K","-4.38%"
"01/17/2023","319.12","317.39","319.77","313.33","279.24K","0.75%"
"01/13/2023","316.76","312.26","317.32","309.93","278.75K","0.06%"
"01/12/2023","316.56","320.28","321.41","310.70","295.43K","-0.48%"
"01/11/2023","318.09","315.38","318.09","310.14","378.30K","1.60%"
"01/10/2023","313.07","318.20","322.23","312.00","242.88K","-1.86%"
"01/09/2023","318.99","315.20","327.25","313.41","317.35K","2.60%"
"01/06/2023","310.91","309.65","312.57","301.74","208.21K","1.43%"
"01/05/2023","306.52","316.86","317.01","305.95","285.32K","-4.42%"
"01/04/2023","320.68","322.62","324.84","315.89","217.76K","0.42%"
"01/03/2023","319.33","327.32","331.44","317.92","310.98K","-0.96%"
"12/30/2022","322.41","320.27","323.81","319.22","161.58K","-0.94%"
"12/29/2022","325.47","318.49","327.78","317.88","116.15K","3.35%"
"12/28/2022","314.91","319.68","323.18","314.90","132.82K","-1.85%"
"12/27/2022","320.85","318.76","322.27","314.11","203.86K","0.23%"
"12/23/2022","320.12","320.53","322.80","316.40","117.40K","-0.53%"
