"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","11.12","11.00","11.40","10.89","2.72M","-0.54%"
"02/02/2023","11.18","11.29","11.41","11.03","2.77M","0.09%"
"02/01/2023","11.17","10.94","11.27","10.83","3.02M","2.48%"
"01/31/2023","10.90","10.66","10.90","10.62","2.09M","2.35%"
"01/30/2023","10.65","10.56","10.70","10.56","2.37M","-0.56%"
"01/27/2023","10.71","10.43","10.85","10.36","1.95M","2.49%"
"01/26/2023","10.45","10.54","10.62","10.15","2.72M","0.38%"
"01/25/2023","10.41","10.14","10.41","10.03","2.49M","0.68%"
"01/24/2023","10.34","10.25","10.55","10.25","1.70M","-2.27%"
"01/23/2023","10.58","10.38","10.60","10.28","1.68M","2.42%"
"01/20/2023","10.33","10.12","10.35","10.02","2.55M","2.79%"
"01/19/2023","10.05","10.28","10.28","9.89","2.08M","-3.92%"
"01/18/2023","10.46","10.60","10.74","10.40","2.53M","-0.38%"
"01/17/2023","10.50","10.22","10.70","10.19","3.12M","3.35%"
"01/13/2023","10.16","9.83","10.26","9.80","2.30M","2.11%"
"01/12/2023","9.95","9.75","9.98","9.64","2.07M","2.37%"
"01/11/2023","9.72","9.71","9.81","9.61","1.62M","0.62%"
"01/10/2023","9.66","9.38","9.68","9.38","1.71M","2.01%"
"01/09/2023","9.47","9.48","9.69","9.26","1.94M","-0.63%"
"01/06/2023","9.53","9.26","9.58","9.23","1.55M","3.70%"
"01/05/2023","9.19","9.27","9.37","9.10","1.71M","-2.23%"
"01/04/2023","9.40","9.02","9.48","9.02","2.68M","5.74%"
"01/03/2023","8.89","9.05","9.19","8.87","2.06M","-0.34%"
"12/30/2022","8.92","8.67","8.97","8.60","2.60M","1.25%"
"12/29/2022","8.81","8.55","8.81","8.49","1.75M","4.01%"
"12/28/2022","8.47","8.75","8.81","8.41","2.06M","-3.31%"
"12/27/2022","8.76","8.57","8.90","8.48","2.37M","1.86%"
"12/23/2022","8.60","8.45","8.64","8.37","1.76M","1.42%"
"12/22/2022","8.48","8.54","8.59","8.29","3.14M","-1.74%"
"12/21/2022","8.63","8.57","8.77","8.56","2.88M","4.48%"
"12/20/2022","8.26","8.30","8.46","8.24","2.34M","-1.31%"
"12/19/2022","8.37","8.80","8.80","8.28","2.73M","-4.78%"
"12/16/2022","8.79","8.68","8.90","8.65","5.62M","0.23%"
"12/15/2022","8.77","8.91","8.96","8.67","2.77M","-4.15%"
"12/14/2022","9.15","9.20","9.42","9.01","3.86M","-0.97%"
"12/13/2022","9.24","9.35","9.46","8.99","3.47M","1.32%"
"12/12/2022","9.12","8.69","9.20","8.57","4.09M","9.09%"
"12/09/2022","8.36","8.31","8.53","8.25","1.65M","-0.71%"
