"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","51.12","51.85","52.13","50.96","6.96M","-2.27%"
"02/02/2023","52.31","50.47","52.34","50.34","11.09M","4.16%"
"02/01/2023","50.22","48.84","50.26","48.28","7.77M","2.57%"
"01/31/2023","48.96","48.40","49.24","47.98","5.35M","1.56%"
"01/30/2023","48.21","48.30","49.44","48.09","6.10M","-1.07%"
"01/27/2023","48.73","49.34","49.60","48.63","6.50M","-1.46%"
"01/26/2023","49.45","50.40","50.69","48.80","7.67M","-1.65%"
"01/25/2023","50.28","49.09","50.86","49.04","8.58M","1.99%"
"01/24/2023","49.30","49.02","50.28","48.87","5.40M","0.04%"
"01/23/2023","49.28","49.47","49.87","48.80","7.37M","-0.36%"
"01/20/2023","49.46","48.67","49.68","48.42","9.43M","2.25%"
"01/19/2023","48.37","48.29","48.58","46.88","15.57M","-1.00%"
"01/18/2023","48.86","53.10","53.26","48.52","31.62M","-4.57%"
"01/17/2023","51.20","51.10","51.59","49.94","18.09M","-0.87%"
"01/13/2023","51.65","49.69","51.71","49.66","15.89M","0.68%"
"01/12/2023","51.30","48.61","51.32","48.56","21.06M","7.52%"
"01/11/2023","47.71","45.49","47.78","45.41","16.60M","4.28%"
"01/10/2023","45.75","43.04","45.76","43.04","10.48M","5.54%"
"01/09/2023","43.35","42.57","44.19","42.26","10.06M","2.63%"
"01/06/2023","42.24","41.41","42.28","41.05","7.73M","2.42%"
"01/05/2023","41.24","39.60","41.27","39.43","8.27M","3.83%"
"01/04/2023","39.72","37.62","39.85","37.56","8.71M","6.75%"
"01/03/2023","37.21","38.22","38.25","36.81","8.15M","-1.30%"
"12/30/2022","37.70","37.59","38.06","37.46","6.30M","-0.58%"
"12/29/2022","37.92","37.38","38.24","37.32","5.88M","1.69%"
"12/28/2022","37.29","38.34","38.54","37.22","6.39M","-2.38%"
"12/27/2022","38.20","38.20","38.99","37.72","6.65M","-0.49%"
"12/23/2022","38.39","38.36","38.48","37.76","4.26M","0.29%"
"12/22/2022","38.28","38.78","38.98","37.17","7.23M","-1.85%"
"12/21/2022","39.00","38.59","39.44","38.59","6.04M","1.17%"
"12/20/2022","38.55","37.96","38.62","37.85","5.47M","1.50%"
"12/19/2022","37.98","38.67","38.86","37.89","5.42M","-1.17%"
"12/16/2022","38.43","38.52","39.12","37.84","11.43M","-0.31%"
"12/15/2022","38.55","39.65","40.07","38.15","10.39M","-3.87%"
"12/14/2022","40.10","41.67","41.99","39.63","13.89M","-2.60%"
"12/13/2022","41.17","45.50","45.57","40.92","18.06M","-6.94%"
"12/12/2022","44.24","43.00","44.34","42.76","5.29M","2.79%"
"12/09/2022","43.04","42.30","43.11","42.21","5.79M","0.56%"
"12/08/2022","42.80","44.38","44.88","42.29","8.76M","-2.86%"
"12/07/2022","44.06","45.69","45.69","43.90","8.10M","-4.05%"
"12/06/2022","45.92","45.21","45.97","44.92","7.52M","1.98%"
"12/05/2022","45.03","44.48","45.86","44.29","11.09M","2.60%"
"12/02/2022","43.89","43.30","44.27","43.11","4.53M","0.00%"
"12/01/2022","43.89","44.30","44.62","43.63","3.91M","-0.63%"
"11/30/2022","44.17","43.66","44.17","43.08","4.55M","1.10%"
"11/29/2022","43.69","42.98","43.84","42.97","4.43M","1.56%"
"11/28/2022","43.02","43.92","43.96","42.99","6.03M","-3.15%"
"11/25/2022","44.42","43.60","44.59","43.54","2.40M","1.67%"
"11/23/2022","43.69","43.53","44.02","43.16","3.38M","0.60%"
"11/22/2022","43.43","43.56","43.91","42.83","3.25M","0.00%"
"11/21/2022","43.43","43.87","44.30","43.22","4.05M","-0.89%"
"11/18/2022","43.82","43.94","44.81","43.28","4.88M","1.32%"
"11/17/2022","43.25","42.53","43.35","42.28","4.29M","-0.09%"
"11/16/2022","43.29","43.50","43.92","43.07","4.85M","-1.70%"
"11/15/2022","44.04","44.89","45.57","43.41","7.06M","0.02%"
"11/14/2022","44.03","44.15","44.98","44.00","5.91M","-1.52%"
"11/11/2022","44.71","44.64","45.41","44.22","8.17M","0.86%"
"11/10/2022","44.33","43.94","44.51","43.02","9.38M","4.63%"
"11/09/2022","42.37","41.58","42.80","41.42","6.34M","0.45%"
"11/08/2022","42.18","42.70","43.03","41.72","7.09M","-1.40%"
"11/07/2022","42.78","43.05","43.45","41.87","6.06M","0.38%"
"11/04/2022","42.62","41.88","43.04","41.83","9.72M","4.08%"
"11/03/2022","40.95","40.57","41.81","40.07","7.72M","-0.39%"
