"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","43.38","43.57","43.72","42.80","1.89M","-2.32%"
"02/02/2023","44.41","43.33","44.88","43.33","2.64M","3.69%"
"02/01/2023","42.83","42.37","43.04","41.85","2.27M","0.56%"
"01/31/2023","42.59","41.37","42.63","41.31","6.11M","2.97%"
"01/30/2023","41.36","41.67","42.08","41.35","2.01M","-1.45%"
"01/27/2023","41.97","41.00","42.32","40.93","2.81M","2.29%"
"01/26/2023","41.03","40.81","41.46","40.77","1.80M","1.06%"
"01/25/2023","40.60","40.45","40.74","40.27","1.51M","-0.07%"
"01/24/2023","40.63","40.03","40.79","39.40","1.48M","1.75%"
"01/23/2023","39.93","40.06","40.28","39.72","1.51M","-0.13%"
"01/20/2023","39.98","39.63","39.98","39.16","2.58M","0.93%"
"01/19/2023","39.61","39.88","40.50","39.58","2.23M","-0.97%"
"01/18/2023","40.00","40.60","40.64","39.89","2.54M","-1.16%"
"01/17/2023","40.47","40.34","40.86","40.13","2.70M","0.80%"
"01/13/2023","40.15","39.99","40.56","39.84","1.27M","-0.77%"
"01/12/2023","40.46","40.52","40.71","40.01","1.41M","0.47%"
"01/11/2023","40.27","38.97","40.31","38.86","1.73M","4.35%"
"01/10/2023","38.59","38.30","38.74","38.30","1.18M","0.31%"
"01/09/2023","38.47","38.61","39.20","38.41","3.35M","-0.59%"
"01/06/2023","38.70","37.29","38.77","37.25","2.28M","2.84%"
"01/05/2023","37.63","38.87","38.97","37.57","2.52M","-4.13%"
"01/04/2023","39.25","38.94","39.60","38.77","1.67M","1.71%"
"01/03/2023","38.59","38.96","39.29","38.15","1.78M","-0.36%"
"12/30/2022","38.73","38.72","38.87","38.26","1.34M","-0.46%"
"12/29/2022","38.91","38.21","38.97","37.99","1.17M","2.56%"
"12/28/2022","37.94","38.61","38.81","37.90","1.56M","-1.51%"
"12/27/2022","38.52","38.83","38.95","38.26","1.61M","-0.59%"
"12/23/2022","38.75","38.26","38.78","38.09","1.16M","0.86%"
"12/22/2022","38.42","37.99","38.60","37.79","2.16M","0.39%"
"12/21/2022","38.27","38.41","38.72","38.04","1.93M","0.68%"
"12/20/2022","38.01","38.16","38.27","37.77","1.91M","-1.14%"
"12/19/2022","38.45","38.98","38.99","38.01","1.90M","-1.71%"
"12/16/2022","39.12","39.88","39.92","38.67","6.65M","-3.10%"
"12/15/2022","40.37","40.04","40.55","39.85","3.39M","-0.52%"
"12/14/2022","40.58","40.89","41.56","40.37","3.42M","-0.76%"
"12/13/2022","40.89","41.48","41.65","40.26","2.95M","1.46%"
"12/12/2022","40.30","39.90","40.36","39.29","2.81M","1.03%"
"12/09/2022","39.89","40.10","40.39","39.85","1.43M","-0.65%"
