"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","148.41","149.94","151.08","147.77","515.85K","-1.34%"
"02/02/2023","150.43","151.47","154.65","149.19","580.42K","-1.47%"
"02/01/2023","152.67","147.65","154.12","147.65","748.53K","3.01%"
"01/31/2023","148.21","145.84","148.24","144.99","483.63K","2.10%"
"01/30/2023","145.16","144.74","145.62","143.51","478.02K","-0.03%"
"01/27/2023","145.21","144.41","147.64","141.36","681.37K","-0.22%"
"01/26/2023","145.53","146.68","147.27","144.26","982.39K","-0.42%"
"01/25/2023","146.15","145.43","146.49","144.64","485.98K","0.00%"
"01/24/2023","146.15","149.05","149.71","145.37","561.65K","-1.52%"
"01/23/2023","148.41","149.34","152.46","148.40","494.76K","-0.71%"
"01/20/2023","149.47","146.74","150.18","145.49","613.42K","2.17%"
"01/19/2023","146.29","145.13","147.49","143.70","600.12K","0.44%"
"01/18/2023","145.65","146.75","147.78","145.53","303.55K","-0.61%"
"01/17/2023","146.55","147.82","147.88","145.72","366.84K","-0.90%"
"01/13/2023","147.88","145.34","148.60","145.04","389.74K","1.16%"
"01/12/2023","146.18","145.36","147.83","144.34","477.98K","1.04%"
"01/11/2023","144.68","147.71","148.10","143.38","871.54K","-1.91%"
"01/10/2023","147.50","148.73","149.22","147.07","544.82K","-0.41%"
"01/09/2023","148.10","152.56","152.56","147.40","636.28K","-2.54%"
"01/06/2023","151.96","150.10","152.75","149.55","756.58K","2.01%"
"01/05/2023","148.97","145.12","149.29","144.69","896.12K","2.20%"
"01/04/2023","145.77","143.22","145.78","142.56","865.90K","2.22%"
"01/03/2023","142.61","142.52","143.33","140.29","669.11K","1.22%"
"12/30/2022","140.89","140.07","140.93","139.22","378.12K","0.07%"
"12/29/2022","140.79","140.13","142.39","139.33","357.61K","1.02%"
"12/28/2022","139.37","141.11","142.14","138.89","409.60K","-1.34%"
"12/27/2022","141.26","140.79","142.02","139.55","281.60K","0.36%"
"12/23/2022","140.76","140.55","141.09","139.42","375.91K","-0.16%"
"12/22/2022","140.99","141.03","141.63","137.21","713.18K","-0.71%"
"12/21/2022","142.00","136.64","142.05","136.64","1.28M","4.73%"
"12/20/2022","135.59","134.07","137.30","133.96","723.85K","0.81%"
"12/19/2022","134.50","135.36","136.76","134.42","1.11M","-0.94%"
"12/16/2022","135.77","131.60","137.20","131.60","2.43M","2.44%"
"12/15/2022","132.53","129.14","132.68","128.95","1.36M","1.30%"
"12/14/2022","130.83","130.02","133.17","128.80","877.98K","1.07%"
"12/13/2022","129.45","131.51","131.51","128.29","474.56K","0.82%"
"12/12/2022","128.40","127.37","128.45","125.97","461.47K","0.84%"
"12/09/2022","127.33","128.33","129.17","127.10","446.09K","-1.76%"
"12/08/2022","129.61","128.43","130.71","127.35","497.85K","1.16%"
"12/07/2022","128.12","128.45","129.20","127.13","509.37K","0.13%"
