"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","520.76","518.32","521.98","516.02","337.12K","-0.01%"
"02/02/2023","520.83","525.63","528.64","517.05","545.99K","-0.53%"
"02/01/2023","523.59","511.90","525.89","511.25","531.16K","1.87%"
"01/31/2023","513.96","509.11","514.25","508.13","502.67K","1.18%"
"01/30/2023","507.97","505.61","512.69","505.41","433.34K","0.45%"
"01/27/2023","505.67","508.99","511.00","505.19","439.77K","-0.23%"
"01/26/2023","506.82","505.80","509.05","502.07","388.78K","0.83%"
"01/25/2023","502.63","500.22","502.83","493.78","299.41K","0.22%"
"01/24/2023","501.53","498.40","503.04","495.92","554.99K","0.21%"
"01/23/2023","500.47","494.20","500.95","491.60","417.85K","1.88%"
"01/20/2023","491.25","488.28","495.93","486.32","589.69K","0.64%"
"01/19/2023","488.12","496.50","499.81","486.02","628.50K","-2.39%"
"01/18/2023","500.08","495.68","501.44","495.68","542.93K","1.11%"
"01/17/2023","494.59","490.83","495.00","488.68","465.28K","0.73%"
"01/13/2023","490.99","490.42","495.39","489.13","406.48K","-0.17%"
"01/12/2023","491.83","493.10","495.89","488.92","446.20K","-0.35%"
"01/11/2023","493.55","490.00","495.52","488.68","518.98K","1.01%"
"01/10/2023","488.62","483.85","489.58","482.01","387.83K","0.80%"
"01/09/2023","484.76","484.27","490.88","480.41","470.65K","-0.29%"
"01/06/2023","486.19","478.99","489.28","478.89","779.11K","-0.56%"
"01/05/2023","488.94","482.47","490.98","479.56","702.23K","1.12%"
"01/04/2023","483.52","476.31","483.61","471.33","710.69K","2.52%"
"01/03/2023","471.63","469.66","473.58","466.62","540.17K","0.55%"
"12/30/2022","469.07","462.55","469.55","460.55","372.49K","0.91%"
"12/29/2022","464.83","465.70","469.35","463.77","431.18K","0.28%"
"12/28/2022","463.52","465.38","465.41","457.54","560.07K","-0.10%"
"12/27/2022","464.00","459.12","466.74","457.01","575.41K","1.67%"
"12/23/2022","456.40","458.16","460.13","454.11","361.21K","-0.14%"
"12/22/2022","457.05","449.00","457.53","445.63","929.30K","1.05%"
"12/21/2022","452.29","446.28","453.70","443.77","668.04K","2.98%"
"12/20/2022","439.20","440.18","445.31","436.14","530.55K","-0.30%"
"12/19/2022","440.51","453.67","453.81","439.20","747.95K","-2.35%"
"12/16/2022","451.12","451.72","455.04","446.79","880.89K","-0.86%"
"12/15/2022","455.02","458.60","458.60","453.00","491.34K","-1.69%"
"12/14/2022","462.85","462.88","466.46","456.37","563.99K","-0.34%"
"12/13/2022","464.41","482.86","483.80","462.54","817.00K","-1.60%"
"12/12/2022","471.96","465.00","472.35","463.99","528.06K","0.07%"
"12/09/2022","471.63","480.04","480.50","471.48","559.12K","-2.08%"
"12/08/2022","481.65","481.50","482.69","473.71","712.64K","0.33%"
"12/07/2022","480.05","463.31","480.57","462.83","836.02K","3.11%"
"12/06/2022","465.58","472.00","474.48","460.23","895.92K","-1.47%"
"12/05/2022","472.52","468.34","473.11","465.39","925.17K","0.25%"
"12/02/2022","471.33","467.05","477.92","461.88","1.53M","-0.25%"
"12/01/2022","472.53","470.47","477.08","464.00","1.50M","1.65%"
"11/30/2022","464.84","449.95","466.55","447.06","1.19M","3.33%"
"11/29/2022","449.88","457.31","457.31","446.10","1.21M","-1.61%"
"11/28/2022","457.24","448.47","461.57","447.87","899.53K","1.98%"
"11/25/2022","448.35","448.58","448.86","444.62","239.96K","0.22%"
"11/23/2022","447.37","450.23","451.48","446.15","453.53K","-0.59%"
"11/22/2022","450.04","445.53","450.23","441.55","423.26K","1.82%"
"11/21/2022","442.01","439.96","443.20","436.35","350.24K","0.34%"
"11/18/2022","440.50","441.66","442.95","435.56","581.12K","1.33%"
"11/17/2022","434.70","432.01","435.50","426.61","397.74K","-0.20%"
"11/16/2022","435.58","429.12","436.18","428.32","505.68K","-0.16%"
"11/15/2022","436.27","432.00","439.52","428.51","659.51K","3.23%"
"11/14/2022","422.62","431.50","436.81","422.43","725.15K","-1.78%"
"11/11/2022","430.27","427.08","430.75","420.27","893.40K","1.58%"
"11/10/2022","423.58","424.40","431.00","416.50","641.39K","2.45%"
"11/09/2022","413.47","420.00","428.18","413.15","596.46K","-2.28%"
"11/08/2022","423.12","421.00","426.16","418.34","583.67K","0.90%"
"11/07/2022","419.35","418.32","419.52","410.84","443.35K","0.25%"
"11/04/2022","418.32","418.61","424.12","411.90","525.02K","0.64%"
"11/03/2022","415.64","403.90","420.05","402.77","596.58K","2.18%"
"11/02/2022","406.77","412.65","426.89","406.35","955.75K","-3.61%"
