"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","472.02","475.23","478.78","469.75","5.44M","0.25%"
"02/02/2023","470.83","494.26","495.00","463.89","11.14M","-5.27%"
"02/01/2023","497.00","499.95","504.38","495.67","3.42M","-0.44%"
"01/31/2023","499.19","498.00","505.50","493.13","5.57M","2.76%"
"01/30/2023","485.79","487.81","495.25","484.80","3.53M","-0.05%"
"01/27/2023","486.05","493.37","493.37","484.47","3.18M","-1.31%"
"01/26/2023","492.48","492.50","496.45","490.58","2.97M","0.00%"
"01/25/2023","492.50","489.28","495.36","485.73","3.04M","0.18%"
"01/24/2023","491.60","500.26","500.26","436.51","3.02M","1.19%"
"01/23/2023","485.81","486.68","490.10","481.39","3.40M","-0.19%"
"01/20/2023","486.72","485.53","486.99","479.00","3.53M","0.49%"
"01/19/2023","484.36","477.87","486.39","477.39","4.41M","1.71%"
"01/18/2023","476.24","488.05","489.50","474.75","4.34M","-1.82%"
"01/17/2023","485.08","491.20","492.94","483.78","4.39M","-0.92%"
"01/13/2023","489.57","486.11","509.50","486.00","5.39M","-1.23%"
"01/12/2023","495.67","490.00","498.73","485.22","3.72M","0.46%"
"01/11/2023","493.40","485.29","495.60","485.00","4.25M","1.52%"
"01/10/2023","486.00","488.85","490.47","482.68","3.15M","-0.83%"
"01/09/2023","490.06","492.41","499.99","488.54","3.69M","0.01%"
"01/06/2023","490.00","491.59","492.87","487.54","4.84M","0.01%"
"01/05/2023","489.96","501.01","502.09","488.50","5.47M","-2.88%"
"01/04/2023","504.50","518.64","518.64","500.60","5.03M","-2.73%"
"01/03/2023","518.64","525.13","525.63","512.16","3.52M","-2.18%"
"12/30/2022","530.18","530.00","530.50","524.84","1.85M","0.06%"
"12/29/2022","529.88","532.54","533.68","528.86","1.38M","0.27%"
"12/28/2022","528.45","535.07","538.15","527.73","1.68M","-0.67%"
"12/27/2022","531.99","533.93","535.84","529.84","1.56M","0.13%"
"12/23/2022","531.31","524.10","531.31","522.90","1.29M","0.80%"
"12/22/2022","527.09","526.48","529.01","521.63","1.85M","-0.09%"
"12/21/2022","527.54","523.63","527.88","518.10","2.18M","1.41%"
"12/20/2022","520.21","526.99","526.99","519.70","2.08M","-0.65%"
"12/19/2022","523.60","524.60","527.21","520.93","1.80M","-0.02%"
"12/16/2022","523.70","525.15","525.81","515.72","7.11M","-0.75%"
"12/15/2022","527.68","533.99","534.07","525.47","2.89M","-1.98%"
"12/14/2022","538.36","541.93","543.48","531.57","2.65M","0.03%"
"12/13/2022","538.22","550.56","550.99","535.10","3.36M","-1.40%"
"12/12/2022","545.86","541.85","546.08","539.28","2.70M","1.24%"
"12/09/2022","539.20","547.93","548.49","538.87","2.85M","-1.59%"
"12/08/2022","547.92","544.86","551.29","543.78","2.26M","0.92%"
"12/07/2022","542.91","540.84","545.91","539.63","2.84M","0.67%"
"12/06/2022","539.32","534.42","540.59","534.24","2.92M","0.80%"
"12/05/2022","535.04","531.49","540.38","530.88","2.42M","-0.21%"
"12/02/2022","536.16","532.83","538.61","532.44","2.35M","-0.14%"
"12/01/2022","536.91","552.36","553.00","535.80","3.00M","-1.98%"
"11/30/2022","547.76","529.72","548.08","527.48","9.69M","3.74%"
"11/29/2022","528.00","531.67","532.97","523.65","3.75M","-0.80%"
"11/28/2022","532.27","535.83","539.58","531.69","2.70M","-1.00%"
"11/25/2022","537.62","534.00","540.85","532.52","1.42M","1.49%"
"11/23/2022","529.71","525.00","530.44","523.00","2.24M","1.27%"
"11/22/2022","523.09","519.94","524.66","519.91","2.57M","1.14%"
"11/21/2022","517.19","529.01","531.95","515.38","3.35M","-2.42%"
"11/18/2022","530.00","522.12","532.99","519.46","3.57M","2.85%"
"11/17/2022","515.31","512.16","526.98","512.16","4.25M","0.74%"
"11/16/2022","511.52","505.89","514.13","505.47","3.43M","1.69%"
"11/15/2022","503.01","512.81","516.64","500.77","5.10M","-2.09%"
"11/14/2022","513.75","522.00","528.98","513.41","5.24M","-1.60%"
"11/11/2022","522.08","546.28","546.28","509.65","7.03M","-4.06%"
"11/10/2022","544.17","548.93","551.70","533.95","3.43M","0.65%"
"11/09/2022","540.66","553.78","554.61","539.44","2.67M","-2.24%"
"11/08/2022","553.05","547.05","554.80","542.00","2.80M","1.47%"
"11/07/2022","545.02","538.17","546.95","535.47","2.54M","1.27%"
"11/04/2022","538.17","547.05","547.76","527.14","3.51M","-1.00%"
"11/03/2022","543.61","541.74","547.87","538.13","2.25M","0.03%"
"11/02/2022","543.43","544.41","554.58","543.07","2.70M","-0.71%"
"11/01/2022","547.31","555.00","555.69","544.22","3.34M","-1.41%"
"10/31/2022","555.15","555.00","558.10","550.13","2.77M","0.71%"
"10/28/2022","551.24","544.97","553.00","543.69","2.76M","1.74%"
"10/27/2022","541.80","546.52","546.52","539.76","2.21M","-0.25%"
"10/26/2022","543.17","541.38","547.64","540.21","2.86M","0.55%"
"10/25/2022","540.22","537.79","543.92","533.90","2.41M","-0.25%"
"10/24/2022","541.60","538.07","546.48","537.80","2.63M","1.47%"
"10/21/2022","533.73","518.06","536.53","518.01","2.90M","2.47%"
"10/20/2022","520.88","523.05","529.42","519.78","2.39M","0.11%"
"10/19/2022","520.32","521.74","523.82","514.60","2.50M","-0.36%"
"10/18/2022","522.21","532.00","532.00","518.33","2.35M","0.06%"
"10/17/2022","521.88","517.74","524.31","515.28","3.28M","1.71%"
"10/14/2022","513.13","520.00","529.91","511.93","5.63M","0.63%"
"10/13/2022","509.91","493.45","513.47","487.74","4.00M","1.99%"
"10/12/2022","499.96","502.13","508.25","498.21","2.25M","0.03%"
"10/11/2022","499.81","496.97","506.83","495.18","2.84M","0.19%"
"10/10/2022","498.86","505.60","506.31","495.02","2.46M","-1.19%"
"10/07/2022","504.85","514.17","514.17","501.06","3.27M","-2.75%"
"10/06/2022","519.13","528.33","528.58","516.74","2.19M","-1.51%"
"10/05/2022","527.07","521.00","529.35","520.13","2.28M","0.75%"
"10/04/2022","523.17","518.35","524.59","516.83","3.19M","1.49%"
"10/03/2022","515.51","507.08","517.81","505.40","2.56M","2.07%"
"09/30/2022","505.04","511.10","516.55","504.84","3.12M","-0.74%"
"09/29/2022","508.83","514.77","514.77","502.47","2.39M","-0.99%"
"09/28/2022","513.94","506.48","516.27","500.80","3.03M","1.10%"
"09/27/2022","508.37","510.37","516.79","503.58","2.58M","0.00%"
"09/26/2022","508.36","507.39","512.57","499.00","2.87M","-1.02%"
"09/23/2022","513.61","513.56","514.66","506.38","2.54M","-0.74%"
"09/22/2022","517.46","511.03","520.97","506.11","2.29M","1.05%"
"09/21/2022","512.08","525.03","528.01","512.02","2.43M","-2.05%"
"09/20/2022","522.80","524.24","524.67","514.81","2.42M","-0.14%"
"09/19/2022","523.55","518.59","524.00","512.97","2.13M","0.49%"
"09/16/2022","521.02","518.52","522.82","517.08","3.98M","-0.36%"
"09/15/2022","522.91","516.30","527.98","514.14","3.06M","2.58%"
"09/14/2022","509.77","514.00","515.38","506.10","2.65M","-0.82%"
"09/13/2022","513.96","524.00","525.26","511.97","3.17M","-3.25%"
"09/12/2022","531.25","525.00","535.02","522.50","2.79M","1.32%"
"09/09/2022","524.34","527.83","527.83","522.58","2.50M","-0.60%"
"09/08/2022","527.51","520.95","528.49","518.81","1.56M","1.12%"
"09/07/2022","521.68","517.00","523.50","514.68","2.50M","0.77%"
"09/06/2022","517.68","519.93","527.45","516.92","2.71M","0.26%"
"09/02/2022","516.35","529.62","529.79","513.81","1.94M","-1.46%"
"09/01/2022","524.00","519.33","524.26","515.09","2.09M","0.90%"
"08/31/2022","519.33","520.82","527.10","519.16","2.89M","-0.67%"
"08/30/2022","522.84","530.41","531.09","521.79","2.01M","-1.31%"
"08/29/2022","529.77","526.00","532.90","522.87","1.59M","0.10%"
"08/26/2022","529.25","542.26","543.19","528.22","1.91M","-2.27%"
"08/25/2022","541.57","535.01","542.02","531.25","1.97M","0.95%"
"08/24/2022","536.46","536.68","539.86","535.02","1.76M","0.12%"
"08/23/2022","535.80","543.29","543.29","533.21","2.04M","-1.61%"
"08/22/2022","544.57","541.39","549.52","541.35","1.67M","-0.68%"
"08/19/2022","548.32","545.50","553.13","544.82","2.26M","0.57%"
"08/18/2022","545.22","545.01","548.13","541.82","1.49M","0.04%"
"08/17/2022","545.00","545.24","547.79","541.57","1.47M","-0.21%"
"08/16/2022","546.12","545.21","547.44","542.39","1.77M","0.27%"
"08/15/2022","544.64","541.67","547.21","538.56","1.45M","0.17%"
"08/12/2022","543.70","535.61","544.40","534.45","1.98M","2.03%"
"08/11/2022","532.86","538.24","538.63","529.67","3.01M","-0.90%"
"08/10/2022","537.72","540.26","541.98","533.81","2.29M","0.09%"
"08/09/2022","537.26","540.00","545.74","536.38","2.15M","0.12%"
"08/08/2022","536.60","539.91","541.30","533.42","1.66M","0.29%"
"08/05/2022","535.06","530.00","535.50","527.56","2.37M","0.25%"
"08/04/2022","533.75","539.29","540.43","532.76","2.37M","-1.28%"
"08/03/2022","540.65","537.26","543.62","535.69","1.80M","0.97%"
"08/02/2022","535.46","537.55","540.53","531.72","2.11M","0.01%"
"08/01/2022","535.38","542.27","543.65","531.00","2.34M","-1.28%"
"07/29/2022","542.34","540.01","543.85","536.69","2.95M","0.16%"
"07/28/2022","541.49","537.49","544.34","531.74","2.34M","1.29%"
"07/27/2022","534.61","533.54","537.86","528.04","2.25M","0.57%"
"07/26/2022","531.59","533.80","537.64","531.03","2.64M","0.40%"
"07/25/2022","529.47","526.09","532.89","524.22","2.34M","1.55%"
"07/22/2022","521.41","526.00","527.60","518.40","1.85M","-0.20%"
"07/21/2022","522.46","519.39","522.47","511.14","2.67M","0.58%"
"07/20/2022","519.47","533.45","534.05","515.73","4.33M","-2.62%"
"07/19/2022","533.45","521.09","533.84","520.59","2.95M","2.71%"
"07/18/2022","519.37","531.00","532.16","518.75","3.21M","-1.96%"
"07/15/2022","529.75","526.06","531.99","515.45","5.74M","5.44%"
"07/14/2022","502.43","495.00","505.89","492.28","3.77M","0.24%"
"07/13/2022","501.24","508.07","511.86","501.19","3.47M","-2.56%"
"07/12/2022","514.42","513.25","519.14","510.62","2.71M","-0.49%"
"07/11/2022","516.95","514.86","521.47","511.81","1.74M","-0.32%"
"07/08/2022","518.63","512.31","528.37","511.01","3.09M","0.83%"
"07/07/2022","514.38","515.25","517.30","512.23","2.39M","-0.18%"
"07/06/2022","515.29","505.64","517.41","504.30","2.51M","1.99%"
"07/05/2022","505.24","507.64","511.00","492.25","3.03M","-2.35%"
"07/01/2022","517.40","512.32","517.53","502.31","2.43M","0.73%"
"06/30/2022","513.63","513.55","516.32","509.72","3.57M","-0.40%"
"06/29/2022","515.71","508.85","518.70","506.01","3.82M","1.43%"
"06/28/2022","508.44","512.08","518.61","505.08","4.98M","0.55%"
"06/27/2022","505.66","492.83","511.89","492.58","3.91M","2.02%"
"06/24/2022","495.64","499.44","499.76","486.56","15.86M","-0.83%"
"06/23/2022","499.81","494.95","503.58","491.96","4.69M","2.07%"
"06/22/2022","489.68","475.72","495.92","474.54","5.06M","1.95%"
"06/21/2022","480.32","457.81","485.11","457.10","5.73M","6.25%"
