"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","455.07","448.95","457.44","446.64","639.73K","-0.25%"
"02/02/2023","456.20","460.80","466.01","451.04","1.21M","0.29%"
"02/01/2023","454.90","439.02","459.47","438.36","1.03M","3.16%"
"01/31/2023","440.95","430.01","441.17","425.55","912.39K","2.78%"
"01/30/2023","429.04","430.65","437.28","428.56","725.03K","-1.16%"
"01/27/2023","434.09","432.00","438.21","428.19","1.27M","0.60%"
"01/26/2023","431.48","414.53","431.89","404.39","1.98M","9.94%"
"01/25/2023","392.48","386.02","394.60","383.56","788.35K","-0.34%"
"01/24/2023","393.80","391.15","439.47","387.27","790.19K","0.45%"
"01/23/2023","392.03","386.28","392.91","384.33","742.64K","2.18%"
"01/20/2023","383.67","373.51","383.88","370.02","689.79K","2.77%"
"01/19/2023","373.33","381.10","382.85","372.65","628.24K","-3.28%"
"01/18/2023","386.01","391.25","394.40","384.57","583.06K","-0.74%"
"01/17/2023","388.87","391.60","392.84","386.72","460.54K","-0.86%"
"01/13/2023","392.24","388.23","392.64","386.36","471.77K","0.12%"
"01/12/2023","391.77","384.73","393.98","382.62","694.02K","2.03%"
"01/11/2023","383.97","382.94","387.48","381.02","580.89K","0.66%"
"01/10/2023","381.47","375.23","383.51","372.86","635.18K","1.45%"
"01/09/2023","376.00","382.73","388.74","374.81","806.37K","-0.36%"
"01/06/2023","377.34","367.65","379.77","366.56","711.62K","3.64%"
"01/05/2023","364.09","361.59","365.92","359.17","549.71K","-0.52%"
"01/04/2023","366.01","360.53","367.53","359.94","584.41K","2.61%"
"01/03/2023","356.71","357.70","359.40","352.19","492.92K","0.36%"
"12/30/2022","355.42","352.96","356.63","350.67","670.57K","-0.22%"
"12/29/2022","356.21","355.60","360.74","354.36","403.80K","1.23%"
"12/28/2022","351.88","359.34","361.08","351.40","381.62K","-1.90%"
"12/27/2022","358.68","355.24","364.66","354.04","616.96K","0.97%"
"12/23/2022","355.22","350.43","355.74","349.63","270.65K","1.24%"
"12/22/2022","350.88","354.59","354.79","343.21","680.87K","-2.49%"
"12/21/2022","359.83","353.44","360.37","351.25","534.36K","2.63%"
"12/20/2022","350.61","351.23","353.70","349.26","555.54K","-0.18%"
"12/19/2022","351.25","354.22","356.78","349.33","484.44K","-0.64%"
"12/16/2022","353.51","354.00","360.10","351.68","1.09M","-1.10%"
"12/15/2022","357.43","360.05","361.58","353.37","981.59K","-2.91%"
"12/14/2022","368.14","367.02","373.91","364.64","941.00K","0.31%"
"12/13/2022","367.02","371.28","372.00","361.71","731.66K","1.82%"
"12/12/2022","360.45","354.05","361.77","351.00","485.62K","2.22%"
"12/09/2022","352.63","361.60","363.47","352.55","428.58K","-2.49%"
"12/08/2022","361.64","355.61","361.99","354.49","862.39K","2.88%"
"12/07/2022","351.52","345.31","357.16","345.24","664.03K","1.22%"
"12/06/2022","347.29","346.94","350.04","343.60","681.84K","0.47%"
"12/05/2022","345.67","351.64","354.47","344.81","470.30K","-3.06%"
"12/02/2022","356.57","350.59","358.56","347.57","507.59K","0.04%"
"12/01/2022","356.42","354.00","358.45","350.31","522.52K","0.96%"
"11/30/2022","353.03","342.01","353.25","337.43","1.13M","3.01%"
"11/29/2022","342.73","348.15","348.95","341.48","717.00K","-1.40%"
"11/28/2022","347.59","355.01","358.76","345.65","665.63K","-3.19%"
"11/25/2022","359.03","360.00","361.99","355.00","197.66K","0.16%"
"11/23/2022","358.44","355.29","361.92","354.46","515.66K","0.62%"
"11/22/2022","356.24","359.41","359.98","353.70","641.94K","2.05%"
"11/21/2022","349.09","344.21","354.06","342.78","500.17K","0.98%"
"11/18/2022","345.70","353.48","354.95","341.54","474.65K","-0.50%"
"11/17/2022","347.42","341.65","352.14","335.94","795.88K","0.06%"
"11/16/2022","347.20","354.18","354.18","342.92","868.07K","-2.17%"
"11/15/2022","354.89","367.94","367.94","351.56","889.58K","-0.90%"
"11/14/2022","358.11","345.00","364.21","343.92","1.15M","2.52%"
"11/11/2022","349.31","346.25","362.56","346.25","1.03M","1.28%"
"11/10/2022","344.91","333.00","348.23","333.00","1.08M","8.57%"
"11/09/2022","317.68","323.66","326.20","317.37","545.26K","-3.10%"
"11/08/2022","327.83","324.77","330.21","321.03","645.49K","1.50%"
"11/07/2022","322.99","326.68","326.68","316.59","594.23K","-0.27%"
"11/04/2022","323.87","323.93","326.44","316.95","579.47K","2.38%"
"11/03/2022","316.33","303.83","318.96","303.31","520.96K","2.22%"
"11/02/2022","309.45","319.76","324.10","309.04","757.25K","-3.66%"
"11/01/2022","321.20","319.74","322.38","314.27","652.62K","1.74%"
"10/31/2022","315.71","309.57","319.64","308.27","900.98K","1.98%"
"10/28/2022","309.59","301.72","309.84","299.00","760.06K","3.69%"
"10/27/2022","298.57","301.92","304.95","293.11","1.04M","0.79%"
"10/26/2022","296.23","297.36","302.52","292.38","757.95K","0.44%"
"10/25/2022","294.94","288.48","296.98","288.14","841.20K","1.45%"
"10/24/2022","290.73","286.96","291.33","282.10","651.96K","2.13%"
"10/21/2022","284.68","274.74","285.88","271.71","661.94K","3.38%"
"10/20/2022","275.38","286.56","289.49","274.04","956.82K","-4.00%"
"10/19/2022","286.85","291.97","293.58","284.18","541.40K","-2.88%"
"10/18/2022","295.37","296.63","299.37","289.65","610.78K","2.62%"
"10/17/2022","287.84","284.00","289.46","280.60","542.92K","3.91%"
"10/14/2022","277.00","286.90","289.90","275.40","582.66K","-2.24%"
"10/13/2022","283.35","269.55","286.81","260.97","851.24K","2.45%"
"10/12/2022","276.58","277.78","281.58","274.30","668.57K","-0.42%"
"10/11/2022","277.76","280.06","282.57","274.07","668.74K","-1.51%"
"10/10/2022","282.02","287.12","288.51","281.15","594.09K","-0.88%"
"10/07/2022","284.52","288.27","290.79","280.90","827.36K","-3.09%"
"10/06/2022","293.58","293.13","298.14","291.95","672.72K","-0.10%"
"10/05/2022","293.88","288.79","296.94","287.61","453.66K","-0.13%"
"10/04/2022","294.26","289.40","294.39","289.35","478.05K","4.49%"
"10/03/2022","281.61","276.39","283.94","273.32","829.35K","4.25%"
"09/30/2022","270.12","269.13","276.63","265.02","930.35K","-0.01%"
"09/29/2022","270.15","272.80","274.18","264.42","534.39K","-2.48%"
"09/28/2022","277.02","265.91","278.28","264.70","860.14K","4.75%"
"09/27/2022","264.45","264.32","270.63","260.56","680.52K","1.71%"
"09/26/2022","260.01","261.95","269.81","257.60","728.48K","-1.28%"
"09/23/2022","263.37","268.59","269.75","256.23","1.10M","-3.62%"
"09/22/2022","273.27","282.61","283.88","270.47","1.01M","-3.39%"
"09/21/2022","282.87","292.88","295.98","282.57","763.20K","-2.38%"
"09/20/2022","289.76","290.54","290.88","285.20","608.67K","-1.92%"
"09/19/2022","295.42","284.12","295.91","283.14","625.32K","3.28%"
"09/16/2022","286.04","285.18","286.43","278.25","1.05M","-0.92%"
"09/15/2022","288.71","285.88","296.19","285.88","707.67K","-0.44%"
"09/14/2022","290.00","295.62","295.62","285.27","649.61K","-1.58%"
"09/13/2022","294.67","301.41","302.62","293.57","830.03K","-5.98%"
"09/12/2022","313.40","314.50","317.30","309.04","645.33K","0.73%"
"09/09/2022","311.14","307.93","311.83","307.29","469.45K","2.04%"
"09/08/2022","304.93","293.92","305.18","291.58","544.80K","2.63%"
