"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","49.30","48.82","49.62","48.71","6.58M","0.31%"
"02/02/2023","49.15","49.47","49.65","48.94","6.42M","-0.14%"
"02/01/2023","49.22","49.24","49.92","49.00","7.60M","-1.16%"
"01/31/2023","49.80","48.84","49.81","48.59","7.71M","2.05%"
"01/30/2023","48.80","48.57","49.34","48.54","5.78M","-0.12%"
"01/27/2023","48.86","48.62","48.89","48.18","6.57M","0.33%"
"01/26/2023","48.70","49.68","49.95","48.33","8.29M","-0.92%"
"01/25/2023","49.15","46.91","49.68","46.88","12.20M","5.31%"
"01/24/2023","46.67","47.75","47.80","46.46","12.20M","-2.10%"
"01/23/2023","47.67","46.68","47.69","46.53","8.12M","2.60%"
"01/20/2023","46.46","45.75","46.47","45.35","8.03M","1.82%"
"01/19/2023","45.63","45.40","45.94","44.92","8.95M","-0.39%"
"01/18/2023","45.81","47.03","47.29","45.76","8.28M","-3.44%"
"01/17/2023","47.44","47.58","47.74","46.81","10.15M","0.23%"
"01/13/2023","47.33","46.87","47.40","46.43","8.15M","-0.55%"
"01/12/2023","47.59","47.45","48.03","47.30","8.92M","1.02%"
"01/11/2023","47.11","46.91","47.33","46.72","8.70M","0.96%"
"01/10/2023","46.66","46.75","46.90","45.96","12.99M","0.11%"
"01/09/2023","46.61","46.41","46.80","46.12","13.17M","0.65%"
"01/06/2023","46.31","46.00","46.49","45.42","8.20M","1.40%"
"01/05/2023","45.67","45.86","46.00","45.06","8.25M","-0.78%"
"01/04/2023","46.03","45.11","46.40","45.11","16.01M","3.11%"
"01/03/2023","44.64","44.20","45.03","44.08","12.46M","2.36%"
"12/30/2022","43.61","43.40","43.79","43.28","5.74M","0.09%"
"12/29/2022","43.57","42.97","43.63","42.83","5.95M","0.51%"
"12/28/2022","43.35","43.72","43.82","43.08","6.36M","-0.69%"
"12/27/2022","43.65","43.35","43.75","43.12","7.50M","1.04%"
"12/23/2022","43.20","42.83","43.28","42.73","6.93M","0.82%"
"12/22/2022","42.85","42.48","42.85","42.25","12.29M","0.33%"
"12/21/2022","42.71","42.20","43.00","42.16","9.41M","1.86%"
"12/20/2022","41.93","42.11","42.28","41.81","14.17M","-0.05%"
"12/19/2022","41.95","42.10","42.65","41.60","11.66M","-0.47%"
"12/16/2022","42.15","42.50","42.80","41.83","19.31M","-1.61%"
"12/15/2022","42.84","42.65","43.03","42.41","10.18M","-1.04%"
"12/14/2022","43.29","44.08","44.26","42.98","11.24M","-2.17%"
"12/13/2022","44.25","44.52","44.94","43.91","15.42M","1.82%"
"12/12/2022","43.46","43.20","43.61","42.61","10.11M","0.81%"
"12/09/2022","43.11","43.36","43.80","43.03","9.10M","-1.03%"
"12/08/2022","43.56","43.62","43.67","43.03","6.97M","0.00%"
"12/07/2022","43.56","42.76","43.90","42.47","9.70M","1.44%"
"12/06/2022","42.94","43.96","44.06","42.23","9.62M","-2.21%"
"12/05/2022","43.91","45.64","45.69","43.62","13.67M","-3.79%"
"12/02/2022","45.64","45.16","45.73","45.08","10.79M","0.64%"
"12/01/2022","45.35","45.39","45.54","44.85","8.49M","-0.09%"
"11/30/2022","45.39","44.44","45.52","43.72","11.69M","1.79%"
"11/29/2022","44.59","43.80","44.62","43.70","7.85M","1.94%"
"11/28/2022","43.74","43.99","44.29","43.63","6.79M","-1.17%"
"11/25/2022","44.26","44.25","44.39","44.06","2.56M","0.34%"
"11/23/2022","44.11","43.93","44.16","43.82","6.23M","0.46%"
"11/22/2022","43.91","43.53","43.95","43.45","7.00M","1.20%"
"11/21/2022","43.39","43.37","43.83","43.26","9.33M","0.02%"
"11/18/2022","43.38","43.34","43.49","42.89","6.16M","1.43%"
"11/17/2022","42.77","42.44","42.83","42.33","6.38M","-0.37%"
"11/16/2022","42.93","43.76","43.81","42.82","9.90M","-1.92%"
"11/15/2022","43.77","44.49","44.53","43.31","11.17M","-0.18%"
"11/14/2022","43.85","44.96","45.06","43.81","8.21M","-2.38%"
"11/11/2022","44.92","44.44","45.05","44.44","10.69M","0.11%"
"11/10/2022","44.87","44.00","45.02","43.91","14.06M","3.77%"
"11/09/2022","43.24","43.79","43.88","43.16","9.42M","-2.11%"
"11/08/2022","44.17","43.75","44.36","43.47","12.79M","1.47%"
"11/07/2022","43.53","43.20","43.60","42.76","12.21M","1.63%"
"11/04/2022","42.83","41.98","42.88","41.98","13.76M","3.20%"
"11/03/2022","41.50","41.18","41.80","40.56","12.86M","-0.60%"
"11/02/2022","41.75","42.58","43.15","41.73","9.27M","-2.64%"
"11/01/2022","42.88","42.80","43.15","42.31","8.04M","1.01%"
"10/31/2022","42.45","42.52","42.96","42.42","11.72M","-0.96%"
"10/28/2022","42.86","42.16","42.92","41.98","7.78M","1.85%"
"10/27/2022","42.08","42.70","42.97","42.02","7.81M","-0.73%"
"10/26/2022","42.39","42.00","42.62","41.95","10.21M","0.90%"
"10/25/2022","42.01","40.66","42.09","40.56","13.06M","2.14%"
"10/24/2022","41.13","40.69","41.52","40.45","9.55M","1.53%"
"10/21/2022","40.51","39.86","40.70","39.57","12.85M","1.25%"
"10/20/2022","40.01","41.41","41.66","39.91","10.51M","-3.03%"
"10/19/2022","41.26","42.36","42.66","41.10","10.20M","-3.60%"
"10/18/2022","42.80","43.42","43.65","42.32","16.11M","0.38%"
"10/17/2022","42.64","43.88","44.15","42.27","21.46M","-0.28%"
"10/14/2022","42.76","42.15","43.29","41.67","19.27M","3.36%"
