"Date";"ameren";"american_airlines";"the_aes";"atmos_energy";"american_water_works";"cms_energy";"centerpoint_energy";"dominion_energy";"dte_energy";"duke_energy";"consolidated_edison";"edison";"eversource_energy";"entergy";"evergy";"exelon";"firstenergy";"alliant_energy";"nextera_energy";"ni_source";"nrg";"public_service_enterprise";"pinnacle_west";"ppc";"southern";"sempra_energy";"wec_energy";"xcel_energy"
2023-01-20;86,68;92,17;26,93;113;151,54;62,01;30,11;62,42;113,97;101,82;93,79;66,73;79,74;107,44;59,63;42,34;42,2;53,89;81,82;27,21;32,21;60,43;75,36;29,32;67,12;157,99;93,08;68,55
2023-01-19;86,04;91,63;26,64;112,04;150,19;61,1;30,28;62,01;112,56;101,97;92,48;65,67;79,78;107;59,21;42,04;41,9;53,21;82,59;26,83;31,03;60,02;74,19;29,15;66,45;155,78;91,8;68
2023-01-18;86,68;92,45;26,92;111,62;152,69;61,31;30,39;61,81;113,9;102,25;93,34;66,79;81,21;107,59;60,47;42,23;42,12;53,71;83,8;27,04;31,63;60,83;74,39;29,71;67,72;156,69;92,53;68,76
2023-01-17;89,24;94,86;27,6;113,95;157,24;63,48;31,08;62,52;117,31;104,22;95,49;68,7;83,73;106,91;62,58;43,16;42,99;55,08;85,74;27,62;32,15;62,9;75,11;30,59;70,05;161,77;95,04;71,09
2023-01-13;90,15;94,84;27,86;114,74;158,87;63,92;31,31;62,92;117,93;104,98;96,49;68,2;84,02;106,56;62,89;43,38;42,73;55,51;84,68;27,79;31,88;62,66;75,37;30,61;70,32;160,83;95,75;71,17
2023-01-12;89,75;96,41;27,69;116,38;159,42;64,34;31,07;62,91;119,39;105,08;97,53;68,45;85,13;106,84;63,91;43,38;43,09;55,8;85,07;27,9;32,62;62,79;76,2;30,72;70,34;160,93;96,86;71,95
2023-01-11;90,62;97,63;27,73;116,73;161,42;65,39;31,15;62,38;120,72;105,66;98,61;69,42;85,81;108,79;64,41;44,14;42,86;55,94;85;27,93;32,29;63,97;76,46;30,8;71,56;162,06;98,2;72,78
2023-01-10;89,12;97,28;27,23;114,3;160,77;64,89;30,56;61,83;120,02;105,43;98,09;68,2;85,69;107,73;64,16;43,69;42,59;54,97;84,54;27,56;32,86;63,67;75,65;30,17;71,11;157,51;96,72;72,11
2023-01-09;89,41;97,95;27,25;113,79;158,44;64,99;30,47;61,59;120,46;105,19;97,72;67,79;85,71;108,46;64,28;44,15;42,4;55,44;84,07;27,88;32,64;63,49;75,55;30,17;71,5;157,13;96,56;71,98
2023-01-06;88,32;96,53;26,43;112,53;158,26;64,44;29,99;61,87;119,44;105,18;97,83;66,87;85,8;107,68;64,72;43,67;42,37;55,35;83,65;27,61;32,2;62,64;75,46;29,96;71,63;154,54;94,77;71,29
2023-01-05;86;93,78;25,87;108,87;154,67;63,28;28,98;61,46;116,58;103,26;95,29;64,89;83,75;103,66;62,99;42,78;41,68;54,13;82,63;27,13;31,75;61,12;73,65;29,24;70,38;152,48;92,41;69,24
2023-01-04;88,96;95,52;27,28;111,94;157,17;64,63;29,65;63,21;119,56;104,81;96,59;66,39;85,33;109,21;63,9;43,73;42,34;55,79;84,49;27,78;32,09;62,51;75,39;29,93;72,51;155,04;94,78;70,67
2023-01-03;88,49;94,87;28,11;111,2;154,1;63,73;29,56;62,97;117,86;103,7;95,76;64,28;84,22;109,13;62,93;43,16;42,03;55,37;83,83;27,44;31,93;62,05;74,63;29,2;71,9;153,71;94,16;70,07
2022-12-30;88,92;94,95;28,76;112,07;152,42;63,33;29,99;61,32;117,53;102,99;95,31;63,62;83,84;112,5;62,92;43,23;41,94;55,21;83,6;27,42;31,82;61,27;76,04;29,22;71,41;154,54;93,76;70,11
2022-12-29;90,01;96,01;28,81;114,49;154,78;64,18;30,48;61,64;119,18;103,84;96,49;64,4;85,08;114,09;63,51;43,13;42,25;56,03;84,08;27,84;32,4;61,83;77,13;29,66;72,19;155,88;95,41;71,07
2022-12-28;89,38;95,36;28,32;115,07;153,12;63,63;30,52;61,46;118,22;102,9;95,97;65,02;84,28;112,97;63,24;42,94;42,07;55,21;83,16;27,55;31,86;61,29;76,81;29,44;71,65;156,32;95,07;70,57
