"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","30.62","30.53","31.50","30.07","4.65M","-1.67%"
"02/02/2023","31.14","31.70","32.13","30.94","7.04M","-1.58%"
"02/01/2023","31.64","30.81","31.98","30.22","4.98M","2.26%"
"01/31/2023","30.94","30.28","30.94","30.27","10.11M","2.72%"
"01/30/2023","30.12","29.89","30.55","29.63","5.04M","-1.08%"
"01/27/2023","30.45","29.71","30.80","29.65","4.05M","1.84%"
"01/26/2023","29.90","30.51","30.67","29.33","4.27M","0.03%"
"01/25/2023","29.89","29.92","29.98","28.90","5.69M","-1.22%"
"01/24/2023","30.26","29.85","30.59","29.77","3.63M","-0.75%"
"01/23/2023","30.49","29.42","30.53","29.42","4.06M","3.92%"
"01/20/2023","29.34","28.41","29.38","28.34","4.73M","3.24%"
"01/19/2023","28.42","29.46","29.46","28.13","6.38M","-5.46%"
"01/18/2023","30.06","30.74","31.02","30.02","4.54M","-1.80%"
"01/17/2023","30.61","30.98","31.33","30.34","5.94M","-1.67%"
"01/13/2023","31.13","30.33","31.16","30.18","5.18M","1.24%"
"01/12/2023","30.75","30.50","30.92","30.02","4.55M","1.89%"
"01/11/2023","30.18","30.04","30.26","29.55","4.91M","0.70%"
"01/10/2023","29.97","29.63","30.01","29.27","3.08M","1.35%"
"01/09/2023","29.57","29.55","30.19","28.90","4.62M","0.10%"
"01/06/2023","29.54","29.26","29.83","29.00","4.89M","0.31%"
"01/05/2023","29.45","29.04","29.51","28.38","4.60M","-0.24%"
"01/04/2023","29.52","28.16","29.65","27.96","7.39M","6.42%"
"01/03/2023","27.74","28.01","28.45","27.50","6.02M","0.47%"
"12/30/2022","27.61","27.05","27.66","27.05","4.60M","0.62%"
"12/29/2022","27.44","26.17","27.51","26.17","5.85M","6.11%"
"12/28/2022","25.86","27.12","27.30","25.70","5.74M","-4.79%"
"12/27/2022","27.16","26.10","27.17","25.78","9.71M","4.18%"
"12/23/2022","26.07","25.96","26.23","25.81","6.40M","-0.53%"
"12/22/2022","26.21","25.15","26.21","25.05","9.07M","2.95%"
"12/21/2022","25.46","25.96","26.13","25.38","7.78M","1.15%"
"12/20/2022","25.17","25.80","25.96","25.10","6.16M","-3.38%"
"12/19/2022","26.05","26.44","26.80","25.77","6.55M","-1.21%"
"12/16/2022","26.37","27.09","27.42","26.06","12.93M","-4.21%"
"12/15/2022","27.53","27.41","27.95","27.07","9.88M","-1.82%"
"12/14/2022","28.04","28.40","28.47","27.27","8.76M","-1.34%"
"12/13/2022","28.42","29.20","29.42","28.15","11.36M","0.96%"
"12/12/2022","28.15","28.28","28.32","27.80","9.27M","-0.18%"
"12/09/2022","28.20","28.00","28.56","27.80","6.32M","-1.64%"
"12/08/2022","28.67","29.26","29.28","28.48","6.30M","-1.04%"
"12/07/2022","28.97","29.23","29.70","28.63","6.93M","-1.43%"
"12/06/2022","29.39","29.61","29.83","29.00","7.16M","-0.41%"
"12/05/2022","29.51","31.00","31.25","29.26","12.94M","-11.17%"
"12/02/2022","33.22","33.10","33.49","32.33","3.55M","-0.78%"
"12/01/2022","33.48","33.22","34.28","33.13","5.55M","2.01%"
"11/30/2022","32.82","32.49","32.85","31.52","6.93M","1.11%"
"11/29/2022","32.46","32.43","32.62","31.56","7.00M","0.15%"
"11/28/2022","32.41","34.23","34.44","32.34","5.31M","-5.62%"
"11/25/2022","34.34","33.66","34.39","33.66","1.81M","1.72%"
"11/23/2022","33.76","33.59","33.81","33.30","3.34M","0.27%"
"11/22/2022","33.67","32.56","33.71","32.22","5.56M","4.08%"
"11/21/2022","32.35","32.57","32.94","32.08","4.69M","-2.21%"
"11/18/2022","33.08","33.56","33.83","32.75","4.65M","1.47%"
"11/17/2022","32.60","31.73","32.65","31.47","4.08M","1.34%"
"11/16/2022","32.17","32.63","32.76","31.84","4.87M","-3.83%"
"11/15/2022","33.45","34.03","34.90","32.97","5.44M","1.03%"
"11/14/2022","33.11","33.04","33.92","32.90","7.61M","-0.69%"
"11/11/2022","33.34","30.26","33.48","30.21","10.06M","11.39%"
