"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","183.52","185.22","186.60","182.90","526.78K","-2.13%"
"02/02/2023","187.52","185.76","189.07","184.39","1.03M","1.97%"
"02/01/2023","183.89","182.91","185.38","180.15","560.76K","0.31%"
"01/31/2023","183.33","179.58","183.33","179.06","687.65K","2.77%"
"01/30/2023","178.38","177.61","180.04","177.33","710.27K","-0.07%"
"01/27/2023","178.50","178.79","180.10","177.74","868.96K","-0.57%"
"01/26/2023","179.52","179.61","179.61","175.16","743.07K","0.48%"
"01/25/2023","178.67","176.91","179.20","175.02","625.52K","0.21%"
"01/24/2023","178.30","177.44","179.02","176.18","570.72K","-0.64%"
"01/23/2023","179.45","178.75","180.24","176.97","719.93K","0.31%"
"01/20/2023","178.89","177.28","179.26","175.82","819.65K","1.26%"
"01/19/2023","176.67","179.74","180.58","176.43","498.83K","-2.05%"
"01/18/2023","180.36","182.61","184.20","180.10","458.20K","-1.21%"
"01/17/2023","182.56","182.31","183.01","181.05","442.27K","-0.34%"
"01/13/2023","183.19","181.56","184.08","180.00","479.46K","1.32%"
"01/12/2023","180.81","182.80","183.47","179.13","633.74K","-0.88%"
"01/11/2023","182.41","177.96","182.47","177.39","679.57K","3.20%"
"01/10/2023","176.75","177.08","177.56","174.82","671.28K","-0.71%"
"01/09/2023","178.02","181.92","182.30","177.68","806.12K","-1.84%"
"01/06/2023","181.36","177.61","181.53","175.94","700.35K","3.36%"
"01/05/2023","175.46","177.78","178.93","175.07","432.35K","-2.29%"
"01/04/2023","179.57","178.18","179.85","176.84","606.36K","1.97%"
"01/03/2023","176.10","177.40","178.09","174.76","591.94K","0.57%"
"12/30/2022","175.11","174.84","175.66","172.69","449.11K","-0.52%"
"12/29/2022","176.03","175.55","177.03","174.10","326.26K","1.11%"
"12/28/2022","174.09","176.17","176.78","174.04","269.83K","-0.91%"
"12/27/2022","175.68","175.80","176.71","174.53","330.41K","0.27%"
"12/23/2022","175.20","173.78","175.23","172.50","413.08K","0.67%"
"12/22/2022","174.03","174.19","174.95","171.28","660.08K","-1.10%"
"12/21/2022","175.96","178.06","178.71","175.22","637.22K","-0.35%"
"12/20/2022","176.58","175.50","177.62","174.96","682.98K","0.66%"
"12/19/2022","175.42","177.46","178.72","174.25","654.99K","-0.99%"
"12/16/2022","177.17","176.97","178.42","175.11","963.25K","-1.18%"
"12/15/2022","179.28","181.68","182.11","178.60","611.01K","-2.88%"
"12/14/2022","184.60","185.02","185.99","182.40","837.23K","-0.72%"
"12/13/2022","185.93","188.61","190.15","184.00","919.84K","0.97%"
"12/12/2022","184.14","182.78","184.16","180.84","679.33K","0.93%"
"12/09/2022","182.45","182.58","184.99","181.96","911.82K","-0.20%"
"12/08/2022","182.81","183.47","183.66","181.11","559.35K","2.07%"
"12/07/2022","179.10","178.18","181.18","178.01","600.73K","0.65%"
"12/06/2022","177.95","179.66","180.00","176.44","484.09K","-0.59%"
"12/05/2022","179.00","182.31","182.31","178.24","590.94K","-2.98%"
"12/02/2022","184.49","181.76","185.46","180.88","528.67K","0.36%"
"12/01/2022","183.83","184.25","184.82","182.00","638.35K","0.27%"
"11/30/2022","183.33","177.90","183.77","177.45","860.83K","2.73%"
"11/29/2022","178.45","179.12","180.37","177.83","501.96K","-0.68%"
"11/28/2022","179.68","182.25","183.33","178.99","658.30K","-2.00%"
"11/25/2022","183.34","182.03","183.34","181.43","170.38K","0.58%"
"11/23/2022","182.28","182.48","184.85","181.61","333.64K","0.00%"
"11/22/2022","182.28","179.49","182.48","178.81","567.01K","2.08%"
"11/21/2022","178.56","178.49","180.27","177.30","366.59K","-0.18%"
"11/18/2022","178.89","177.87","179.71","176.80","652.87K","1.79%"
"11/17/2022","175.74","174.90","175.93","173.48","569.66K","-0.59%"
"11/16/2022","176.79","175.50","177.55","174.40","1.26M","0.51%"
"11/15/2022","175.90","177.99","179.73","173.78","743.09K","0.42%"
"11/14/2022","175.16","177.86","179.76","174.96","589.96K","-2.12%"
"11/11/2022","178.96","181.48","183.57","178.01","920.73K","-0.62%"
"11/10/2022","180.07","176.12","181.88","176.12","1.10M","6.59%"
"11/09/2022","168.94","171.75","171.98","168.55","544.23K","-2.06%"
"11/08/2022","172.50","173.22","174.09","170.92","552.25K","0.20%"
"11/07/2022","172.16","171.41","173.01","168.87","838.65K","1.18%"
"11/04/2022","170.15","171.73","172.99","167.86","944.17K","0.66%"
"11/03/2022","169.04","160.94","171.54","160.66","1.49M","3.76%"
"11/02/2022","162.91","166.94","169.93","162.88","1.38M","-1.14%"
"11/01/2022","164.79","165.26","166.23","162.03","1.47M","0.67%"
"10/31/2022","163.70","164.87","165.49","162.21","845.01K","-1.20%"
"10/28/2022","165.69","162.60","166.52","161.51","729.44K","2.24%"
"10/27/2022","162.06","161.67","164.09","161.53","556.18K","0.40%"
"10/26/2022","161.41","162.79","163.19","160.13","646.30K","-0.54%"
"10/25/2022","162.28","155.07","163.01","155.07","735.71K","4.08%"
"10/24/2022","155.92","156.71","157.29","154.63","885.65K","0.32%"
"10/21/2022","155.43","149.24","155.88","148.51","832.01K","4.20%"
"10/20/2022","149.16","154.47","156.25","149.06","928.02K","-3.62%"
"10/19/2022","154.77","157.53","158.00","153.14","593.98K","-2.53%"
"10/18/2022","158.78","157.38","159.29","156.81","598.72K","3.08%"
"10/17/2022","154.03","150.65","154.45","150.10","529.12K","3.77%"
"10/14/2022","148.44","156.99","157.48","148.01","603.45K","-4.40%"
"10/13/2022","155.27","150.37","156.47","147.64","832.43K","0.78%"
"10/12/2022","154.07","156.03","156.03","152.82","664.94K","-1.41%"
"10/11/2022","156.27","158.17","159.22","156.11","536.40K","-1.21%"
"10/10/2022","158.18","158.90","159.30","156.26","374.70K","0.44%"
"10/07/2022","157.49","160.27","160.60","156.50","509.03K","-2.90%"
"10/06/2022","162.20","163.41","164.94","162.01","538.26K","-1.16%"
"10/05/2022","164.11","161.76","165.88","161.24","654.86K","0.09%"
"10/04/2022","163.96","163.49","165.52","163.30","653.66K","2.22%"
"10/03/2022","160.40","158.87","162.10","158.04","912.50K","1.71%"
"09/30/2022","157.71","158.22","161.79","156.75","950.83K","-0.04%"
"09/29/2022","157.78","154.14","158.12","151.73","1.63M","1.04%"
"09/28/2022","156.15","153.40","156.81","152.43","662.22K","2.50%"
"09/27/2022","152.34","155.82","156.37","150.54","860.84K","-1.05%"
"09/26/2022","153.95","155.91","157.33","152.55","779.43K","-1.08%"
"09/23/2022","155.63","156.02","156.88","153.23","763.77K","-2.09%"
"09/22/2022","158.96","160.17","161.66","158.61","647.02K","-0.94%"
"09/21/2022","160.47","164.05","167.06","160.37","802.43K","-1.06%"
"09/20/2022","162.19","160.90","162.83","159.30","814.82K","-0.48%"
"09/19/2022","162.97","158.52","163.28","158.46","763.07K","2.24%"
"09/16/2022","159.40","161.48","161.48","157.39","1.05M","-1.74%"
"09/15/2022","162.22","160.22","164.08","159.84","752.61K","1.25%"
"09/14/2022","160.22","163.45","163.67","158.30","1.06M","-2.10%"
"09/13/2022","163.66","167.51","168.09","163.10","688.10K","-4.46%"
"09/12/2022","171.30","173.22","173.74","170.29","776.17K","-0.30%"
"09/09/2022","171.81","172.00","172.72","171.05","723.83K","0.57%"
"09/08/2022","170.83","168.45","171.67","166.83","718.59K","0.47%"
"09/07/2022","170.03","163.77","170.14","163.77","478.20K","3.42%"
"09/06/2022","164.41","165.69","166.40","163.30","570.64K","-0.33%"
"09/02/2022","164.95","168.49","169.73","163.95","537.12K","-0.76%"
"09/01/2022","166.22","167.15","167.15","163.77","781.57K","-0.16%"
"08/31/2022","166.49","167.91","167.91","164.90","736.59K","-0.17%"
"08/30/2022","166.77","169.87","170.48","164.70","578.79K","-1.46%"
"08/29/2022","169.24","167.39","171.58","167.39","498.74K","0.08%"
"08/26/2022","169.11","174.82","174.82","168.51","579.03K","-3.30%"
"08/25/2022","174.88","172.39","174.97","171.98","469.71K","2.19%"
"08/24/2022","171.14","171.10","172.40","169.91","722.18K","-0.01%"
"08/23/2022","171.15","172.00","173.50","170.75","453.58K","-0.59%"
"08/22/2022","172.17","172.66","174.34","172.02","682.46K","-1.99%"
"08/19/2022","175.66","177.84","177.84","175.07","534.79K","-1.20%"
"08/18/2022","177.79","178.10","179.05","176.45","413.15K","-0.24%"
"08/17/2022","178.21","176.26","178.79","175.84","672.13K","-0.10%"
"08/16/2022","178.39","176.45","179.75","176.45","504.31K","0.27%"
"08/15/2022","177.91","177.16","179.40","176.21","497.43K","-0.18%"
"08/12/2022","178.23","176.52","178.29","175.65","572.60K","1.49%"
"08/11/2022","175.61","176.43","177.68","175.43","619.47K","0.62%"
"08/10/2022","174.52","174.20","175.85","173.58","538.84K","2.36%"
"08/09/2022","170.50","171.74","172.32","169.68","705.25K","-0.97%"
"08/08/2022","172.17","173.11","174.79","170.05","803.51K","0.09%"
"08/05/2022","172.02","168.42","172.87","167.22","1.12M","0.94%"
"08/04/2022","170.42","164.41","174.21","163.52","1.43M","2.51%"
"08/03/2022","166.25","165.27","166.94","164.28","843.11K","1.38%"
"08/02/2022","163.98","163.64","166.05","162.74","524.46K","-0.53%"
"08/01/2022","164.86","164.01","166.37","163.34","676.54K","-0.28%"
"07/29/2022","165.33","163.67","165.98","163.32","693.93K","1.49%"
"07/28/2022","162.91","161.37","163.40","159.13","578.44K","1.44%"
"07/27/2022","160.60","157.20","161.04","155.76","730.36K","2.81%"
