"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","24.85","25.70","25.87","24.72","3.75M","-5.62%"
"02/02/2023","26.33","25.10","26.76","25.08","5.81M","7.34%"
"02/01/2023","24.53","24.01","24.60","23.57","2.24M","0.57%"
"01/31/2023","24.39","23.41","24.43","23.27","2.46M","4.10%"
"01/30/2023","23.43","23.26","23.63","23.25","2.59M","-0.30%"
"01/27/2023","23.50","21.90","23.53","21.90","2.72M","5.29%"
"01/26/2023","22.32","22.66","22.75","21.99","2.70M","-0.58%"
"01/25/2023","22.45","21.81","22.53","21.71","1.88M","1.54%"
"01/24/2023","22.11","22.49","22.52","22.07","1.56M","-1.38%"
"01/23/2023","22.42","22.32","22.74","22.17","2.32M","0.76%"
"01/20/2023","22.25","22.11","22.25","21.88","4.06M","0.36%"
"01/19/2023","22.17","22.68","22.75","22.10","3.21M","-3.90%"
"01/18/2023","23.07","23.43","23.55","22.83","2.06M","-0.99%"
"01/17/2023","23.30","23.35","23.53","23.18","2.69M","-0.04%"
"01/13/2023","23.31","22.70","23.40","22.62","2.45M","1.22%"
"01/12/2023","23.03","22.80","23.13","22.48","2.15M","2.08%"
"01/11/2023","22.56","21.97","22.60","21.95","2.93M","3.39%"
"01/10/2023","21.82","21.20","21.89","21.13","4.39M","2.97%"
"01/09/2023","21.19","21.78","21.87","21.17","6.34M","-2.62%"
"01/06/2023","21.76","21.40","21.86","21.22","2.72M","1.82%"
"01/05/2023","21.37","20.92","21.40","20.70","6.41M","0.66%"
"01/04/2023","21.23","21.44","21.80","21.03","60.78M","0.95%"
"01/03/2023","21.03","21.09","21.36","20.40","5.73M","1.06%"
"12/30/2022","20.81","20.96","21.14","20.41","4.13M","-1.98%"
"12/29/2022","21.23","20.99","21.47","20.89","4.49M","1.63%"
"12/28/2022","20.89","21.50","21.62","20.74","2.43M","-2.93%"
"12/27/2022","21.52","21.45","21.58","21.18","1.57M","0.33%"
"12/23/2022","21.45","21.34","21.62","21.23","1.58M","0.00%"
"12/22/2022","21.45","20.79","21.48","20.48","2.51M","1.76%"
"12/21/2022","21.08","21.31","21.55","21.02","2.15M","-0.38%"
"12/20/2022","21.16","21.18","21.57","21.11","1.99M","-0.70%"
"12/19/2022","21.31","21.62","21.71","21.14","2.17M","-1.57%"
"12/16/2022","21.65","22.04","22.39","21.31","9.69M","-4.20%"
"12/15/2022","22.60","22.70","22.85","22.39","2.59M","-1.61%"
"12/14/2022","22.97","22.77","23.52","22.69","3.06M","-0.39%"
"12/13/2022","23.06","23.65","24.07","22.75","4.00M","2.04%"
"12/12/2022","22.60","22.14","22.62","21.64","3.24M","2.31%"
"12/09/2022","22.09","21.27","22.26","21.17","2.37M","2.98%"
"12/08/2022","21.45","21.44","21.88","21.27","5.14M","0.75%"
"12/07/2022","21.29","21.80","21.87","20.94","5.00M","-3.27%"
"12/06/2022","22.01","22.96","23.01","21.78","3.98M","-3.89%"
"12/05/2022","22.90","23.94","23.99","22.90","4.47M","-5.92%"
"12/02/2022","24.34","24.44","24.58","24.14","2.74M","-1.78%"
"12/01/2022","24.78","25.50","25.80","24.70","2.28M","-2.02%"
"11/30/2022","25.29","25.19","25.44","24.59","12.12M","-0.08%"
"11/29/2022","25.31","24.86","25.52","24.66","2.56M","2.18%"
"11/28/2022","24.77","24.81","25.10","24.49","3.94M","-1.24%"
"11/25/2022","25.08","24.56","25.08","24.51","1.42M","1.70%"
"11/23/2022","24.66","24.48","24.70","24.26","1.77M","-0.12%"
"11/22/2022","24.69","24.10","24.71","23.96","2.22M","2.15%"
"11/21/2022","24.17","23.77","24.24","23.70","2.55M","0.79%"
"11/18/2022","23.98","24.61","24.64","23.85","2.90M","-0.29%"
"11/17/2022","24.05","23.73","24.15","23.51","3.06M","-1.27%"
"11/16/2022","24.36","24.85","24.98","24.24","3.58M","-2.99%"
"11/15/2022","25.11","25.36","25.79","24.82","4.66M","0.68%"
"11/14/2022","24.94","25.54","25.88","24.92","2.60M","-3.22%"
"11/11/2022","25.77","25.03","26.28","24.75","3.78M","2.71%"
"11/10/2022","25.09","23.71","25.25","23.65","4.72M","11.51%"
"11/09/2022","22.50","22.83","22.97","22.44","3.54M","-2.43%"
"11/08/2022","23.06","23.00","23.21","22.70","4.34M","0.57%"
"11/07/2022","22.93","23.44","23.63","22.55","2.50M","-0.86%"
"11/04/2022","23.13","22.57","23.15","22.49","3.89M","2.12%"
"11/03/2022","22.65","22.35","22.93","21.75","4.46M","-0.83%"
"11/02/2022","22.84","23.00","23.74","22.72","5.39M","-1.51%"
"11/01/2022","23.19","24.51","24.70","22.71","8.17M","-1.70%"
"10/31/2022","23.59","23.65","23.78","23.15","3.86M","-0.88%"
"10/28/2022","23.80","23.13","23.82","23.07","2.67M","2.45%"
"10/27/2022","23.23","23.62","23.94","23.18","2.60M","-0.64%"
"10/26/2022","23.38","23.77","23.85","23.24","2.77M","-1.56%"
"10/25/2022","23.75","22.95","24.11","22.85","2.81M","4.17%"
"10/24/2022","22.80","22.63","22.94","22.30","3.50M","1.83%"
"10/21/2022","22.39","21.97","22.46","21.62","3.18M","2.52%"
"10/20/2022","21.84","21.74","22.16","21.53","2.80M","1.16%"
"10/19/2022","21.59","22.28","22.39","21.49","2.99M","-5.31%"
"10/18/2022","22.80","23.16","23.43","22.59","2.53M","-0.52%"
"10/17/2022","22.92","22.56","23.19","22.44","4.36M","4.51%"
"10/14/2022","21.93","22.09","22.34","21.71","4.95M","1.29%"
"10/13/2022","21.65","20.59","21.75","20.03","3.42M","2.66%"
"10/12/2022","21.09","21.12","21.26","20.68","2.88M","-0.47%"
"10/11/2022","21.19","21.17","21.52","20.74","3.06M","-0.28%"
"10/10/2022","21.25","21.37","21.49","20.98","3.10M","-0.33%"
"10/07/2022","21.32","21.75","22.04","21.07","5.33M","-3.79%"
"10/06/2022","22.16","22.47","22.66","21.73","3.04M","-1.38%"
"10/05/2022","22.47","23.34","23.41","21.75","3.21M","-6.38%"
"10/04/2022","24.00","23.50","24.07","23.48","3.58M","3.54%"
"10/03/2022","23.18","24.21","24.34","23.13","3.31M","0.09%"
"09/30/2022","23.16","23.10","23.42","22.93","3.42M","0.96%"
"09/29/2022","22.94","23.69","23.80","22.83","2.06M","-4.50%"
