"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","180.11","185.07","185.12","179.83","1.52M","-3.69%"
"02/02/2023","187.02","185.00","188.85","182.19","1.13M","1.55%"
"02/01/2023","184.16","181.23","185.55","179.39","1.14M","1.30%"
"01/31/2023","181.79","180.00","181.85","179.12","1.14M","1.33%"
"01/30/2023","179.41","180.13","180.76","178.52","1.07M","-0.41%"
"01/27/2023","180.15","180.19","181.33","178.90","1.01M","-0.46%"
"01/26/2023","180.99","181.06","181.65","178.98","809.49K","0.49%"
"01/25/2023","180.11","180.75","180.96","176.78","941.12K","-1.77%"
"01/24/2023","183.35","185.17","185.51","182.60","799.17K","-1.08%"
"01/23/2023","185.36","182.35","187.42","181.64","825.36K","2.06%"
"01/20/2023","181.61","176.89","181.98","176.37","832.69K","1.85%"
"01/19/2023","178.31","179.67","180.67","177.69","792.33K","-1.32%"
"01/18/2023","180.69","181.95","183.66","179.89","662.53K","-0.48%"
"01/17/2023","181.57","182.91","183.63","181.14","829.17K","-1.29%"
"01/13/2023","183.95","182.25","184.32","182.04","493.03K","0.54%"
"01/12/2023","182.96","186.18","186.80","181.74","657.87K","-1.88%"
"01/11/2023","186.47","184.51","186.52","183.50","687.11K","1.60%"
"01/10/2023","183.54","181.00","183.89","180.37","402.92K","0.82%"
"01/09/2023","182.05","183.00","185.16","181.88","1.10M","-0.45%"
"01/06/2023","182.88","179.51","183.52","178.00","728.71K","2.95%"
"01/05/2023","177.64","178.83","179.06","176.36","693.27K","-1.45%"
"01/04/2023","180.25","179.84","181.64","178.70","603.07K","1.64%"
"01/03/2023","177.34","177.40","179.35","176.02","644.38K","0.52%"
"12/30/2022","176.42","176.63","177.80","174.07","617.69K","-0.92%"
"12/29/2022","178.06","174.61","179.07","174.61","506.88K","2.20%"
"12/28/2022","174.23","175.56","177.61","173.99","572.42K","-0.76%"
"12/27/2022","175.56","175.80","176.62","174.32","497.85K","-0.03%"
"12/23/2022","175.61","173.52","175.87","173.28","470.63K","0.65%"
"12/22/2022","174.48","174.33","174.61","171.19","653.38K","-0.93%"
"12/21/2022","176.12","173.46","176.82","171.98","689.62K","2.28%"
"12/20/2022","172.19","173.04","173.51","170.54","719.60K","-0.59%"
"12/19/2022","173.22","174.82","175.80","171.70","833.82K","-1.03%"
"12/16/2022","175.02","175.20","177.29","174.52","1.88M","-0.89%"
"12/15/2022","176.60","181.67","182.28","176.10","1.20M","-3.48%"
"12/14/2022","182.97","184.57","187.29","181.10","771.62K","-0.94%"
"12/13/2022","184.70","188.87","189.18","182.90","707.05K","1.54%"
"12/12/2022","181.90","183.57","184.15","178.89","908.83K","-0.33%"
"12/09/2022","182.51","182.18","183.61","180.82","928.33K","0.18%"
"12/08/2022","182.18","182.54","183.83","180.99","640.08K","-0.43%"
"12/07/2022","182.96","181.16","185.26","181.16","868.11K","0.51%"
"12/06/2022","182.04","183.15","183.60","181.25","874.48K","-0.61%"
"12/05/2022","183.15","183.71","184.01","182.10","859.96K","-1.23%"
"12/02/2022","185.44","183.76","186.47","180.84","848.48K","-0.38%"
"12/01/2022","186.14","185.32","187.68","184.89","875.54K","1.32%"
"11/30/2022","183.71","177.00","184.42","176.73","2.04M","3.83%"
"11/29/2022","176.93","175.56","177.91","174.68","791.03K","-0.34%"
"11/28/2022","177.54","181.62","183.34","177.32","828.48K","-2.91%"
"11/25/2022","182.87","180.99","183.67","180.00","454.83K","1.57%"
"11/23/2022","180.05","178.75","181.61","178.05","629.33K","0.78%"
"11/22/2022","178.65","180.35","181.70","178.38","990.87K","-0.72%"
"11/21/2022","179.95","174.00","180.98","173.90","1.21M","3.69%"
"11/18/2022","173.54","172.41","174.11","170.70","1.27M","1.94%"
"11/17/2022","170.23","172.56","173.46","167.81","1.96M","-2.45%"
"11/16/2022","174.51","177.00","178.34","173.67","1.61M","-1.41%"
"11/15/2022","177.00","176.98","178.38","174.66","1.83M","1.74%"
"11/14/2022","173.98","178.13","178.78","173.80","1.21M","-2.41%"
"11/11/2022","178.27","181.11","181.11","177.49","880.83K","-1.57%"
"11/10/2022","181.11","177.03","181.61","175.64","1.39M","6.62%"
"11/09/2022","169.87","170.14","172.54","169.00","854.52K","-0.43%"
"11/08/2022","170.60","169.30","172.65","167.69","773.91K","1.25%"
"11/07/2022","168.49","167.70","168.64","166.46","895.49K","1.18%"
"11/04/2022","166.52","166.64","167.59","162.94","1.06M","0.70%"
"11/03/2022","165.37","167.12","168.44","165.09","1.09M","-2.34%"
"11/02/2022","169.33","172.62","178.62","169.28","1.81M","-6.69%"
"11/01/2022","181.47","183.48","185.10","180.40","779.46K","-0.74%"
"10/31/2022","182.83","181.71","186.86","180.35","1.41M","0.94%"
"10/28/2022","181.12","176.94","181.56","176.82","625.14K","2.67%"
"10/27/2022","176.41","173.77","177.48","172.60","753.89K","1.67%"
"10/26/2022","173.52","174.47","176.71","173.29","704.69K","-0.17%"
"10/25/2022","173.82","169.95","174.08","169.48","785.16K","2.57%"
"10/24/2022","169.46","168.96","170.02","166.96","657.48K","1.48%"
"10/21/2022","166.99","165.38","167.75","163.79","852.79K","0.78%"
"10/20/2022","165.69","169.47","169.47","164.51","834.86K","-2.17%"
"10/19/2022","169.36","171.12","173.25","168.63","676.92K","-2.59%"
"10/18/2022","173.86","175.08","176.41","172.84","738.17K","1.41%"
"10/17/2022","171.44","169.16","173.14","168.93","1.19M","2.76%"
"10/14/2022","166.84","172.26","173.12","166.35","675.28K","-1.71%"
"10/13/2022","169.74","164.90","170.39","163.64","1.17M","0.98%"
"10/12/2022","168.10","170.78","170.78","168.06","550.10K","-0.83%"
"10/11/2022","169.50","169.14","171.14","168.39","807.26K","-0.10%"
"10/10/2022","169.67","171.35","172.24","168.72","464.14K","-0.52%"
"10/07/2022","170.56","174.07","174.54","169.91","705.44K","-2.92%"
"10/06/2022","175.69","180.63","180.72","175.60","615.12K","-2.36%"
"10/05/2022","179.93","178.96","181.12","177.72","947.35K","0.13%"
"10/04/2022","179.69","176.35","180.12","176.35","766.94K","3.06%"
"10/03/2022","174.36","171.80","175.13","171.17","890.36K","2.25%"
"09/30/2022","170.53","173.98","174.33","169.95","919.79K","-1.74%"
"09/29/2022","173.55","172.29","173.77","170.74","683.04K","-0.10%"
"09/28/2022","173.73","172.57","174.66","171.21","939.33K","1.58%"
"09/27/2022","171.03","174.21","175.01","170.49","654.30K","-1.38%"
"09/26/2022","173.42","175.45","176.45","172.71","707.78K","-1.02%"
"09/23/2022","175.20","175.43","175.68","172.93","691.43K","0.08%"
"09/22/2022","175.06","179.30","180.13","174.96","644.00K","-2.91%"
"09/21/2022","180.31","183.62","185.13","180.20","505.60K","-1.11%"
"09/20/2022","182.33","183.57","183.94","180.58","409.05K","-1.04%"
"09/19/2022","184.25","183.96","184.30","181.60","510.46K","-0.10%"
"09/16/2022","184.43","183.93","184.96","182.20","1.90M","0.24%"
"09/15/2022","183.98","185.95","186.33","183.40","602.69K","-1.04%"
"09/14/2022","185.91","186.15","187.89","182.10","599.34K","-0.18%"
"09/13/2022","186.25","189.03","189.51","185.24","815.42K","-3.41%"
"09/12/2022","192.83","192.46","193.06","191.60","556.20K","0.41%"
"09/09/2022","192.04","191.76","192.71","191.13","492.43K","0.49%"
"09/08/2022","191.10","190.53","192.24","188.99","636.43K","-0.15%"
"09/07/2022","191.39","187.40","191.90","186.56","544.25K","2.52%"
"09/06/2022","186.69","184.49","188.35","184.14","619.57K","1.04%"
"09/02/2022","184.77","189.98","190.59","183.39","652.22K","-2.19%"
"09/01/2022","188.90","186.82","189.10","185.41","516.75K","0.93%"
"08/31/2022","187.16","187.86","189.48","186.59","827.34K","-0.37%"
"08/30/2022","187.85","189.40","190.40","186.87","1.71M","-0.89%"
"08/29/2022","189.53","188.70","190.30","187.58","608.44K","-0.19%"
"08/26/2022","189.89","194.71","195.50","189.65","831.25K","-2.78%"
"08/25/2022","195.31","196.28","196.28","192.09","783.43K","0.32%"
"08/24/2022","194.68","194.21","195.13","192.95","554.05K","0.11%"
"08/23/2022","194.46","197.62","197.62","194.34","879.03K","-1.90%"
"08/22/2022","198.23","200.07","201.16","197.77","780.66K","-1.17%"
"08/19/2022","200.57","203.60","203.60","198.91","1.64M","-1.65%"
"08/18/2022","203.93","203.01","204.75","202.29","609.59K","0.18%"
"08/17/2022","203.56","202.81","203.72","201.58","698.54K","-0.45%"
"08/16/2022","204.49","204.32","205.82","203.78","911.97K","-0.57%"
"08/15/2022","205.67","202.87","206.99","202.79","578.25K","1.38%"
"08/12/2022","202.87","202.21","203.78","201.54","581.72K","0.98%"
"08/11/2022","200.90","202.50","204.77","200.51","456.61K","-0.62%"
"08/10/2022","202.15","202.33","203.21","200.71","693.45K","1.71%"
"08/09/2022","198.76","199.96","200.58","197.99","487.08K","-0.14%"
"08/08/2022","199.03","199.21","201.46","198.39","489.24K","0.33%"
"08/05/2022","198.38","196.97","198.61","195.70","737.62K","-0.45%"
"08/04/2022","199.28","197.36","200.87","196.77","781.53K","0.96%"
"08/03/2022","197.38","192.69","199.55","191.56","1.40M","4.44%"
"08/02/2022","188.98","188.33","191.13","187.21","871.23K","-0.02%"
"08/01/2022","189.02","189.57","190.76","187.69","695.65K","-0.65%"
"07/29/2022","190.25","188.34","190.96","187.10","655.97K","0.92%"
"07/28/2022","188.51","185.84","189.80","185.07","697.19K","2.16%"
"07/27/2022","184.53","182.79","185.94","182.53","789.87K","0.83%"
"07/26/2022","183.01","183.21","183.61","181.34","578.10K","0.13%"
"07/25/2022","182.77","183.89","184.85","182.32","544.32K","-1.09%"
"07/22/2022","184.78","185.11","186.67","183.17","664.16K","0.04%"
"07/21/2022","184.71","183.06","184.99","182.01","557.51K","1.56%"
"07/20/2022","181.87","180.22","182.95","179.50","643.12K","1.04%"
"07/19/2022","180.00","177.26","180.63","177.03","704.18K","2.56%"
"07/18/2022","175.50","177.86","179.57","175.03","565.96K","-1.86%"
"07/15/2022","178.83","177.00","180.20","176.80","897.40K","1.65%"
"07/14/2022","175.93","174.04","176.95","173.13","554.85K","0.70%"
"07/13/2022","174.71","171.14","176.34","171.14","484.52K","0.36%"
"07/12/2022","174.08","178.95","179.88","172.97","540.10K","-2.11%"
"07/11/2022","177.84","178.22","179.15","176.42","583.61K","-0.13%"
"07/08/2022","178.07","177.38","179.32","176.16","630.78K","0.02%"
"07/07/2022","178.03","177.09","178.81","175.41","700.17K","-0.05%"
"07/06/2022","178.12","177.17","179.00","176.25","815.89K","1.54%"
"07/05/2022","175.42","173.52","175.51","171.93","742.32K","0.07%"
"07/01/2022","175.30","172.75","176.28","172.45","630.05K","1.28%"
"06/30/2022","173.09","169.49","173.96","169.31","819.19K","1.03%"
"06/29/2022","171.32","169.17","172.01","168.31","586.95K","1.41%"
"06/28/2022","168.94","174.08","175.45","168.81","721.12K","-2.96%"
"06/27/2022","174.10","172.62","174.46","171.38","604.70K","0.64%"
"06/24/2022","172.99","171.48","173.11","171.48","1.63M","1.18%"
