"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","301.02","304.56","306.40","300.75","1.62M","-0.91%"
"02/02/2023","303.78","314.99","315.77","301.05","1.94M","-4.25%"
"02/01/2023","317.27","321.50","323.10","312.58","1.24M","-1.80%"
"01/31/2023","323.10","319.98","325.19","319.98","1.35M","0.98%"
"01/30/2023","319.98","321.21","322.69","319.23","2.20M","-0.46%"
"01/27/2023","321.45","321.00","323.67","319.58","1.29M","0.13%"
"01/26/2023","321.02","315.75","321.11","314.60","1.29M","1.82%"
"01/25/2023","315.28","314.36","315.33","312.00","1.31M","0.55%"
"01/24/2023","313.57","311.80","313.89","309.53","931.11K","0.56%"
"01/23/2023","311.81","309.59","312.43","308.53","1.78M","0.64%"
"01/20/2023","309.84","306.31","310.46","305.48","1.47M","0.62%"
"01/19/2023","307.94","310.03","311.54","302.52","1.55M","-0.62%"
"01/18/2023","309.86","311.80","312.66","307.06","2.27M","-0.68%"
"01/17/2023","311.98","303.49","312.35","302.62","2.06M","3.67%"
"01/13/2023","300.94","296.39","301.26","295.58","1.45M","1.58%"
"01/12/2023","296.25","290.22","296.28","288.72","1.80M","1.37%"
"01/11/2023","292.25","289.87","292.89","286.89","1.63M","1.21%"
"01/10/2023","288.75","283.23","288.85","282.58","1.04M","1.95%"
"01/09/2023","283.23","290.09","291.66","282.21","1.30M","-2.41%"
"01/06/2023","290.21","291.81","293.64","288.62","943.55K","0.81%"
"01/05/2023","287.89","284.33","290.17","283.90","1.19M","0.37%"
"01/04/2023","286.83","288.30","289.29","283.98","1.10M","0.28%"
"01/03/2023","286.02","288.61","289.06","283.50","1.08M","-0.96%"
"12/30/2022","288.78","288.67","289.32","284.40","1.03M","-0.10%"
"12/29/2022","289.08","287.22","291.73","285.80","889.10K","1.16%"
"12/28/2022","285.76","287.00","289.68","284.76","841.31K","-0.54%"
"12/27/2022","287.32","290.00","291.00","285.99","662.77K","-0.82%"
"12/23/2022","289.69","292.80","294.82","288.07","701.17K","-1.44%"
"12/22/2022","293.92","290.19","294.34","288.19","1.16M","1.16%"
"12/21/2022","290.55","292.26","294.39","289.28","1.46M","-0.91%"
"12/20/2022","293.23","291.80","296.00","291.30","1.27M","0.56%"
"12/19/2022","291.59","301.55","302.59","289.48","1.66M","-4.33%"
"12/16/2022","304.80","305.46","307.66","302.85","3.09M","-1.17%"
"12/15/2022","308.40","311.23","312.39","307.14","997.73K","-1.18%"
"12/14/2022","312.09","305.86","314.80","304.52","1.40M","1.63%"
"12/13/2022","307.09","317.00","317.33","306.77","1.99M","-2.26%"
"12/12/2022","314.19","315.22","315.41","311.14","1.35M","0.63%"
"12/09/2022","312.22","319.30","321.15","311.79","1.01M","-2.83%"
"12/08/2022","321.32","317.55","324.75","316.95","1.14M","1.18%"
"12/07/2022","317.58","311.81","317.71","310.65","846.02K","1.85%"
"12/06/2022","311.81","316.44","317.28","310.04","1.06M","-1.82%"
"12/05/2022","317.60","318.85","319.69","315.55","790.97K","-1.17%"
"12/02/2022","321.37","317.40","322.45","316.88","1.09M","0.19%"
"12/01/2022","320.76","318.55","321.52","315.18","1.55M","1.38%"
"11/30/2022","316.40","319.52","322.74","314.03","6.63M","0.02%"
"11/29/2022","316.33","315.69","317.21","312.47","1.38M","0.33%"
"11/28/2022","315.30","313.78","320.93","313.51","1.11M","0.74%"
"11/25/2022","312.98","315.17","317.03","312.01","713.67K","-1.01%"
"11/23/2022","316.16","323.48","323.61","315.28","1.04M","-1.65%"
"11/22/2022","321.48","317.83","322.26","313.06","1.46M","1.67%"
"11/21/2022","316.20","315.00","318.00","313.90","1.15M","0.50%"
"11/18/2022","314.63","311.63","315.54","311.13","1.17M","1.53%"
"11/17/2022","309.90","304.13","311.86","302.02","1.05M","1.46%"
"11/16/2022","305.44","306.55","308.75","304.58","874.27K","0.05%"
"11/15/2022","305.28","308.61","309.98","300.00","1.31M","-0.25%"
"11/14/2022","306.03","305.11","311.57","303.87","1.39M","0.91%"
"11/11/2022","303.26","308.89","309.80","288.83","2.18M","-2.50%"
"11/10/2022","311.03","315.12","316.18","302.74","2.11M","0.55%"
"11/09/2022","309.34","306.50","312.15","305.60","1.32M","0.93%"
"11/08/2022","306.50","303.09","311.68","300.31","1.36M","1.08%"
"11/07/2022","303.23","305.36","308.80","298.53","1.56M","-1.81%"
"11/04/2022","308.82","311.63","312.60","304.04","1.18M","-0.80%"
"11/03/2022","311.30","307.40","313.64","305.06","936.03K","0.42%"
"11/02/2022","310.01","314.47","318.38","309.44","1.49M","-1.33%"
"11/01/2022","314.20","312.44","316.09","309.59","1.19M","0.71%"
"10/31/2022","312.00","310.35","314.09","308.41","1.58M","-0.60%"
"10/28/2022","313.89","302.00","314.49","294.31","3.26M","9.03%"
"10/27/2022","287.89","310.71","311.50","287.20","4.09M","-7.48%"
"10/26/2022","311.18","313.04","316.48","309.42","1.27M","0.64%"
"10/25/2022","309.21","312.00","315.37","308.15","1.76M","-0.42%"
"10/24/2022","310.50","302.74","312.27","302.50","1.99M","3.50%"
"10/21/2022","300.00","289.69","300.14","287.96","1.47M","3.39%"
"10/20/2022","290.16","292.10","295.55","289.18","1.00M","-0.64%"
"10/19/2022","292.02","298.85","299.58","289.54","928.68K","-2.72%"
"10/18/2022","300.17","300.21","303.29","296.46","983.57K","1.06%"
"10/17/2022","297.02","297.08","298.35","294.20","1.11M","1.30%"
"10/14/2022","293.21","298.07","300.94","292.70","1.03M","-1.12%"
"10/13/2022","296.54","284.89","297.90","283.58","1.12M","2.21%"
"10/12/2022","290.13","295.00","295.64","289.91","928.50K","-1.70%"
"10/11/2022","295.16","294.54","300.14","292.90","1.26M","0.21%"
"10/10/2022","294.54","295.45","296.58","291.50","835.05K","-0.23%"
"10/07/2022","295.23","295.91","300.05","292.73","1.42M","-1.14%"
"10/06/2022","298.63","300.00","302.89","297.42","1.13M","-1.12%"
