"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","52.60","52.27","52.63","51.60","1.70M","-0.75%"
"02/02/2023","53.00","52.16","53.15","52.01","1.83M","2.59%"
"02/01/2023","51.66","51.63","52.01","50.71","1.59M","-0.29%"
"01/31/2023","51.81","51.53","51.98","51.00","3.04M","1.03%"
"01/30/2023","51.28","51.36","51.62","50.94","1.57M","-0.66%"
"01/27/2023","51.62","50.72","51.88","50.72","2.03M","1.71%"
"01/26/2023","50.75","50.91","51.16","50.15","1.64M","-0.12%"
"01/25/2023","50.81","50.60","50.91","50.22","2.13M","-0.37%"
"01/24/2023","51.00","50.61","51.15","50.38","1.51M","0.61%"
"01/23/2023","50.69","49.00","50.78","48.74","1.70M","2.86%"
"01/20/2023","49.28","48.46","49.32","48.11","2.14M","1.90%"
"01/19/2023","48.36","48.56","48.97","48.20","2.50M","-0.92%"
"01/18/2023","48.81","49.27","49.51","48.67","2.24M","-0.57%"
"01/17/2023","49.09","48.66","49.34","48.41","2.01M","0.20%"
"01/13/2023","48.99","49.17","49.69","48.78","2.26M","-1.55%"
"01/12/2023","49.76","49.41","50.10","48.96","1.54M","1.39%"
"01/11/2023","49.08","48.09","49.26","48.09","2.09M","2.70%"
"01/10/2023","47.79","47.55","47.97","47.27","1.31M","-0.04%"
"01/09/2023","47.81","47.88","48.36","47.72","1.50M","-0.02%"
"01/06/2023","47.82","46.91","48.16","46.81","1.62M","2.27%"
"01/05/2023","46.76","46.36","46.88","45.54","1.48M","-0.57%"
"01/04/2023","47.03","45.84","47.63","45.64","1.94M","3.66%"
"01/03/2023","45.37","46.10","46.18","44.74","2.25M","0.71%"
"12/30/2022","45.05","44.89","45.20","44.43","1.45M","-1.12%"
"12/29/2022","45.56","45.06","45.70","44.88","1.58M","1.67%"
"12/28/2022","44.81","45.90","46.20","44.72","1.50M","-2.20%"
"12/27/2022","45.82","45.55","46.06","45.31","2.35M","0.73%"
"12/23/2022","45.49","45.12","45.51","44.66","938.12K","0.51%"
"12/22/2022","45.26","44.49","45.29","44.19","1.46M","0.94%"
"12/21/2022","44.84","45.06","45.74","44.65","1.46M","0.40%"
"12/20/2022","44.66","44.27","44.92","43.97","1.85M","0.25%"
"12/19/2022","44.55","44.36","44.81","44.07","2.07M","-0.22%"
"12/16/2022","44.65","45.54","45.75","43.80","4.82M","-3.52%"
"12/15/2022","46.28","46.01","47.04","45.69","2.78M","-0.41%"
