"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","12.18","12.19","12.26","12.10","7.06M","-0.08%"
"02/02/2023","12.19","12.24","12.25","12.02","13.72M","-0.57%"
"02/01/2023","12.26","12.06","12.40","12.05","9.53M","0.82%"
"01/31/2023","12.16","11.94","12.19","11.91","12.18M","1.84%"
"01/30/2023","11.94","11.83","12.01","11.78","7.90M","0.42%"
"01/27/2023","11.89","11.90","12.09","11.81","9.86M","2.15%"
"01/26/2023","11.64","11.56","11.66","11.47","5.41M","0.00%"
"01/25/2023","11.64","11.58","11.67","11.40","7.12M","0.34%"
"01/24/2023","11.60","11.76","11.79","11.58","5.51M","-1.86%"
"01/23/2023","11.82","11.62","11.85","11.58","7.24M","1.90%"
"01/20/2023","11.60","11.50","11.63","11.34","7.88M","0.69%"
"01/19/2023","11.52","11.40","11.67","11.26","9.96M","0.44%"
"01/18/2023","11.47","11.82","11.85","11.38","10.63M","-3.12%"
"01/17/2023","11.84","11.50","11.86","11.49","9.48M","2.60%"
"01/13/2023","11.54","11.58","11.61","11.43","14.14M","-1.03%"
"01/12/2023","11.66","11.76","11.83","11.59","12.02M","-0.93%"
"01/11/2023","11.77","11.84","11.87","11.36","13.31M","-0.59%"
"01/10/2023","11.84","12.00","12.03","11.76","7.87M","-1.42%"
"01/09/2023","12.01","12.12","12.19","11.98","12.88M","-0.74%"
"01/06/2023","12.10","11.92","12.11","11.80","7.88M","2.20%"
"01/05/2023","11.84","11.67","11.88","11.49","9.21M","0.77%"
"01/04/2023","11.75","11.50","11.78","11.43","10.62M","3.25%"
"01/03/2023","11.38","11.19","11.47","11.19","9.97M","2.25%"
"12/30/2022","11.13","11.09","11.18","10.96","6.59M","0.00%"
"12/29/2022","11.13","10.87","11.22","10.87","6.40M","1.92%"
"12/28/2022","10.92","11.04","11.13","10.85","5.43M","-1.09%"
"12/27/2022","11.04","11.03","11.08","10.94","4.46M","0.27%"
"12/23/2022","11.01","10.72","11.02","10.71","6.65M","2.42%"
"12/22/2022","10.75","10.80","10.81","10.56","5.63M","-0.92%"
"12/21/2022","10.85","10.85","10.97","10.81","5.34M","1.02%"
"12/20/2022","10.74","10.98","11.01","10.73","7.13M","-1.56%"
"12/19/2022","10.91","10.95","11.14","10.87","9.27M","-0.46%"
"12/16/2022","10.96","11.08","11.10","10.89","25.12M","-1.62%"
"12/15/2022","11.14","11.26","11.34","11.13","6.37M","-1.59%"
"12/14/2022","11.32","11.29","11.43","11.20","7.60M","-0.18%"
"12/13/2022","11.34","11.35","11.45","11.27","11.98M","1.80%"
"12/12/2022","11.14","10.76","11.16","10.72","7.20M","3.34%"
"12/09/2022","10.78","10.96","11.05","10.77","5.83M","-1.64%"
"12/08/2022","10.96","10.90","11.00","10.82","6.75M","0.55%"
"12/07/2022","10.90","10.93","10.99","10.84","5.55M","-0.27%"
"12/06/2022","10.93","10.90","11.00","10.77","6.25M","0.09%"
"12/05/2022","10.92","11.14","11.14","10.85","5.09M","-2.24%"
"12/02/2022","11.17","11.18","11.23","11.10","4.14M","-0.62%"
"12/01/2022","11.24","11.04","11.26","10.96","9.30M","1.90%"
"11/30/2022","11.03","11.12","11.14","10.74","19.68M","-1.34%"
"11/29/2022","11.18","11.11","11.20","11.00","7.46M","1.08%"
"11/28/2022","11.06","11.12","11.17","10.98","19.13M","-0.72%"
"11/25/2022","11.14","11.01","11.14","10.90","5.01M","1.09%"
"11/23/2022","11.02","10.98","11.07","10.89","5.01M","-0.45%"
"11/22/2022","11.07","10.94","11.10","10.94","8.32M","-0.18%"
"11/21/2022","11.09","11.01","11.13","10.85","7.28M","0.82%"
"11/18/2022","11.00","11.01","11.04","10.86","7.38M","0.36%"
"11/17/2022","10.96","10.90","11.01","10.84","6.43M","-1.08%"
"11/16/2022","11.08","11.27","11.35","10.98","24.69M","-2.12%"
"11/15/2022","11.32","11.66","11.84","11.27","6.59M","-2.08%"
"11/14/2022","11.56","11.40","11.70","11.31","12.86M","1.05%"
"11/11/2022","11.44","11.37","11.52","11.19","8.52M","0.88%"
"11/10/2022","11.34","11.15","11.43","11.05","9.75M","4.71%"
"11/09/2022","10.83","11.04","11.04","10.82","8.28M","-2.43%"
"11/08/2022","11.10","11.01","11.30","10.75","14.81M","1.19%"
"11/07/2022","10.97","10.34","11.43","10.26","29.90M","13.09%"
"11/04/2022","9.70","9.75","9.88","9.52","11.51M","0.31%"
"11/03/2022","9.67","9.94","9.95","9.65","8.03M","-3.97%"
"11/02/2022","10.07","10.20","10.32","10.05","7.39M","-1.76%"
"11/01/2022","10.25","10.19","10.31","10.06","7.65M","1.18%"
"10/31/2022","10.13","10.02","10.16","9.98","9.83M","0.60%"
"10/28/2022","10.07","9.93","10.19","9.90","7.31M","2.03%"
"10/27/2022","9.87","9.98","10.06","9.86","6.08M","-1.00%"
"10/26/2022","9.97","9.84","10.00","9.81","7.39M","1.94%"
"10/25/2022","9.78","9.48","9.80","9.47","12.14M","2.62%"
"10/24/2022","9.53","9.44","9.57","9.36","5.64M","1.60%"
"10/21/2022","9.38","9.28","9.44","9.14","5.95M","0.43%"
"10/20/2022","9.34","9.39","9.50","9.30","4.40M","-0.43%"
"10/19/2022","9.38","9.55","9.56","9.23","6.59M","-2.39%"
"10/18/2022","9.61","9.70","9.79","9.57","6.87M","0.00%"
"10/17/2022","9.61","9.65","9.71","9.52","6.08M","0.63%"
"10/14/2022","9.55","9.71","9.72","9.51","7.50M","-1.04%"
"10/13/2022","9.65","9.31","9.81","9.24","12.59M","2.77%"
"10/12/2022","9.39","9.40","9.68","9.26","10.26M","0.00%"
"10/11/2022","9.39","8.74","9.60","8.73","25.03M","7.31%"
"10/10/2022","8.75","8.82","8.87","8.72","10.43M","0.11%"
"10/07/2022","8.74","8.90","8.90","8.67","8.06M","-2.24%"
"10/06/2022","8.94","9.11","9.15","8.88","7.02M","-2.61%"
"10/05/2022","9.18","9.02","9.24","8.98","6.14M","-0.33%"
"10/04/2022","9.21","8.79","9.21","8.79","8.80M","5.62%"
"10/03/2022","8.72","8.61","8.78","8.46","12.86M","2.35%"
"09/30/2022","8.52","8.62","8.81","8.50","8.20M","-0.93%"
"09/29/2022","8.60","8.62","8.68","8.44","8.14M","-1.49%"
"09/28/2022","8.73","8.56","8.75","8.49","11.40M","2.95%"
"09/27/2022","8.48","8.60","8.76","8.42","10.60M","-0.59%"
"09/26/2022","8.53","8.57","8.66","8.48","15.12M","-1.84%"
"09/23/2022","8.69","8.86","8.87","8.43","12.43M","-2.80%"
"09/22/2022","8.94","9.01","9.06","8.81","8.95M","-1.11%"
"09/21/2022","9.04","9.19","9.45","9.03","11.30M","0.00%"
"09/20/2022","9.04","9.23","9.23","9.03","8.21M","-2.69%"
"09/19/2022","9.29","9.22","9.34","9.18","8.43M","-0.11%"
"09/16/2022","9.30","9.55","9.55","9.22","19.55M","-2.62%"
"09/15/2022","9.55","9.42","9.71","9.42","9.46M","1.27%"
"09/14/2022","9.43","9.52","9.62","9.35","8.93M","-0.63%"
"09/13/2022","9.49","9.90","9.92","9.48","8.88M","-6.13%"
"09/12/2022","10.11","9.94","10.20","9.94","7.80M","2.33%"
"09/09/2022","9.88","9.76","9.93","9.72","6.72M","2.07%"
"09/08/2022","9.68","9.66","9.74","9.56","10.66M","-0.41%"
"09/07/2022","9.72","9.35","9.80","9.35","15.23M","3.29%"
"09/06/2022","9.41","9.49","9.49","9.32","10.13M","-0.42%"
"09/02/2022","9.45","9.69","9.69","9.42","10.16M","-1.25%"
"09/01/2022","9.57","9.54","9.60","9.32","10.14M","0.21%"
"08/31/2022","9.55","9.71","9.83","9.53","18.11M","-1.55%"
"08/30/2022","9.70","9.87","9.93","9.66","8.54M","-1.72%"
"08/29/2022","9.87","9.80","9.90","9.65","16.59M","-0.10%"
"08/26/2022","9.88","10.22","10.23","9.86","6.60M","-2.85%"
"08/25/2022","10.17","10.16","10.21","10.06","6.59M","0.10%"
