"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","41.51","41.78","41.97","41.14","18.31M","-0.77%"
"02/02/2023","41.83","41.74","41.93","41.20","18.43M","0.34%"
"02/01/2023","41.69","41.99","42.00","41.13","19.49M","0.29%"
"01/31/2023","41.57","41.08","41.58","41.01","18.67M","1.27%"
"01/30/2023","41.05","40.84","41.26","40.70","21.87M","1.01%"
"01/27/2023","40.64","40.22","40.68","39.77","17.25M","0.92%"
"01/26/2023","40.27","40.38","40.57","39.93","19.55M","-0.15%"
"01/25/2023","40.33","40.54","41.09","39.91","26.50M","-0.22%"
"01/24/2023","40.42","38.69","44.73","32.76","32.11M","1.99%"
"01/23/2023","39.63","39.99","40.34","39.42","33.79M","-0.92%"
"01/20/2023","40.00","40.04","40.12","39.46","23.38M","-0.15%"
"01/19/2023","40.06","39.71","40.28","39.47","24.80M","0.23%"
"01/18/2023","39.97","40.86","40.86","39.82","22.95M","-2.15%"
"01/17/2023","40.85","41.85","41.92","40.79","28.67M","-2.41%"
"01/13/2023","41.86","41.65","41.92","41.37","17.23M","0.12%"
"01/12/2023","41.81","41.38","41.95","41.12","16.97M","1.53%"
"01/11/2023","41.18","42.14","42.18","41.02","20.64M","-1.84%"
"01/10/2023","41.95","41.36","41.97","41.17","16.38M","1.40%"
"01/09/2023","41.37","41.38","41.67","41.31","22.40M","-1.94%"
"01/06/2023","42.19","41.92","42.58","41.88","26.01M","1.18%"
"01/05/2023","41.70","41.20","41.94","40.82","29.80M","1.39%"
"01/04/2023","41.13","40.54","41.42","40.26","28.76M","2.52%"
"01/03/2023","40.12","39.77","40.23","39.38","31.17M","1.83%"
"12/30/2022","39.40","39.31","39.69","39.07","44.01M","0.36%"
"12/29/2022","39.26","38.90","39.53","38.81","17.31M","1.16%"
"12/28/2022","38.81","39.19","39.66","38.58","21.71M","-1.12%"
"12/27/2022","39.25","38.49","39.40","38.32","25.29M","2.19%"
"12/23/2022","38.41","38.31","38.54","37.92","16.92M","0.26%"
"12/22/2022","38.31","37.68","38.32","37.37","26.51M","1.40%"
"12/21/2022","37.78","37.27","37.85","37.24","24.39M","2.14%"
"12/20/2022","36.99","36.99","37.21","36.62","24.13M","-0.11%"
"12/19/2022","37.03","37.33","37.47","36.58","25.59M","-0.24%"
"12/16/2022","37.12","37.51","37.57","36.67","62.76M","-1.72%"
"12/15/2022","37.77","37.75","38.34","37.66","32.93M","0.85%"
"12/14/2022","37.45","37.87","38.09","37.24","23.33M","-1.08%"
"12/13/2022","37.86","38.39","38.62","37.84","30.13M","-0.24%"
"12/12/2022","37.95","37.69","37.96","37.28","18.74M","1.47%"
"12/09/2022","37.40","37.21","37.63","36.96","20.67M","0.81%"
"12/08/2022","37.10","37.11","37.24","36.87","19.53M","-0.19%"
"12/07/2022","37.17","36.74","37.31","36.67","22.77M","0.76%"
"12/06/2022","36.89","36.99","37.07","36.63","26.25M","-0.49%"
"12/05/2022","37.07","37.98","38.11","36.90","27.36M","-2.91%"
"12/02/2022","38.18","37.93","38.30","37.70","21.68M","-0.39%"
"12/01/2022","38.33","39.18","39.23","37.81","26.28M","-1.67%"
"11/30/2022","38.98","38.21","39.14","38.15","31.36M","1.67%"
"11/29/2022","38.34","38.02","38.37","37.94","14.01M","0.26%"
"11/28/2022","38.24","39.01","39.09","38.13","21.56M","-2.00%"
"11/25/2022","39.02","39.10","39.36","38.97","7.73M","0.26%"
"11/23/2022","38.92","39.03","39.20","38.61","14.17M","-0.71%"
"11/22/2022","39.20","38.84","39.32","38.84","19.81M","1.50%"
"11/21/2022","38.62","38.60","39.13","38.52","19.18M","0.18%"
"11/18/2022","38.55","38.29","38.77","38.29","17.82M","1.02%"
"11/17/2022","38.16","37.55","38.18","37.29","18.79M","0.74%"
"11/16/2022","37.88","37.66","38.07","37.63","18.96M","0.48%"
"11/15/2022","37.70","38.49","38.83","37.46","25.07M","-1.59%"
"11/14/2022","38.31","38.45","38.99","38.30","22.70M","0.03%"
"11/11/2022","38.30","38.55","38.69","37.81","22.98M","-0.57%"
"11/10/2022","38.52","38.30","38.55","37.81","23.05M","2.39%"
"11/09/2022","37.62","37.92","38.13","37.59","17.57M","-0.66%"
"11/08/2022","37.87","37.20","37.99","37.16","17.39M","1.83%"
"11/07/2022","37.19","37.32","37.44","36.98","19.70M","-0.13%"
"11/04/2022","37.24","37.35","37.37","36.80","17.60M","0.24%"
"11/03/2022","37.15","37.36","37.54","37.12","22.33M","-1.49%"
"11/02/2022","37.71","37.25","38.35","37.16","30.65M","0.91%"
"11/01/2022","37.37","37.98","38.09","37.30","22.97M","0.00%"
"10/31/2022","37.37","37.51","37.54","37.02","26.63M","-0.80%"
"10/28/2022","37.67","36.80","38.04","36.57","31.82M","4.12%"
"10/27/2022","36.18","36.69","36.72","36.13","20.27M","-0.69%"
"10/26/2022","36.43","36.38","36.71","36.20","20.34M","0.00%"
"10/25/2022","36.43","35.91","36.47","35.80","25.50M","1.28%"
"10/24/2022","35.97","35.66","36.39","35.57","28.84M","1.75%"
"10/21/2022","35.35","35.52","35.70","34.55","51.67M","-4.46%"
"10/20/2022","37.00","36.57","37.53","36.55","35.52M","1.18%"
"10/19/2022","36.57","36.57","37.37","36.56","29.56M","-1.35%"
"10/18/2022","37.07","37.67","37.70","36.83","27.49M","-0.30%"
"10/17/2022","37.18","36.72","37.29","36.59","21.96M","2.20%"
"10/14/2022","36.38","36.80","36.91","36.34","26.03M","-0.05%"
"10/13/2022","36.40","35.12","36.59","35.04","33.12M","2.02%"
"10/12/2022","35.68","35.90","36.19","35.60","23.34M","-0.72%"
"10/11/2022","35.94","36.56","36.69","35.93","27.71M","-1.86%"
"10/10/2022","36.62","37.13","37.31","36.37","21.62M","-0.62%"
"10/07/2022","36.85","37.63","37.70","36.81","31.84M","-2.62%"
"10/06/2022","37.84","39.47","39.66","37.77","36.66M","-3.96%"
"10/05/2022","39.40","39.34","39.62","38.87","17.80M","-1.03%"
"10/04/2022","39.81","39.50","39.85","39.25","25.92M","1.66%"
"10/03/2022","39.16","38.50","39.37","38.38","21.50M","3.13%"
"09/30/2022","37.97","38.54","38.79","37.95","23.52M","-1.73%"
"09/29/2022","38.64","39.11","39.20","38.45","17.81M","-1.90%"
"09/28/2022","39.39","39.06","39.51","39.01","20.57M","1.29%"
"09/27/2022","38.89","39.20","39.70","38.78","20.36M","-0.10%"
"09/26/2022","38.93","39.23","39.38","38.63","21.35M","-1.49%"
"09/23/2022","39.52","39.56","39.87","39.11","19.44M","-1.03%"
"09/22/2022","39.93","39.47","40.40","39.26","19.81M","1.14%"
"09/21/2022","39.48","40.69","40.90","39.47","25.61M","-2.73%"
"09/20/2022","40.59","40.99","40.99","40.47","15.56M","-1.58%"
"09/19/2022","41.24","41.06","41.25","40.69","18.96M","-0.02%"
"09/16/2022","41.25","40.98","41.54","40.66","45.07M","0.54%"
"09/15/2022","41.03","41.03","41.27","40.71","22.76M","-0.61%"
"09/14/2022","41.28","41.75","41.93","40.98","23.15M","-1.13%"
"09/13/2022","41.75","42.40","42.61","41.57","21.28M","-2.36%"
"09/12/2022","42.76","42.59","42.85","42.41","18.55M","1.23%"
"09/09/2022","42.24","41.68","42.32","41.47","20.26M","2.23%"
"09/08/2022","41.32","41.00","41.72","40.71","28.75M","0.58%"
"09/07/2022","41.08","41.14","41.65","41.00","25.55M","-0.05%"
"09/06/2022","41.10","41.35","41.69","41.09","23.90M","-0.48%"
"09/02/2022","41.30","42.00","42.21","41.15","21.16M","-1.22%"
"09/01/2022","41.81","41.64","42.05","41.64","21.64M","0.00%"
"08/31/2022","41.81","42.47","42.58","41.76","28.37M","-1.69%"
"08/30/2022","42.53","43.38","43.38","42.50","20.71M","-1.85%"
"08/29/2022","43.33","43.01","43.56","43.01","15.04M","0.18%"
"08/26/2022","43.25","43.59","43.70","43.24","16.80M","-1.12%"
"08/25/2022","43.74","43.65","43.82","43.42","14.33M","0.44%"
"08/24/2022","43.55","43.55","43.63","43.22","17.38M","0.18%"
"08/23/2022","43.47","44.00","44.13","43.42","19.01M","-1.58%"
"08/22/2022","44.17","44.40","44.47","44.09","15.03M","-0.56%"
"08/19/2022","44.42","44.10","44.49","43.96","19.49M","0.52%"
"08/18/2022","44.19","44.42","44.53","43.91","25.96M","-2.54%"
"08/17/2022","45.34","45.43","45.72","45.26","11.29M","-1.00%"
"08/16/2022","45.80","45.50","46.05","45.38","14.11M","0.53%"
"08/15/2022","45.56","45.03","45.64","44.94","15.71M","0.91%"
"08/12/2022","45.15","44.95","45.26","44.81","15.09M","0.83%"
