"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","105.53","104.58","106.48","104.58","1.40M","0.07%"
"02/02/2023","105.46","104.61","106.37","104.21","1.67M","0.94%"
"02/01/2023","104.48","103.63","105.32","102.01","1.67M","0.65%"
"01/31/2023","103.81","103.16","103.85","101.72","1.06M","0.91%"
"01/30/2023","102.87","102.56","103.68","102.26","996.80K","-0.25%"
"01/27/2023","103.13","103.81","104.19","102.94","1.15M","-0.87%"
"01/26/2023","104.03","104.00","104.82","102.89","1.57M","0.31%"
"01/25/2023","103.71","103.85","104.35","102.61","853.62K","-1.22%"
"01/24/2023","104.99","102.77","106.39","102.77","872.97K","1.12%"
"01/23/2023","103.83","102.13","103.99","101.69","543.33K","1.94%"
"01/20/2023","101.85","100.66","101.88","99.98","636.05K","1.77%"
"01/19/2023","100.08","101.47","101.68","99.76","645.35K","-1.73%"
"01/18/2023","101.84","103.35","104.33","101.61","899.04K","-1.35%"
"01/17/2023","103.23","103.90","104.78","103.16","783.44K","-0.84%"
"01/13/2023","104.10","103.01","104.32","103.01","713.13K","0.49%"
"01/12/2023","103.59","102.44","104.32","101.82","990.26K","1.82%"
"01/11/2023","101.74","101.77","101.91","100.51","927.36K","0.49%"
"01/10/2023","101.24","100.72","101.26","99.64","1.21M","0.33%"
"01/09/2023","100.91","102.13","103.04","100.91","889.58K","-0.62%"
"01/06/2023","101.54","101.00","102.71","100.79","933.63K","1.66%"
"01/05/2023","99.88","100.43","101.43","99.71","709.81K","-1.33%"
"01/04/2023","101.23","100.41","101.81","100.06","736.97K","1.47%"
"01/03/2023","99.76","100.45","101.17","99.01","716.82K","-0.05%"
"12/30/2022","99.81","99.85","100.07","98.95","433.41K","-0.56%"
"12/29/2022","100.37","100.02","100.96","99.63","366.13K","1.02%"
"12/28/2022","99.36","100.95","101.02","99.24","348.39K","-1.47%"
"12/27/2022","100.84","100.46","101.46","100.22","484.41K","0.35%"
"12/23/2022","100.49","100.40","100.90","99.74","390.00K","0.39%"
"12/22/2022","100.10","100.51","100.51","98.51","539.18K","-1.39%"
"12/21/2022","101.51","100.62","102.21","100.29","774.44K","1.64%"
"12/20/2022","99.87","99.54","100.54","99.23","1.02M","0.41%"
"12/19/2022","99.46","99.18","100.87","98.87","832.77K","0.21%"
"12/16/2022","99.25","99.00","99.81","98.37","1.81M","-0.94%"
"12/15/2022","100.19","102.33","102.33","99.92","1.12M","-3.11%"
"12/14/2022","103.41","103.40","104.65","102.92","1.10M","0.44%"
"12/13/2022","102.96","105.27","105.51","102.57","1.10M","-0.20%"
"12/12/2022","103.17","100.60","103.40","100.21","915.55K","2.77%"
"12/09/2022","100.39","102.46","102.79","100.34","745.32K","-1.91%"
"12/08/2022","102.35","101.00","102.67","100.95","1.00M","1.43%"
"12/07/2022","100.91","100.64","101.61","100.29","1.06M","0.48%"
"12/06/2022","100.43","101.62","102.57","99.14","873.13K","-1.29%"
"12/05/2022","101.74","102.68","102.96","101.69","869.43K","-1.59%"
"12/02/2022","103.38","101.83","103.86","101.56","690.78K","0.33%"
"12/01/2022","103.04","101.98","103.16","100.53","753.76K","1.93%"
"11/30/2022","101.09","98.70","101.17","97.85","903.58K","2.42%"
"11/29/2022","98.70","99.28","99.49","98.60","444.92K","-0.09%"
"11/28/2022","98.79","100.05","100.40","98.43","359.01K","-2.07%"
"11/25/2022","100.88","100.01","101.12","100.01","191.23K","0.90%"
"11/23/2022","99.98","100.54","101.03","99.50","460.24K","-0.35%"
"11/22/2022","100.33","100.22","100.64","99.04","551.15K","0.66%"
"11/21/2022","99.67","98.79","100.41","98.29","510.17K","0.51%"
"11/18/2022","99.16","99.88","99.99","98.41","709.76K","0.54%"
"11/17/2022","98.63","97.71","98.67","97.15","517.40K","-0.55%"
"11/16/2022","99.18","99.76","99.76","98.48","493.12K","-0.21%"
"11/15/2022","99.39","100.39","100.53","98.43","825.27K","-0.29%"
"11/14/2022","99.68","100.72","102.11","99.63","933.55K","-1.38%"
"11/11/2022","101.07","100.36","101.70","99.09","2.01M","0.72%"
"11/10/2022","100.35","99.52","100.78","97.75","1.68M","4.01%"
"11/09/2022","96.48","97.23","98.05","96.40","1.05M","-1.59%"
"11/08/2022","98.04","96.84","98.98","96.65","1.55M","1.68%"
"11/07/2022","96.42","95.78","96.56","94.97","668.19K","1.02%"
"11/04/2022","95.45","94.00","95.72","92.89","1.26M","2.89%"
"11/03/2022","92.77","89.21","93.69","88.91","1.24M","2.56%"
"11/02/2022","90.45","93.08","93.52","90.30","910.88K","-3.53%"
"11/01/2022","93.76","93.25","94.00","91.50","901.16K","0.51%"
"10/31/2022","93.28","92.93","93.61","92.31","1.27M","-0.30%"
"10/28/2022","93.56","91.52","93.65","90.60","1.22M","2.50%"
"10/27/2022","91.28","91.96","93.18","91.24","921.28K","0.57%"
"10/26/2022","90.76","90.85","91.52","89.74","789.25K","0.87%"
"10/25/2022","89.98","88.19","90.45","88.18","827.54K","1.87%"
"10/24/2022","88.33","87.12","88.73","86.73","999.82K","2.03%"
"10/21/2022","86.57","84.33","86.62","83.93","1.02M","3.08%"
"10/20/2022","83.98","87.16","87.24","83.76","832.22K","-3.58%"
"10/19/2022","87.10","86.90","87.71","86.43","822.29K","-0.25%"
"10/18/2022","87.32","88.13","88.73","86.20","803.51K","1.77%"
"10/17/2022","85.80","85.81","86.19","85.04","884.32K","2.03%"
"10/14/2022","84.09","85.98","86.34","83.73","695.01K","-1.76%"
"10/13/2022","85.60","82.89","87.02","82.00","913.37K","1.41%"
"10/12/2022","84.41","86.14","86.31","84.38","548.36K","-1.64%"
"10/11/2022","85.82","85.66","87.60","85.06","779.47K","-0.13%"
"10/10/2022","85.93","86.80","86.87","84.69","683.13K","-0.13%"
"10/07/2022","86.04","86.09","86.64","85.34","561.70K","-1.56%"
"10/06/2022","87.40","87.59","88.55","87.17","432.69K","-0.76%"
"10/05/2022","88.07","86.84","88.97","86.46","736.24K","-0.05%"
"10/04/2022","88.11","86.39","88.19","86.15","950.94K","4.25%"
"10/03/2022","84.52","82.68","85.58","81.98","1.13M","3.90%"
"09/30/2022","81.35","81.86","82.97","80.67","1.16M","-0.45%"
"09/29/2022","81.72","82.22","82.22","80.08","609.54K","-1.64%"
"09/28/2022","83.08","81.30","83.61","80.60","1.01M","2.89%"
"09/27/2022","80.75","82.18","82.22","79.33","767.09K","-0.57%"
"09/26/2022","81.21","82.54","83.07","81.13","1.23M","-1.84%"
"09/23/2022","82.73","83.07","83.96","81.73","978.29K","-2.04%"
"09/22/2022","84.45","86.92","86.99","84.37","842.17K","-2.53%"
"09/21/2022","86.64","87.91","89.27","86.63","1.06M","-0.32%"
"09/20/2022","86.92","88.14","88.52","86.09","943.95K","-2.07%"
"09/19/2022","88.76","85.18","88.81","85.18","1.22M","3.27%"
"09/16/2022","85.95","86.72","86.92","85.26","1.73M","-2.16%"
"09/15/2022","87.85","89.05","90.44","87.50","699.71K","-1.59%"
"09/14/2022","89.27","90.17","90.46","88.39","858.33K","-0.86%"
"09/13/2022","90.04","91.30","92.03","89.63","749.79K","-4.00%"
"09/12/2022","93.79","92.00","94.10","91.99","825.37K","2.81%"
"09/09/2022","91.23","91.03","91.44","90.76","391.87K","1.60%"
"09/08/2022","89.79","88.52","89.99","87.75","466.99K","1.00%"
"09/07/2022","88.90","86.91","89.20","86.84","519.94K","1.81%"
"09/06/2022","87.32","86.95","87.42","86.00","627.24K","1.08%"
"09/02/2022","86.39","88.09","88.92","85.97","526.73K","-0.56%"
"09/01/2022","86.88","87.28","87.38","86.00","749.25K","-0.88%"
"08/31/2022","87.65","89.25","89.41","87.26","698.41K","-1.57%"
"08/30/2022","89.05","90.09","90.19","88.20","810.16K","-1.17%"
"08/29/2022","90.10","89.45","90.65","89.05","780.98K","-0.38%"
