"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","341.39","340.50","344.24","337.46","205.93K","-0.83%"
"02/02/2023","344.24","340.10","346.98","339.24","313.03K","1.84%"
"02/01/2023","338.03","329.95","340.45","329.48","304.10K","2.88%"
"01/31/2023","328.58","324.60","328.58","320.85","357.82K","1.31%"
"01/30/2023","324.32","329.73","330.55","321.81","343.20K","-2.64%"
"01/27/2023","333.13","331.23","335.57","330.37","218.46K","-0.12%"
"01/26/2023","333.54","335.73","336.84","327.58","235.63K","-0.25%"
"01/25/2023","334.36","330.13","334.72","327.28","140.47K","0.10%"
"01/24/2023","334.03","339.18","342.45","332.08","232.26K","-2.81%"
"01/23/2023","343.70","338.08","344.73","336.88","342.52K","1.46%"
"01/20/2023","338.75","332.54","339.73","331.37","266.80K","2.02%"
"01/19/2023","332.04","326.73","334.16","323.07","269.44K","0.96%"
"01/18/2023","328.89","333.28","334.32","327.48","264.76K","-1.01%"
"01/17/2023","332.25","338.18","341.04","331.93","216.03K","-2.01%"
"01/13/2023","339.08","331.80","339.88","331.24","182.67K","1.01%"
"01/12/2023","335.70","342.00","343.53","335.70","243.04K","-2.03%"
"01/11/2023","342.66","336.53","345.33","335.41","311.56K","2.00%"
"01/10/2023","335.93","321.37","336.63","319.46","493.63K","4.85%"
"01/09/2023","320.40","325.00","327.93","317.76","594.68K","-0.56%"
"01/06/2023","322.21","350.97","350.97","311.46","1.27M","-7.15%"
"01/05/2023","347.03","346.87","349.84","344.82","407.35K","-0.78%"
"01/04/2023","349.77","348.52","350.86","345.96","239.01K","1.21%"
"01/03/2023","345.59","345.00","347.87","340.20","240.86K","0.88%"
"12/30/2022","342.58","343.31","343.31","338.28","231.20K","-0.95%"
"12/29/2022","345.88","344.36","348.99","341.34","207.96K","1.52%"
"12/28/2022","340.71","348.03","349.88","340.27","184.39K","-1.68%"
"12/27/2022","346.53","348.08","348.45","342.23","137.27K","-0.04%"
"12/23/2022","346.66","342.96","347.09","342.96","179.16K","0.69%"
"12/22/2022","344.30","343.40","344.66","338.55","173.31K","-0.72%"
"12/21/2022","346.78","341.62","346.95","340.66","263.22K","2.25%"
"12/20/2022","339.14","337.30","341.18","334.05","375.48K","0.55%"
"12/19/2022","337.30","338.63","340.35","335.36","282.42K","-0.35%"
"12/16/2022","338.48","340.00","342.15","335.23","913.28K","-1.15%"
"12/15/2022","342.43","338.62","343.42","336.62","505.30K","-0.45%"
"12/14/2022","343.97","343.09","348.89","339.91","494.40K","-0.19%"
"12/13/2022","344.62","351.56","352.71","343.05","232.24K","1.10%"
"12/12/2022","340.86","337.83","341.75","337.54","322.69K","1.29%"
"12/09/2022","336.53","341.26","344.30","336.04","262.80K","-1.90%"
"12/08/2022","343.04","341.35","345.46","339.03","210.80K","0.70%"
"12/07/2022","340.64","338.62","344.54","335.23","289.07K","0.90%"
"12/06/2022","337.59","339.68","341.80","334.48","263.64K","-0.79%"
"12/05/2022","340.29","342.85","343.44","335.95","300.57K","-2.04%"
"12/02/2022","347.37","343.50","349.39","342.96","275.84K","0.13%"
"12/01/2022","346.93","349.41","353.70","343.83","269.56K","0.10%"
"11/30/2022","346.60","331.59","347.75","331.21","666.51K","4.98%"
"11/29/2022","330.16","330.39","333.52","327.61","266.57K","-0.43%"
"11/28/2022","331.60","336.35","338.25","329.69","294.40K","-1.90%"
"11/25/2022","338.03","335.77","339.34","333.76","86.17K","1.03%"
"11/23/2022","334.57","338.17","339.10","334.30","196.94K","-0.71%"
"11/22/2022","336.97","325.73","337.25","325.73","293.41K","4.36%"
"11/21/2022","322.89","320.01","325.55","318.58","287.99K","0.54%"
"11/18/2022","321.16","325.31","325.31","318.02","331.17K","0.42%"
"11/17/2022","319.81","325.41","325.41","316.36","298.17K","-2.95%"
"11/16/2022","329.53","330.25","332.20","326.76","354.22K","-0.08%"
"11/15/2022","329.79","330.65","333.37","326.65","233.76K","1.20%"
"11/14/2022","325.88","330.92","335.88","325.27","331.43K","-1.80%"
"11/11/2022","331.85","334.10","338.42","330.29","349.79K","0.00%"
"11/10/2022","331.85","323.23","333.01","321.60","396.12K","7.21%"
"11/09/2022","309.52","311.21","316.93","308.05","387.53K","-0.97%"
"11/08/2022","312.56","307.36","315.23","304.31","524.00K","1.99%"
