"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","37.09","37.70","37.75","36.92","5.94M","-1.64%"
"02/02/2023","37.71","37.30","37.96","37.17","6.58M","1.43%"
"02/01/2023","37.18","36.81","37.43","36.17","7.93M","0.87%"
"01/31/2023","36.86","36.50","36.89","35.94","12.12M","0.90%"
"01/30/2023","36.53","37.04","37.14","36.51","5.19M","-1.72%"
"01/27/2023","37.17","36.68","37.53","36.64","5.95M","1.84%"
"01/26/2023","36.50","36.48","36.56","35.99","4.27M","0.61%"
"01/25/2023","36.28","35.97","36.44","35.81","5.30M","1.06%"
"01/24/2023","35.90","36.06","36.16","35.63","6.00M","-2.10%"
"01/23/2023","36.67","35.95","36.73","35.82","6.19M","2.20%"
"01/20/2023","35.88","35.65","35.94","35.13","5.61M","1.33%"
"01/19/2023","35.41","35.60","35.75","35.35","6.16M","-0.56%"
"01/18/2023","35.61","36.43","36.44","35.42","7.13M","-1.98%"
"01/17/2023","36.33","36.90","36.90","36.16","6.82M","-1.22%"
"01/13/2023","36.78","36.58","36.83","36.12","4.18M","0.33%"
"01/12/2023","36.66","37.29","37.41","36.62","5.95M","-1.24%"
"01/11/2023","37.12","37.20","37.29","36.76","6.07M","1.14%"
"01/10/2023","36.70","36.35","36.72","36.06","6.34M","0.96%"
"01/09/2023","36.35","36.73","37.11","36.30","9.35M","-0.71%"
"01/06/2023","36.61","35.36","36.74","35.11","10.01M","4.04%"
"01/05/2023","35.19","35.90","36.18","34.30","19.21M","-6.13%"
"01/04/2023","37.49","37.60","37.94","36.97","7.97M","0.81%"
"01/03/2023","37.19","37.85","37.85","36.88","7.26M","-0.46%"
"12/30/2022","37.36","37.24","37.38","36.97","5.41M","-0.29%"
"12/29/2022","37.47","37.66","37.97","37.36","5.25M","-0.29%"
"12/28/2022","37.58","38.25","38.57","37.56","3.99M","-1.91%"
"12/27/2022","38.31","38.62","38.68","38.11","3.90M","-0.83%"
"12/23/2022","38.63","38.56","38.76","38.21","3.48M","0.49%"
"12/22/2022","38.44","38.39","38.46","37.56","5.87M","-0.41%"
"12/21/2022","38.60","39.85","39.93","38.32","7.02M","-2.35%"
"12/20/2022","39.53","39.39","39.83","39.20","4.65M","0.53%"
"12/19/2022","39.32","39.09","39.84","39.03","5.44M","0.69%"
"12/16/2022","39.05","39.16","39.46","38.54","10.87M","-1.21%"
"12/15/2022","39.53","40.15","40.28","39.33","5.68M","-2.71%"
"12/14/2022","40.63","41.04","41.32","40.37","4.58M","-0.97%"
"12/13/2022","41.03","42.01","42.29","40.81","6.00M","-0.07%"
"12/12/2022","41.06","40.60","41.06","40.24","5.95M","1.56%"
"12/09/2022","40.43","40.78","40.92","40.40","7.71M","-1.15%"
"12/08/2022","40.90","40.64","40.97","40.40","3.59M","0.62%"
"12/07/2022","40.65","40.41","40.97","40.31","3.75M","0.15%"
"12/06/2022","40.59","41.28","41.40","40.40","4.29M","-1.50%"
"12/05/2022","41.21","41.36","41.42","40.82","4.49M","-0.65%"
"12/02/2022","41.48","40.99","41.63","40.85","4.86M","0.41%"
"12/01/2022","41.31","41.51","42.03","41.06","4.51M","-0.46%"
"11/30/2022","41.50","41.31","41.74","40.52","7.59M","1.02%"
"11/29/2022","41.08","40.90","41.21","40.63","3.21M","0.66%"
"11/28/2022","40.81","41.43","41.66","40.63","4.69M","-2.04%"
"11/25/2022","41.66","41.67","41.97","41.42","2.23M","-0.24%"
"11/23/2022","41.76","41.60","41.94","41.50","3.89M","-0.07%"
"11/22/2022","41.79","41.48","41.84","41.11","5.70M","2.96%"
"11/21/2022","40.59","39.83","40.66","39.61","5.11M","2.11%"
"11/18/2022","39.75","40.87","40.95","39.26","6.95M","-0.95%"
"11/17/2022","40.13","39.76","40.37","39.60","5.91M","-0.64%"
"11/16/2022","40.39","40.76","41.13","40.26","4.83M","-0.64%"
