"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","75.82","75.16","75.88","74.32","1.65M","-0.59%"
"02/02/2023","76.27","75.49","76.72","74.82","1.93M","1.86%"
"02/01/2023","74.88","74.97","75.42","73.53","2.26M","-0.21%"
"01/31/2023","75.04","74.38","75.10","73.86","2.60M","0.70%"
"01/30/2023","74.52","74.86","75.28","74.46","2.35M","-0.89%"
"01/27/2023","75.19","74.30","75.57","73.47","2.09M","1.36%"
"01/26/2023","74.18","74.18","74.40","73.63","1.27M","0.43%"
"01/25/2023","73.86","74.70","74.84","73.40","1.50M","-1.36%"
"01/24/2023","74.88","73.83","74.92","73.50","1.53M","0.81%"
"01/23/2023","74.28","72.72","74.52","72.20","2.05M","1.99%"
"01/20/2023","72.83","71.83","72.91","71.29","1.84M","1.65%"
"01/19/2023","71.65","71.29","72.28","71.29","2.00M","0.00%"
"01/18/2023","71.65","72.21","72.49","71.36","2.99M","-0.08%"
"01/17/2023","71.71","71.29","72.09","71.05","1.58M","0.79%"
"01/13/2023","71.15","71.55","71.95","70.83","1.38M","-1.32%"
"01/12/2023","72.10","72.00","72.73","71.58","2.40M","0.38%"
"01/11/2023","71.83","69.60","71.99","69.53","2.14M","4.12%"
"01/10/2023","68.99","68.72","69.01","67.96","2.09M","-0.40%"
"01/09/2023","69.27","70.09","70.31","69.15","2.20M","-0.73%"
"01/06/2023","69.78","67.73","70.00","67.40","1.69M","3.55%"
"01/05/2023","67.39","68.11","68.62","66.69","1.76M","-2.11%"
"01/04/2023","68.84","67.69","69.41","67.49","2.23M","2.82%"
"01/03/2023","66.95","66.51","67.18","65.48","3.07M","2.14%"
"12/30/2022","65.55","65.64","66.01","64.77","1.19M","-0.43%"
"12/29/2022","65.83","65.47","66.24","64.75","1.42M","1.53%"
"12/28/2022","64.84","66.07","66.62","64.63","1.64M","-1.67%"
"12/27/2022","65.94","65.06","66.35","64.91","1.76M","1.34%"
"12/23/2022","65.07","64.39","65.08","63.79","1.15M","0.84%"
"12/22/2022","64.53","63.17","64.57","63.00","1.74M","0.88%"
"12/21/2022","63.97","64.07","65.09","63.63","1.78M","0.66%"
"12/20/2022","63.55","63.01","63.93","62.62","2.33M","-0.24%"
"12/19/2022","63.70","64.19","64.42","63.09","2.41M","-0.96%"
"12/16/2022","64.32","66.05","66.56","63.58","8.29M","-4.17%"
"12/15/2022","67.12","66.64","67.59","66.28","2.49M","-0.34%"
"12/14/2022","67.35","66.21","68.58","65.99","3.23M","1.65%"
"12/13/2022","66.26","67.82","68.07","65.17","4.43M","0.81%"
"12/12/2022","65.73","66.69","66.89","64.99","3.02M","-1.41%"
"12/09/2022","66.67","65.61","67.06","65.29","2.78M","1.48%"
"12/08/2022","65.70","65.20","66.67","65.03","3.76M","1.08%"
"12/07/2022","65.00","64.79","65.98","64.02","10.34M","-4.69%"
"12/06/2022","68.20","70.52","70.52","67.93","3.51M","-2.84%"
"12/05/2022","70.19","70.51","71.17","69.95","2.80M","-1.25%"
"12/02/2022","71.08","70.39","71.53","69.66","2.20M","0.13%"
"12/01/2022","70.99","71.45","72.20","70.56","3.35M","-0.06%"
"11/30/2022","71.03","69.10","71.53","68.62","9.64M","2.64%"
"11/29/2022","69.20","66.89","69.24","66.81","2.40M","3.84%"
"11/28/2022","66.64","69.19","69.84","66.29","3.26M","-4.16%"
"11/25/2022","69.53","69.45","69.73","68.99","956.61K","0.26%"
"11/23/2022","69.35","68.49","69.46","68.39","1.58M","0.73%"
"11/22/2022","68.85","68.18","69.00","67.88","1.89M","0.98%"
"11/21/2022","68.18","67.74","68.24","66.89","2.27M","0.59%"
"11/18/2022","67.78","67.85","67.98","66.55","3.80M","1.59%"
"11/17/2022","66.72","66.57","67.23","65.68","2.41M","-2.17%"
"11/16/2022","68.20","69.76","69.83","67.95","2.60M","-2.45%"
"11/15/2022","69.91","71.16","71.22","69.11","2.80M","-0.54%"
"11/14/2022","70.29","70.99","71.57","70.14","2.38M","-1.80%"
"11/11/2022","71.58","70.31","71.73","70.31","3.01M","2.17%"
