"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","47.58","46.99","48.04","46.94","17.35M","0.74%"
"02/02/2023","47.23","47.31","47.56","46.43","18.88M","-0.21%"
"02/01/2023","47.33","46.65","47.80","46.47","21.81M","0.98%"
"01/31/2023","46.87","46.32","46.88","46.06","22.84M","1.25%"
"01/30/2023","46.29","45.91","46.65","45.81","19.42M","0.37%"
"01/27/2023","46.12","45.81","46.37","45.81","18.16M","0.68%"
"01/26/2023","45.81","45.53","45.90","45.16","16.72M","1.04%"
"01/25/2023","45.34","44.05","45.42","44.03","17.25M","2.00%"
"01/24/2023","44.45","38.10","45.20","38.10","13.39M","-1.29%"
"01/23/2023","45.03","43.94","45.18","43.87","19.58M","2.53%"
"01/20/2023","43.92","43.08","43.94","42.76","23.24M","2.26%"
"01/19/2023","42.95","42.91","43.20","42.52","18.55M","-0.99%"
"01/18/2023","43.38","43.96","44.61","43.29","20.22M","-1.68%"
"01/17/2023","44.12","43.84","44.37","43.18","25.43M","-0.23%"
"01/13/2023","44.22","41.38","44.36","40.46","41.65M","3.25%"
"01/12/2023","42.83","43.05","43.55","42.80","20.76M","0.21%"
"01/11/2023","42.74","42.38","42.83","42.01","18.23M","0.90%"
"01/10/2023","42.36","42.67","42.88","42.01","18.20M","-0.07%"
"01/09/2023","42.39","43.12","43.13","42.16","20.65M","-0.96%"
"01/06/2023","42.80","42.59","43.00","42.10","15.25M","0.90%"
"01/05/2023","42.42","42.58","42.63","41.93","12.32M","-0.54%"
"01/04/2023","42.65","42.26","43.06","42.23","18.07M","2.06%"
"01/03/2023","41.79","41.61","42.13","41.45","15.78M","1.21%"
"12/30/2022","41.29","41.11","41.43","40.99","10.02M","-0.10%"
"12/29/2022","41.33","41.15","41.40","41.06","11.57M","0.51%"
"12/28/2022","41.12","40.94","41.38","40.86","11.83M","0.19%"
"12/27/2022","41.04","41.01","41.13","40.61","9.59M","0.15%"
"12/23/2022","40.98","40.69","40.99","40.45","10.17M","0.74%"
"12/22/2022","40.68","40.71","40.74","40.02","17.12M","-1.07%"
"12/21/2022","41.12","41.36","41.64","40.92","19.92M","0.34%"
"12/20/2022","40.98","41.29","42.56","40.97","25.06M","-2.01%"
"12/19/2022","41.82","41.34","41.91","41.11","17.45M","1.53%"
"12/16/2022","41.19","41.03","41.45","40.85","29.84M","-0.44%"
"12/15/2022","41.37","41.42","41.71","41.01","16.29M","-1.92%"
"12/14/2022","42.18","42.59","43.22","41.95","22.04M","-1.03%"
"12/13/2022","42.62","43.88","44.08","42.11","30.83M","-0.56%"
"12/12/2022","42.86","42.60","42.93","42.11","15.79M","0.85%"
"12/09/2022","42.50","42.33","42.92","42.32","16.02M","-0.19%"
"12/08/2022","42.58","42.71","42.89","42.10","17.16M","0.31%"
"12/07/2022","42.45","43.09","43.33","42.44","22.87M","-2.19%"
"12/06/2022","43.40","43.68","43.85","42.66","25.64M","-0.60%"
"12/05/2022","43.66","45.70","45.88","43.62","32.20M","-4.96%"
"12/02/2022","45.94","46.38","46.52","44.88","29.82M","-1.98%"
"12/01/2022","46.87","47.93","48.18","46.46","15.98M","-2.25%"
"11/30/2022","47.95","47.32","47.95","46.14","26.42M","0.80%"
"11/29/2022","47.57","47.18","47.65","47.04","13.34M","1.26%"
"11/28/2022","46.98","47.12","47.75","46.92","12.49M","-0.97%"
"11/25/2022","47.44","47.36","47.64","47.01","4.91M","0.23%"
"11/23/2022","47.33","47.12","47.49","46.99","10.88M","0.47%"
"11/22/2022","47.11","47.13","47.40","46.91","11.68M","0.58%"
"11/21/2022","46.84","46.38","47.09","46.38","11.66M","0.73%"
"11/18/2022","46.50","46.72","46.77","45.97","10.52M","1.11%"
"11/17/2022","45.99","45.72","46.17","45.47","11.36M","-0.48%"
"11/16/2022","46.21","46.67","46.85","46.03","14.71M","-1.07%"
"11/15/2022","46.71","47.38","47.51","46.24","19.08M","-0.34%"
"11/14/2022","46.87","47.20","47.56","46.87","13.93M","-1.43%"
"11/11/2022","47.55","48.10","48.36","47.33","18.08M","-0.83%"
"11/10/2022","47.95","47.02","48.11","46.93","23.09M","4.31%"
"11/09/2022","45.97","46.80","47.00","45.95","18.32M","-2.56%"
"11/08/2022","47.18","47.25","47.47","46.72","14.84M","0.23%"
"11/07/2022","47.07","47.13","47.82","46.81","17.71M","0.71%"
"11/04/2022","46.74","46.33","46.91","45.90","27.08M","2.64%"
"11/03/2022","45.54","46.20","46.20","45.41","17.14M","-2.86%"
"11/02/2022","46.88","46.88","47.55","46.49","29.25M","-0.15%"
"11/01/2022","46.95","46.58","47.06","46.26","22.41M","2.09%"
"10/31/2022","45.99","46.14","46.52","45.97","14.00M","-0.78%"
"10/28/2022","46.35","45.91","46.49","45.47","14.99M","1.53%"
"10/27/2022","45.65","46.02","46.49","45.54","14.66M","-0.11%"
"10/26/2022","45.70","45.66","46.21","45.47","15.01M","0.73%"
"10/25/2022","45.37","44.78","45.60","44.37","16.36M","0.38%"
"10/24/2022","45.20","44.95","45.53","44.83","16.15M","0.83%"
"10/21/2022","44.83","43.64","44.88","43.57","18.63M","2.70%"
"10/20/2022","43.65","43.67","44.43","43.50","17.57M","0.07%"
"10/19/2022","43.62","44.18","44.52","43.30","17.88M","-2.35%"
"10/18/2022","44.67","45.11","45.30","43.81","24.81M","1.62%"
"10/17/2022","43.96","44.65","45.19","43.89","24.51M","1.83%"
"10/14/2022","43.17","43.80","44.92","43.13","33.98M","1.86%"
"10/13/2022","42.38","39.75","42.67","39.75","23.81M","4.62%"
"10/12/2022","40.51","40.24","41.22","39.96","16.47M","0.70%"
"10/11/2022","40.23","41.22","41.32","40.06","19.14M","-2.94%"
"10/10/2022","41.45","41.94","42.11","41.15","10.97M","-0.81%"
"10/07/2022","41.79","42.03","42.12","41.39","17.19M","-1.07%"
"10/06/2022","42.24","42.87","43.14","42.21","15.63M","-2.47%"
"10/05/2022","43.31","42.83","43.54","42.56","15.87M","-0.53%"
"10/04/2022","43.54","42.16","43.59","42.16","18.60M","4.71%"
"10/03/2022","41.58","41.29","41.80","40.64","16.83M","3.38%"
"09/30/2022","40.22","40.64","41.13","40.18","21.18M","-0.69%"
"09/29/2022","40.50","40.16","40.69","39.77","14.81M","-0.76%"
"09/28/2022","40.81","39.90","41.06","39.90","16.03M","1.95%"
"09/27/2022","40.03","40.21","40.59","39.41","17.54M","0.05%"
"09/26/2022","40.01","40.14","40.54","39.33","21.42M","-0.99%"
"09/23/2022","40.41","40.82","40.98","39.70","23.32M","-2.67%"
"09/22/2022","41.52","42.49","42.51","41.44","15.50M","-1.77%"
"09/21/2022","42.27","43.66","43.81","42.24","19.21M","-2.63%"
"09/20/2022","43.41","43.89","44.29","43.09","19.50M","-2.05%"
"09/19/2022","44.32","43.43","44.61","43.41","11.32M","0.86%"
"09/16/2022","43.94","43.70","44.06","43.33","21.24M","-0.45%"
"09/15/2022","44.14","43.40","44.69","43.35","13.17M","1.99%"
"09/14/2022","43.28","43.25","43.60","42.25","15.07M","0.14%"
"09/13/2022","43.22","44.35","44.53","43.04","21.12M","-5.07%"
"09/12/2022","45.53","45.68","46.13","45.26","12.13M","0.44%"
"09/09/2022","45.33","45.51","45.81","45.25","12.88M","0.22%"
"09/08/2022","45.23","43.62","45.26","43.34","18.50M","3.17%"
"09/07/2022","43.84","42.54","43.91","42.25","19.48M","2.24%"
"09/06/2022","42.88","43.71","43.88","42.35","14.71M","-1.15%"
"09/02/2022","43.38","44.30","44.80","43.17","13.03M","-0.73%"
"09/01/2022","43.70","43.66","43.74","42.80","13.17M","-0.02%"
"08/31/2022","43.71","44.28","44.59","43.60","22.61M","-0.97%"
"08/30/2022","44.14","44.26","44.44","43.55","14.37M","0.50%"
"08/29/2022","43.92","43.80","44.31","43.58","12.50M","-0.11%"
"08/26/2022","43.97","45.58","45.72","43.94","13.41M","-3.13%"
"08/25/2022","45.39","44.79","45.52","44.43","11.78M","1.68%"
"08/24/2022","44.64","44.33","44.70","44.02","11.71M","0.61%"
"08/23/2022","44.37","44.46","44.96","44.28","10.48M","-0.09%"
"08/22/2022","44.41","44.60","44.74","44.12","12.39M","-2.07%"
"08/19/2022","45.35","45.90","46.02","45.04","13.14M","-1.71%"
"08/18/2022","46.14","46.14","46.20","45.76","7.89M","0.00%"
"08/17/2022","46.14","45.72","46.31","45.55","13.15M","0.17%"
"08/16/2022","46.06","45.58","46.31","45.35","12.23M","0.68%"
"08/15/2022","45.75","45.41","45.81","44.91","11.07M","-0.41%"
"08/12/2022","45.94","45.52","45.96","45.19","10.71M","1.52%"
"08/11/2022","45.25","45.00","45.61","44.89","14.04M","2.08%"
"08/10/2022","44.33","44.04","44.70","44.04","14.04M","2.14%"
"08/09/2022","43.40","43.22","43.79","42.99","10.49M","0.49%"
"08/08/2022","43.19","43.97","44.19","43.13","12.88M","-1.30%"
"08/05/2022","43.76","42.58","44.29","42.53","16.02M","2.31%"
"08/04/2022","42.77","43.50","43.60","42.63","15.06M","-2.55%"
"08/03/2022","43.89","43.39","44.57","43.25","17.36M","2.36%"
"08/02/2022","42.88","43.49","43.54","42.86","17.76M","-1.52%"
"08/01/2022","43.54","43.44","44.15","43.16","13.67M","-0.75%"
"07/29/2022","43.87","43.31","44.35","43.31","17.51M","1.27%"
"07/28/2022","43.32","43.55","43.83","42.71","14.53M","-0.89%"
