"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","154.97","156.32","158.33","154.90","622.25K","-2.50%"
"02/02/2023","158.95","157.71","160.74","157.21","1.20M","1.57%"
"02/01/2023","156.50","155.00","158.34","151.69","1.00M","0.58%"
"01/31/2023","155.59","156.00","157.12","152.00","1.66M","1.34%"
"01/30/2023","153.54","152.09","156.49","151.01","1.06M","-0.36%"
"01/27/2023","154.10","149.03","154.78","148.28","621.50K","2.69%"
"01/26/2023","150.07","151.80","153.40","149.45","674.67K","-1.29%"
"01/25/2023","152.03","151.20","153.56","150.75","436.78K","-0.46%"
"01/24/2023","152.73","151.68","153.78","151.25","372.86K","0.40%"
"01/23/2023","152.12","151.48","153.45","150.67","399.39K","0.86%"
"01/20/2023","150.82","146.39","150.94","144.51","517.19K","3.66%"
"01/19/2023","145.49","149.06","149.40","144.86","583.87K","-3.24%"
"01/18/2023","150.36","154.73","155.95","150.32","712.68K","-2.93%"
"01/17/2023","154.90","152.39","159.09","150.94","1.20M","0.40%"
"01/13/2023","154.29","151.92","155.32","151.92","344.51K","0.10%"
"01/12/2023","154.14","155.98","155.98","152.71","475.75K","-0.08%"
"01/11/2023","154.26","151.06","155.59","150.39","809.56K","-0.28%"
"01/10/2023","154.70","151.55","155.04","151.40","479.00K","1.55%"
"01/09/2023","152.34","152.00","155.11","151.50","545.19K","0.55%"
"01/06/2023","151.50","151.33","152.74","150.44","864.87K","1.16%"
"01/05/2023","149.76","146.49","150.00","145.23","619.03K","1.03%"
"01/04/2023","148.23","145.71","149.49","145.70","570.10K","3.13%"
"01/03/2023","143.73","144.12","145.01","142.14","512.02K","1.60%"
"12/30/2022","141.46","141.32","142.66","139.98","456.64K","-1.15%"
"12/29/2022","143.10","139.06","143.71","138.64","505.23K","3.43%"
"12/28/2022","138.35","141.85","142.49","138.34","371.32K","-2.36%"
"12/27/2022","141.69","141.29","142.50","140.77","404.19K","0.05%"
"12/23/2022","141.62","139.35","141.68","139.21","299.48K","1.45%"
"12/22/2022","139.59","139.21","139.71","136.25","798.34K","-1.15%"
"12/21/2022","141.21","138.44","141.74","138.44","752.18K","3.04%"
"12/20/2022","137.04","137.12","138.92","135.45","787.77K","-1.81%"
"12/19/2022","139.57","140.97","142.20","139.00","619.94K","-1.36%"
"12/16/2022","141.49","141.76","143.28","139.94","1.35M","-1.78%"
"12/15/2022","144.06","143.38","145.16","142.85","627.80K","-1.33%"
"12/14/2022","146.00","146.43","149.51","144.38","679.58K","-1.00%"
"12/13/2022","147.47","153.02","155.09","146.49","956.18K","0.01%"
"12/12/2022","147.45","144.09","147.73","142.70","654.38K","2.53%"
"12/09/2022","143.81","144.72","145.77","143.71","403.02K","-1.07%"
"12/08/2022","145.36","143.00","146.10","142.20","544.05K","1.82%"
"12/07/2022","142.76","142.00","145.02","140.74","603.01K","0.63%"
"12/06/2022","141.86","141.61","142.57","139.55","928.64K","0.28%"
"12/05/2022","141.46","144.16","144.49","141.10","495.44K","-3.19%"
"12/02/2022","146.12","146.21","147.54","143.85","783.69K","-1.95%"
"12/01/2022","149.02","147.97","151.12","147.50","539.90K","1.70%"
"11/30/2022","146.53","145.46","146.80","141.60","908.31K","0.38%"
"11/29/2022","145.98","143.05","146.43","142.70","834.62K","1.50%"
"11/28/2022","143.82","147.62","148.63","143.48","463.20K","-3.33%"
"11/25/2022","148.77","147.79","149.77","147.79","189.98K","0.28%"
"11/23/2022","148.35","147.29","149.09","146.59","301.49K","0.88%"
"11/22/2022","147.05","146.65","148.04","145.72","462.58K","1.25%"
"11/21/2022","145.24","146.42","146.93","143.98","513.71K","-1.48%"
"11/18/2022","147.42","149.81","150.30","145.13","526.25K","-0.27%"
"11/17/2022","147.82","145.16","147.92","142.50","551.78K","-1.00%"
"11/16/2022","149.32","152.80","152.99","147.68","623.84K","-3.36%"
"11/15/2022","154.51","156.49","158.01","152.12","631.54K","1.03%"
"11/14/2022","152.94","154.90","157.49","152.81","871.03K","-2.32%"
"11/11/2022","156.58","149.60","157.50","149.32","944.49K","4.63%"
"11/10/2022","149.65","143.75","150.47","143.75","1.11M","8.40%"
"11/09/2022","138.05","140.56","143.24","137.70","765.12K","-2.45%"
"11/08/2022","141.51","138.00","142.12","137.66","1.13M","3.46%"
