"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","151.06","150.97","152.09","149.68","1.88M","0.48%"
"02/02/2023","150.34","153.29","153.31","149.00","3.55M","-2.64%"
"02/01/2023","154.41","150.10","155.66","148.55","3.56M","-0.21%"
"01/31/2023","154.73","153.34","154.73","152.56","1.63M","1.06%"
"01/30/2023","153.10","152.70","155.00","152.70","1.74M","0.32%"
"01/27/2023","152.61","152.01","153.03","151.26","1.37M","0.07%"
"01/26/2023","152.50","153.43","153.56","152.24","953.63K","-0.40%"
"01/25/2023","153.11","151.62","153.25","151.14","1.81M","0.55%"
"01/24/2023","152.27","152.83","153.04","134.20","1.23M","-0.26%"
"01/23/2023","152.67","152.80","153.17","151.13","1.29M","0.40%"
"01/20/2023","152.06","150.73","152.36","149.12","1.46M","1.04%"
"01/19/2023","150.49","151.00","151.77","150.25","1.63M","-0.27%"
"01/18/2023","150.90","154.36","155.15","150.56","1.58M","-2.25%"
"01/17/2023","154.37","154.76","155.49","154.15","1.99M","0.12%"
"01/13/2023","154.19","152.19","154.31","151.80","2.66M","0.99%"
"01/12/2023","152.68","156.98","157.41","152.13","2.17M","-2.75%"
"01/11/2023","156.99","156.74","157.74","155.28","1.65M","1.34%"
"01/10/2023","154.91","155.11","155.80","151.74","2.40M","-2.10%"
"01/09/2023","158.24","161.12","161.72","157.98","1.74M","-0.78%"
"01/06/2023","159.49","155.58","159.87","155.30","1.75M","3.65%"
"01/05/2023","153.88","156.07","156.48","153.56","1.47M","-1.93%"
"01/04/2023","156.91","157.17","157.60","155.85","1.24M","-0.08%"
"01/03/2023","157.03","157.41","157.51","155.35","1.12M","0.10%"
"12/30/2022","156.88","158.50","158.58","155.55","946.28K","-1.25%"
"12/29/2022","158.87","158.23","159.29","157.53","1.35M","0.95%"
"12/28/2022","157.37","159.30","159.96","157.24","803.29K","-1.34%"
"12/27/2022","159.50","159.65","159.90","158.28","998.36K","0.18%"
"12/23/2022","159.21","157.43","159.40","156.99","632.89K","0.94%"
"12/22/2022","157.73","158.60","159.17","156.15","1.48M","-0.97%"
"12/21/2022","159.27","158.84","159.87","158.02","1.38M","0.94%"
"12/20/2022","157.79","156.85","158.60","156.14","1.35M","0.13%"
"12/19/2022","157.59","160.12","160.47","154.43","2.39M","-2.60%"
"12/16/2022","161.79","161.83","162.40","159.46","2.91M","-0.97%"
"12/15/2022","163.37","165.41","165.55","162.90","1.85M","-1.90%"
"12/14/2022","166.54","166.78","169.45","165.87","1.62M","-0.13%"
"12/13/2022","166.75","168.06","168.86","165.84","1.41M","-0.02%"
"12/12/2022","166.79","168.33","168.96","165.54","1.44M","-0.02%"
"12/09/2022","166.83","167.06","168.44","166.30","1.61M","0.49%"
"12/08/2022","166.01","165.15","166.85","165.10","1.15M","0.48%"
"12/07/2022","165.21","165.46","166.83","164.83","1.26M","-0.21%"
"12/06/2022","165.56","167.49","167.70","164.79","1.88M","-1.33%"
"12/05/2022","167.79","168.27","168.93","167.09","1.73M","-1.19%"
"12/02/2022","169.81","166.60","169.90","166.32","1.37M","1.19%"
"12/01/2022","167.82","168.65","170.70","167.70","1.80M","0.06%"
"11/30/2022","167.72","164.68","167.72","164.20","3.26M","1.60%"
"11/29/2022","165.08","164.00","165.16","163.46","2.09M","0.30%"
"11/28/2022","164.59","163.51","165.15","163.51","2.25M","0.08%"
"11/25/2022","164.46","164.76","165.28","163.79","911.13K","0.27%"
"11/23/2022","164.01","163.25","164.43","162.87","1.72M","0.47%"
"11/22/2022","163.24","163.27","164.23","162.31","1.00M","0.27%"
"11/21/2022","162.80","162.07","164.05","161.54","1.45M","1.01%"
"11/18/2022","161.18","160.55","161.60","159.84","1.50M","1.31%"
"11/17/2022","159.09","157.77","159.81","156.70","1.23M","0.64%"
"11/16/2022","158.08","157.56","160.27","157.21","1.96M","0.63%"
"11/15/2022","157.09","158.85","159.51","154.57","2.02M","-0.32%"
"11/14/2022","157.59","158.69","160.40","157.58","1.78M","-0.36%"
"11/11/2022","158.16","161.33","161.70","156.07","2.36M","-1.90%"
"11/10/2022","161.22","161.30","161.69","157.75","1.79M","1.91%"
"11/09/2022","158.20","159.81","160.92","158.07","1.39M","-0.90%"
"11/08/2022","159.64","156.95","160.13","156.31","1.36M","1.46%"
"11/07/2022","157.35","156.54","157.81","155.88","1.20M","1.01%"
"11/04/2022","155.77","158.06","158.79","153.94","1.66M","-0.87%"
"11/03/2022","157.13","154.50","158.85","153.87","1.69M","1.23%"
"11/02/2022","155.22","156.18","159.58","155.22","1.72M","-0.83%"
"11/01/2022","156.52","159.05","160.05","155.65","2.24M","-1.17%"
"10/31/2022","158.37","157.76","160.52","157.01","2.79M","0.29%"
"10/28/2022","157.91","157.50","158.00","156.30","2.38M","-0.25%"
"10/27/2022","158.30","160.19","161.95","157.71","2.40M","-1.04%"
"10/26/2022","159.97","166.79","167.53","159.69","2.92M","-3.08%"
"10/25/2022","165.05","163.54","165.23","163.10","2.08M","1.45%"
"10/24/2022","162.69","162.16","164.17","161.68","2.09M","1.79%"
"10/21/2022","159.83","158.57","160.68","157.24","1.49M","0.35%"
"10/20/2022","159.28","162.44","162.55","158.63","1.30M","-1.37%"
"10/19/2022","161.50","160.00","161.63","159.57","1.21M","0.24%"
"10/18/2022","161.12","160.34","161.63","159.26","1.34M","2.09%"
"10/17/2022","157.82","156.64","158.61","156.42","1.37M","2.00%"
"10/14/2022","154.73","158.89","159.32","154.12","1.41M","-1.68%"
"10/13/2022","157.38","151.49","157.81","151.22","1.83M","1.96%"
"10/12/2022","154.35","157.10","157.32","154.31","1.35M","-1.23%"
"10/11/2022","156.27","155.13","157.38","154.88","1.64M","0.50%"
"10/10/2022","155.50","155.93","156.52","154.12","1.42M","0.17%"
"10/07/2022","155.24","158.00","158.79","154.73","1.96M","-2.61%"
"10/06/2022","159.40","165.13","165.75","158.88","3.01M","-4.34%"
"10/05/2022","166.63","167.00","168.19","166.43","1.19M","-0.92%"
"10/04/2022","168.18","166.65","169.26","166.36","1.64M","1.87%"
"10/03/2022","165.09","161.62","165.52","161.35","1.62M","3.05%"
"09/30/2022","160.21","162.38","162.83","160.09","1.99M","-1.05%"
"09/29/2022","161.91","164.58","164.79","160.79","1.85M","-1.68%"
"09/28/2022","164.67","163.97","165.79","162.16","2.61M","0.89%"
"09/27/2022","163.22","165.69","165.73","162.10","2.51M","-1.21%"
"09/26/2022","165.22","165.50","166.61","164.41","1.88M","-0.31%"
