"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","272.88","275.95","276.49","269.55","466.33K","-3.19%"
"02/02/2023","281.88","275.00","283.51","275.00","942.20K","3.79%"
"02/01/2023","271.59","266.99","273.25","263.68","408.65K","2.26%"
"01/31/2023","265.60","262.54","265.64","258.95","746.40K","1.44%"
"01/30/2023","261.82","264.56","267.52","261.08","435.76K","-2.53%"
"01/27/2023","268.62","269.62","272.28","267.11","423.64K","-0.54%"
"01/26/2023","270.09","263.72","270.64","262.36","666.82K","3.69%"
"01/25/2023","260.47","255.29","260.51","253.43","465.92K","0.83%"
"01/24/2023","258.33","260.95","260.95","255.70","447.28K","-2.19%"
"01/23/2023","264.11","258.42","265.51","256.95","597.75K","1.76%"
"01/20/2023","259.55","256.31","259.60","254.26","515.15K","1.87%"
"01/19/2023","254.78","253.24","257.09","248.55","476.18K","0.11%"
"01/18/2023","254.51","254.02","258.73","252.86","915.89K","0.58%"
"01/17/2023","253.04","249.24","253.34","247.64","649.42K","0.93%"
"01/13/2023","250.70","246.17","252.28","245.63","774.87K","1.05%"
"01/12/2023","248.09","250.67","250.67","241.99","423.73K","-1.30%"
"01/11/2023","251.35","250.49","253.76","248.95","558.39K","2.20%"
"01/10/2023","245.93","241.32","249.88","241.07","537.64K","2.16%"
"01/09/2023","240.73","236.12","242.24","235.41","644.90K","3.54%"
"01/06/2023","232.50","235.38","236.86","225.66","755.90K","-0.51%"
"01/05/2023","233.70","237.45","239.37","233.28","516.77K","-3.09%"
"01/04/2023","241.14","238.54","243.19","236.82","661.23K","2.87%"
"01/03/2023","234.41","238.31","240.89","231.77","432.26K","-0.40%"
"12/30/2022","235.35","234.99","236.28","231.26","247.80K","-1.52%"
"12/29/2022","238.98","233.95","242.37","233.95","376.66K","3.35%"
"12/28/2022","231.24","237.82","239.56","230.66","298.87K","-2.32%"
"12/27/2022","236.73","234.83","237.64","231.56","340.75K","0.68%"
"12/23/2022","235.13","235.00","235.75","232.16","336.95K","-0.06%"
"12/22/2022","235.26","231.71","235.81","229.14","348.59K","0.25%"
"12/21/2022","234.68","230.41","236.66","229.99","376.71K","3.02%"
"12/20/2022","227.79","227.02","229.65","224.38","520.06K","-0.19%"
"12/19/2022","228.23","226.11","229.90","224.15","558.50K","0.94%"
"12/16/2022","226.10","234.01","235.92","225.24","1.59M","-4.63%"
"12/15/2022","237.08","239.48","240.35","235.70","636.95K","-2.67%"
"12/14/2022","243.58","248.00","251.00","240.50","858.02K","-3.30%"
"12/13/2022","251.90","250.27","255.30","249.34","572.05K","4.40%"
"12/12/2022","241.28","239.78","242.56","237.39","462.30K","0.95%"
"12/09/2022","239.01","232.65","242.11","231.50","691.26K","1.26%"
"12/08/2022","236.03","234.78","237.60","233.31","708.52K","0.06%"
"12/07/2022","235.89","234.71","236.88","230.80","469.74K","0.38%"
"12/06/2022","234.99","238.27","238.97","234.50","608.86K","-1.86%"
"12/05/2022","239.44","239.94","241.80","236.26","601.65K","-2.01%"
"12/02/2022","244.35","235.58","246.84","235.58","896.80K","0.96%"
"12/01/2022","242.02","236.34","243.03","232.96","618.18K","3.14%"
"11/30/2022","234.66","224.11","234.92","222.48","925.02K","4.99%"
"11/29/2022","223.50","223.16","225.68","221.82","314.83K","-0.30%"
"11/28/2022","224.18","224.86","226.27","222.12","555.87K","-1.09%"
"11/25/2022","226.65","227.80","228.11","223.48","362.59K","-0.62%"
"11/23/2022","228.06","228.97","232.21","227.35","545.88K","-0.21%"
"11/22/2022","228.53","225.10","228.53","220.80","1.28M","1.46%"
"11/21/2022","225.25","224.66","226.23","222.00","1.03M","0.11%"
"11/18/2022","225.00","226.00","226.17","219.24","1.77M","1.38%"
"11/17/2022","221.93","237.31","237.31","221.87","1.78M","-7.57%"
"11/16/2022","240.10","248.27","249.17","238.57","547.17K","-3.06%"
"11/15/2022","247.69","249.10","252.58","245.91","565.65K","2.22%"
"11/14/2022","242.31","248.89","249.95","242.31","890.57K","-3.44%"
"11/11/2022","250.93","243.59","253.53","242.75","962.88K","3.37%"
"11/10/2022","242.74","234.65","243.04","232.05","610.28K","9.58%"
"11/09/2022","221.51","222.90","226.20","220.84","499.15K","-1.36%"
"11/08/2022","224.56","226.52","232.05","222.92","690.85K","-0.61%"
"11/07/2022","225.94","217.36","226.15","215.20","758.65K","4.80%"
"11/04/2022","215.59","211.96","215.79","206.99","774.02K","2.99%"
"11/03/2022","209.34","212.86","215.10","208.79","998.23K","-4.64%"
"11/02/2022","219.53","227.79","228.02","219.13","962.62K","-4.34%"
"11/01/2022","229.50","230.16","231.40","224.77","954.00K","-0.26%"
"10/31/2022","230.10","223.74","231.39","222.09","1.16M","2.04%"
"10/28/2022","225.51","218.30","227.20","218.30","1.29M","1.93%"
"10/27/2022","221.23","207.50","230.64","206.19","2.37M","-13.04%"
"10/26/2022","254.40","250.12","260.47","250.01","1.00M","2.08%"
"10/25/2022","249.21","239.89","249.38","236.78","830.63K","5.32%"
"10/24/2022","236.62","235.13","236.62","231.06","890.38K","1.61%"
"10/21/2022","232.88","232.88","237.81","227.21","856.19K","0.68%"
"10/20/2022","231.30","242.46","243.49","230.83","889.73K","-5.06%"
"10/19/2022","243.64","257.30","258.53","242.95","1.06M","-6.87%"
"10/18/2022","261.61","262.56","264.69","257.77","677.11K","2.46%"
"10/17/2022","255.32","253.86","258.75","252.99","417.39K","3.15%"
"10/14/2022","247.53","252.11","253.32","245.71","859.95K","-0.75%"
"10/13/2022","249.41","232.89","250.38","231.92","1.03M","4.30%"
"10/12/2022","239.12","241.31","242.22","238.92","356.03K","-0.23%"
"10/11/2022","239.68","245.00","245.01","236.89","780.74K","-2.50%"
"10/10/2022","245.82","251.09","251.09","245.74","278.26K","-1.60%"
"10/07/2022","249.82","252.84","252.84","247.77","522.89K","-2.51%"
"10/06/2022","256.26","258.74","259.92","255.45","739.75K","-1.31%"
"10/05/2022","259.67","257.59","261.68","255.04","355.15K","-0.57%"
"10/04/2022","261.15","259.44","262.45","258.76","474.60K","2.04%"
"10/03/2022","255.93","249.05","258.05","245.37","439.09K","4.00%"
"09/30/2022","246.08","251.88","254.51","245.80","535.36K","-2.07%"
"09/29/2022","251.27","250.27","252.51","247.61","395.58K","-0.26%"
"09/28/2022","251.93","248.04","253.38","246.58","476.27K","2.25%"
"09/27/2022","246.39","255.69","256.18","244.71","456.51K","-2.55%"
"09/26/2022","252.83","253.22","258.04","251.18","730.49K","-0.55%"
