"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","252.39","252.82","254.38","250.86","576.72K","-0.93%"
"02/02/2023","254.76","255.00","256.80","250.95","408.22K","0.60%"
"02/01/2023","253.23","251.55","255.18","249.25","391.95K","-0.38%"
"01/31/2023","254.19","250.88","254.43","249.46","575.17K","1.75%"
"01/30/2023","249.81","250.52","252.33","249.32","405.31K","-0.32%"
"01/27/2023","250.61","252.57","252.74","250.17","397.47K","-1.14%"
"01/26/2023","253.50","254.49","255.00","252.58","403.07K","-0.03%"
"01/25/2023","253.57","251.21","253.84","250.57","478.12K","0.33%"
"01/24/2023","252.74","253.74","254.68","252.18","456.34K","-0.34%"
"01/23/2023","253.60","252.99","255.07","251.53","426.10K","0.22%"
"01/20/2023","253.05","252.16","253.74","249.64","481.25K","0.53%"
"01/19/2023","251.72","249.53","252.77","249.38","443.33K","0.17%"
"01/18/2023","251.29","254.12","254.49","250.68","445.77K","-0.36%"
"01/17/2023","252.20","255.14","255.97","251.17","501.27K","-0.96%"
"01/13/2023","254.65","252.56","254.84","251.49","330.95K","-0.03%"
"01/12/2023","254.73","257.02","257.85","254.02","471.82K","-0.95%"
"01/11/2023","257.18","253.44","257.53","252.33","409.61K","1.50%"
"01/10/2023","253.38","254.76","255.22","251.15","465.16K","-0.66%"
"01/09/2023","255.06","253.94","258.43","252.94","548.32K","0.64%"
"01/06/2023","253.43","249.25","254.78","248.02","610.80K","2.84%"
"01/05/2023","246.44","246.03","247.25","244.80","328.85K","-0.02%"
"01/04/2023","246.49","247.05","248.21","244.77","533.25K","0.53%"
"01/03/2023","245.18","244.98","246.04","242.38","583.95K","0.25%"
"12/30/2022","244.58","243.41","245.27","241.80","221.17K","-0.27%"
"12/29/2022","245.24","241.90","245.97","240.36","245.46K","1.45%"
"12/28/2022","241.74","244.98","246.29","241.73","257.20K","-1.16%"
"12/27/2022","244.58","245.50","246.86","243.63","245.56K","0.08%"
"12/23/2022","244.39","242.63","244.70","241.09","251.44K","0.86%"
"12/22/2022","242.30","242.16","243.05","239.47","360.87K","-0.53%"
"12/21/2022","243.60","240.67","244.30","240.67","423.57K","1.56%"
"12/20/2022","239.85","239.59","242.39","239.26","385.08K","0.23%"
"12/19/2022","239.31","239.99","243.18","238.00","537.66K","-0.52%"
"12/16/2022","240.56","241.15","241.79","237.10","1.54M","-1.58%"
"12/15/2022","244.42","244.15","252.99","242.21","871.56K","-0.49%"
"12/14/2022","245.63","247.18","251.10","244.43","560.88K","-0.57%"
"12/13/2022","247.04","250.16","250.38","245.29","500.71K","0.81%"
"12/12/2022","245.06","245.78","245.78","243.24","522.52K","0.22%"
"12/09/2022","244.53","245.66","246.51","244.41","334.18K","-0.50%"
"12/08/2022","245.75","244.76","247.13","243.47","453.26K","0.64%"
"12/07/2022","244.19","246.74","248.61","243.85","488.59K","-1.06%"
"12/06/2022","246.80","246.68","247.22","245.39","515.39K","0.06%"
"12/05/2022","246.66","246.86","249.27","245.75","784.14K","-0.36%"
"12/02/2022","247.56","244.07","247.90","243.73","520.12K","0.39%"
"12/01/2022","246.61","247.97","249.00","245.32","562.51K","0.18%"
"11/30/2022","246.16","236.84","247.00","236.76","905.50K","3.21%"
"11/29/2022","238.50","240.00","242.09","237.19","570.50K","-0.45%"
"11/28/2022","239.57","241.73","244.14","239.37","691.87K","-1.82%"
"11/25/2022","244.02","242.33","244.16","241.18","214.64K","1.12%"
"11/23/2022","241.31","238.67","242.09","238.18","451.82K","0.92%"
"11/22/2022","239.12","237.74","239.58","235.63","453.63K","0.92%"
"11/21/2022","236.93","232.37","237.05","232.32","635.01K","1.80%"
"11/18/2022","232.73","234.49","236.51","229.75","1.30M","0.53%"
"11/17/2022","231.50","230.73","232.87","229.28","514.84K","-0.83%"
"11/16/2022","233.44","233.13","235.35","232.62","685.99K","0.19%"
"11/15/2022","233.00","234.50","236.16","231.90","582.73K","0.26%"
"11/14/2022","232.40","232.61","236.93","232.27","845.54K","-0.64%"
"11/11/2022","233.89","232.12","234.59","229.95","795.72K","0.76%"
"11/10/2022","232.12","230.47","232.49","228.77","488.18K","3.87%"
"11/09/2022","223.48","224.28","226.86","222.82","380.51K","-0.98%"
"11/08/2022","225.69","224.84","227.79","223.27","420.55K","0.45%"
"11/07/2022","224.69","222.00","225.62","220.42","511.66K","1.57%"
"11/04/2022","221.21","220.33","221.99","216.99","427.50K","1.49%"
"11/03/2022","217.96","218.71","222.41","217.89","421.07K","-0.99%"
"11/02/2022","220.13","220.29","224.70","219.04","837.33K","-0.48%"
"11/01/2022","221.20","219.09","221.95","217.61","742.39K","1.37%"
"10/31/2022","218.21","219.36","221.10","216.75","905.70K","-1.43%"
"10/28/2022","221.37","210.84","221.79","210.21","735.52K","4.08%"
"10/27/2022","212.69","211.11","215.90","208.78","906.38K","0.82%"
"10/26/2022","210.95","212.91","214.97","209.70","1.04M","-0.25%"
"10/25/2022","211.47","212.45","213.70","209.32","600.65K","-0.32%"
"10/24/2022","212.15","212.02","214.94","211.97","565.15K","0.68%"
"10/21/2022","210.72","205.35","211.13","203.60","699.11K","2.55%"
"10/20/2022","205.48","208.38","208.48","205.12","435.45K","-1.48%"
"10/19/2022","208.56","208.93","210.77","206.70","378.71K","-0.84%"
"10/18/2022","210.33","210.50","211.20","207.15","564.46K","1.57%"
"10/17/2022","207.07","205.33","209.02","205.24","472.78K","2.49%"
"10/14/2022","202.03","209.42","210.45","201.57","786.96K","-2.43%"
"10/13/2022","207.06","200.49","208.74","197.30","1.01M","2.99%"
"10/12/2022","201.05","202.42","203.73","200.87","494.72K","-0.51%"
"10/11/2022","202.08","206.00","206.56","201.49","680.92K","-1.86%"
"10/10/2022","205.92","205.28","207.03","204.89","514.84K","0.48%"
"10/07/2022","204.93","208.60","210.05","203.87","458.90K","-2.70%"
"10/06/2022","210.62","211.02","212.75","210.00","375.71K","-0.97%"
"10/05/2022","212.68","211.28","213.70","209.79","484.17K","-0.20%"
"10/04/2022","213.11","209.08","213.50","208.02","501.16K","3.12%"
"10/03/2022","206.67","201.80","208.07","201.02","474.79K","2.85%"
"09/30/2022","200.94","203.02","204.33","200.71","560.26K","-0.66%"
"09/29/2022","202.28","204.24","204.83","201.59","532.52K","-2.24%"
"09/28/2022","206.91","204.55","207.76","200.64","956.19K","1.65%"
"09/27/2022","203.55","204.07","206.07","200.78","616.16K","0.01%"
"09/26/2022","203.52","200.62","205.12","200.10","920.16K","1.59%"
"09/23/2022","200.34","202.78","206.66","197.37","701.72K","-1.50%"
"09/22/2022","203.40","205.00","205.26","201.13","459.90K","-0.79%"
"09/21/2022","205.02","209.19","213.41","205.00","515.46K","-1.60%"
"09/20/2022","208.35","206.36","209.82","202.32","974.57K","-0.20%"
"09/19/2022","208.76","205.64","209.09","204.24","568.27K","1.34%"
"09/16/2022","206.00","207.65","207.65","203.87","1.11M","-0.36%"
"09/15/2022","206.75","207.00","209.01","205.91","607.21K","-0.12%"
"09/14/2022","207.00","206.97","207.49","205.07","526.78K","0.34%"
"09/13/2022","206.29","210.92","211.86","205.50","513.15K","-4.07%"
"09/12/2022","215.04","213.87","216.01","213.67","530.15K","0.58%"
"09/09/2022","213.80","211.98","214.35","211.05","305.12K","1.21%"
"09/08/2022","211.24","208.51","211.83","207.50","439.12K","0.47%"
"09/07/2022","210.25","206.27","210.36","205.24","436.74K","2.60%"
"09/06/2022","204.92","204.98","206.82","202.94","465.42K","0.08%"
"09/02/2022","204.75","208.36","210.46","204.30","656.75K","-1.13%"
"09/01/2022","207.09","206.26","207.24","203.45","482.99K","0.13%"
"08/31/2022","206.83","207.33","208.59","205.41","1.10M","0.26%"
"08/30/2022","206.30","207.20","207.20","204.08","429.62K","-0.04%"
"08/29/2022","206.39","207.33","208.51","204.90","486.16K","-0.68%"
"08/26/2022","207.81","213.52","213.52","207.71","899.67K","-2.46%"
"08/25/2022","213.06","210.27","213.19","209.24","291.31K","1.58%"
"08/24/2022","209.74","208.49","210.28","207.66","375.61K","0.38%"
"08/23/2022","208.94","210.91","211.79","208.79","274.34K","-1.27%"
"08/22/2022","211.62","214.64","214.77","211.40","622.66K","-2.15%"
"08/19/2022","216.26","220.70","221.43","216.25","459.61K","-2.04%"
"08/18/2022","220.77","219.87","220.93","218.03","320.27K","0.78%"
"08/17/2022","219.07","217.68","220.00","216.95","358.93K","-0.18%"
"08/16/2022","219.46","219.69","221.00","218.22","437.41K","-0.16%"
"08/15/2022","219.81","219.36","220.83","216.61","526.85K","0.00%"
"08/12/2022","219.80","218.34","219.82","216.29","386.43K","1.55%"
"08/11/2022","216.45","215.99","217.51","212.38","620.49K","0.50%"
"08/10/2022","215.37","214.79","215.56","213.16","520.31K","1.90%"
