"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","35.27","35.22","35.53","35.03","3.79M","-1.23%"
"02/02/2023","35.71","35.40","36.00","35.38","4.56M","2.00%"
"02/01/2023","35.01","34.20","35.03","33.98","5.20M","1.68%"
"01/31/2023","34.43","33.87","34.45","33.75","4.21M","1.86%"
"01/30/2023","33.80","34.06","34.27","33.57","5.74M","-1.52%"
"01/27/2023","34.32","33.65","34.39","33.35","5.08M","1.99%"
"01/26/2023","33.65","33.17","33.70","33.04","5.51M","2.75%"
"01/25/2023","32.75","32.03","32.81","31.75","4.99M","1.71%"
"01/24/2023","32.20","32.30","32.51","31.84","3.07M","-0.49%"
"01/23/2023","32.36","32.35","32.62","32.12","5.05M","1.03%"
"01/20/2023","32.03","31.17","32.26","30.95","18.34M","2.99%"
"01/19/2023","31.10","31.20","31.43","30.83","3.67M","-0.73%"
"01/18/2023","31.33","31.66","31.94","31.19","5.07M","-1.20%"
"01/17/2023","31.71","31.89","32.13","31.62","3.63M","-0.35%"
"01/13/2023","31.82","31.56","31.91","31.29","3.80M","-0.96%"
"01/12/2023","32.13","32.15","32.30","31.49","4.62M","0.59%"
"01/11/2023","31.94","31.03","32.01","30.93","4.75M","3.50%"
"01/10/2023","30.86","31.30","31.30","30.36","3.69M","-1.78%"
"01/09/2023","31.42","31.60","31.89","31.42","2.51M","-0.60%"
"01/06/2023","31.61","30.57","31.75","30.54","2.89M","4.32%"
"01/05/2023","30.30","30.75","30.85","30.20","2.97M","-2.98%"
"01/04/2023","31.23","31.06","31.44","31.02","3.29M","1.20%"
"01/03/2023","30.86","31.25","31.42","30.63","2.94M","-0.45%"
"12/30/2022","31.00","31.03","31.18","30.61","3.17M","-1.02%"
"12/29/2022","31.32","30.84","31.38","30.84","1.85M","2.25%"
"12/28/2022","30.63","31.41","31.60","30.59","2.24M","-2.67%"
"12/27/2022","31.47","31.37","31.67","31.27","1.89M","-0.06%"
"12/23/2022","31.49","31.05","31.55","30.91","1.93M","1.42%"
"12/22/2022","31.05","30.80","31.07","30.34","2.63M","-0.19%"
"12/21/2022","31.11","31.04","31.44","30.75","2.67M","0.65%"
"12/20/2022","30.91","30.64","31.10","30.40","2.77M","0.26%"
"12/19/2022","30.83","31.29","31.60","30.58","3.04M","-1.50%"
"12/16/2022","31.30","31.28","31.60","30.81","7.85M","-1.45%"
"12/15/2022","31.76","32.11","32.19","31.34","3.75M","-2.79%"
"12/14/2022","32.67","32.73","33.21","32.53","4.73M","-0.67%"
"12/13/2022","32.89","33.46","33.91","32.68","4.30M","1.76%"
"12/12/2022","32.32","31.58","32.42","31.42","4.45M","2.67%"
"12/09/2022","31.48","31.62","31.99","31.47","2.12M","-0.60%"
"12/08/2022","31.67","31.80","32.10","31.53","2.74M","-0.06%"
"12/07/2022","31.69","31.04","31.88","30.90","3.51M","2.16%"
"12/06/2022","31.02","31.55","31.64","30.74","3.40M","-1.59%"
"12/05/2022","31.52","32.05","32.05","31.33","4.55M","-2.78%"
"12/02/2022","32.42","31.80","32.49","31.59","2.57M","0.43%"
"12/01/2022","32.28","32.82","33.07","31.94","4.20M","-1.31%"
"11/30/2022","32.71","31.72","32.84","31.14","7.35M","2.99%"
"11/29/2022","31.76","31.32","31.86","31.03","2.99M","1.76%"
"11/28/2022","31.21","32.00","32.12","31.11","2.71M","-3.40%"
"11/25/2022","32.31","32.15","32.49","32.15","1.13M","0.50%"
"11/23/2022","32.15","32.10","32.33","31.94","1.63M","-0.50%"
"11/22/2022","32.31","32.25","32.42","32.06","3.10M","0.91%"
