"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","67.98","69.04","69.30","67.01","2.94M","-2.27%"
"02/02/2023","69.56","69.55","70.21","68.87","3.07M","-0.07%"
"02/01/2023","69.61","68.38","69.89","68.12","2.99M","1.22%"
"01/31/2023","68.77","68.24","68.85","67.49","2.91M","0.98%"
"01/30/2023","68.10","68.13","68.78","67.94","3.09M","-0.48%"
"01/27/2023","68.43","68.48","69.02","67.81","3.50M","-0.54%"
"01/26/2023","68.80","67.68","69.48","67.68","3.70M","0.35%"
"01/25/2023","68.56","68.36","68.56","67.45","2.53M","0.32%"
"01/24/2023","68.34","68.01","68.64","67.28","2.03M","0.49%"
"01/23/2023","68.01","68.10","68.70","67.70","2.53M","-0.79%"
"01/20/2023","68.55","67.67","68.61","66.95","2.82M","0.81%"
"01/19/2023","68.00","68.67","68.81","67.89","2.12M","-1.11%"
"01/18/2023","68.76","71.09","71.13","68.64","2.86M","-3.28%"
"01/17/2023","71.09","70.99","71.67","70.69","2.81M","-0.11%"
"01/13/2023","71.17","71.61","71.79","70.73","2.62M","-1.08%"
"01/12/2023","71.95","72.63","72.92","71.78","3.10M","-1.14%"
"01/11/2023","72.78","72.27","72.97","72.26","2.85M","0.93%"
"01/10/2023","72.11","71.81","72.19","71.47","2.96M","0.18%"
"01/09/2023","71.98","70.98","72.49","70.94","2.69M","0.97%"
"01/06/2023","71.29","70.15","71.58","70.07","2.98M","2.96%"
"01/05/2023","69.24","69.92","70.46","68.98","2.10M","-2.02%"
"01/04/2023","70.67","70.41","71.23","70.13","2.27M","0.86%"
"01/03/2023","70.07","69.81","70.50","68.82","2.68M","-0.06%"
"12/30/2022","70.11","70.90","71.07","69.51","1.60M","-1.35%"
"12/29/2022","71.07","70.89","71.51","70.87","1.40M","0.71%"
"12/28/2022","70.57","71.28","71.62","70.54","1.51M","-1.40%"
"12/27/2022","71.57","70.99","71.71","70.58","1.58M","0.90%"
"12/23/2022","70.93","69.94","70.95","69.83","1.20M","1.29%"
"12/22/2022","70.03","70.12","70.29","68.79","1.87M","-0.54%"
"12/21/2022","70.41","69.71","70.46","69.55","1.77M","1.32%"
"12/20/2022","69.49","69.49","69.81","68.84","2.19M","0.13%"
"12/19/2022","69.40","69.93","70.50","68.97","2.15M","-0.74%"
"12/16/2022","69.92","70.26","70.31","68.76","6.75M","-0.99%"
"12/15/2022","70.62","70.96","71.22","70.25","3.27M","-0.88%"
"12/14/2022","71.25","71.84","72.51","70.78","2.55M","-0.49%"
"12/13/2022","71.60","72.44","72.99","70.84","2.87M","0.01%"
"12/12/2022","71.59","70.51","71.61","69.97","1.92M","2.51%"
"12/09/2022","69.84","69.67","70.40","69.47","3.79M","0.04%"
"12/08/2022","69.81","68.75","69.97","68.57","2.14M","1.36%"
"12/07/2022","68.87","69.53","69.81","68.51","2.66M","-0.65%"
"12/06/2022","69.32","68.68","69.40","68.58","2.53M","0.93%"
"12/05/2022","68.68","68.66","68.98","68.42","2.14M","-0.67%"
"12/02/2022","69.14","69.25","69.78","68.47","2.81M","-1.50%"
"12/01/2022","70.19","70.82","71.73","70.08","2.52M","-0.04%"
"11/30/2022","70.22","68.75","70.57","68.52","4.91M","1.99%"
"11/29/2022","68.85","69.21","69.26","68.25","1.87M","-0.78%"
"11/28/2022","69.39","69.27","69.70","68.64","2.20M","-0.34%"
"11/25/2022","69.63","69.47","69.90","69.27","1.19M","0.62%"
"11/23/2022","69.20","68.68","69.23","68.47","1.95M","0.51%"
"11/22/2022","68.85","69.00","69.62","68.64","2.63M","0.25%"
"11/21/2022","68.68","67.93","69.16","67.93","2.88M","0.44%"
"11/18/2022","68.38","67.43","68.49","67.43","2.92M","1.85%"
"11/17/2022","67.14","67.45","67.91","66.89","2.88M","-1.73%"
"11/16/2022","68.32","67.78","68.68","67.64","3.86M","1.38%"
"11/15/2022","67.39","67.33","67.68","66.63","4.58M","0.84%"
