"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","111.92","111.90","114.11","111.56","20.23M","0.69%"
"02/02/2023","111.15","114.85","115.07","109.83","24.46M","-3.13%"
"02/01/2023","114.74","115.83","117.38","113.34","19.40M","-1.09%"
"01/31/2023","116.01","112.10","116.40","110.43","27.86M","2.16%"
"01/30/2023","113.56","115.09","115.49","113.15","18.51M","-1.77%"
"01/27/2023","115.61","116.95","117.67","115.39","15.18M","-1.83%"
"01/26/2023","117.76","114.72","117.78","114.33","20.91M","4.02%"
"01/25/2023","113.21","113.23","113.65","111.39","11.73M","-0.53%"
"01/24/2023","113.81","99.23","126.54","99.23","13.52M","0.93%"
"01/23/2023","112.76","113.64","114.59","112.64","16.50M","-0.52%"
"01/20/2023","113.35","111.36","113.44","110.61","16.52M","1.82%"
"01/19/2023","111.32","110.07","112.13","109.58","12.92M","0.64%"
"01/18/2023","110.61","113.26","114.12","110.40","16.38M","-2.05%"
"01/17/2023","112.93","113.41","114.08","112.67","16.53M","-0.19%"
"01/13/2023","113.15","113.11","113.49","112.16","12.01M","-0.06%"
"01/12/2023","113.22","111.82","113.74","111.74","15.35M","1.66%"
"01/11/2023","111.37","110.99","111.45","109.08","16.69M","1.16%"
"01/10/2023","110.09","109.79","110.33","108.00","15.07M","1.49%"
"01/09/2023","108.47","111.64","111.64","107.81","17.94M","-1.86%"
"01/06/2023","110.53","110.08","111.99","109.67","16.35M","1.21%"
"01/05/2023","109.21","106.34","109.95","106.31","15.92M","2.24%"
"01/04/2023","106.82","104.80","107.15","104.76","18.01M","0.29%"
"01/03/2023","106.51","109.78","110.02","105.49","14.94M","-3.44%"
"12/30/2022","110.30","108.61","110.50","108.61","11.80M","1.01%"
"12/29/2022","109.20","107.99","109.72","107.99","10.45M","0.76%"
"12/28/2022","108.38","109.91","110.00","107.90","10.55M","-1.64%"
"12/27/2022","110.19","109.27","110.46","108.83","11.70M","1.39%"
"12/23/2022","108.68","106.95","108.74","106.90","11.54M","2.64%"
"12/22/2022","105.88","107.89","108.19","104.10","13.18M","-2.02%"
"12/21/2022","108.06","108.29","108.58","107.16","13.54M","1.28%"
"12/20/2022","106.69","105.17","107.51","105.07","14.67M","1.45%"
"12/19/2022","105.17","105.26","106.20","104.38","13.37M","0.45%"
"12/16/2022","104.70","103.69","105.58","103.13","54.60M","-0.70%"
"12/15/2022","105.44","105.33","106.17","103.70","15.32M","-0.96%"
"12/14/2022","106.46","107.99","108.30","105.75","17.60M","-0.74%"
"12/13/2022","107.25","107.80","108.54","107.02","23.72M","1.09%"
"12/12/2022","106.09","103.83","106.24","103.58","19.46M","2.46%"
"12/09/2022","103.54","104.59","105.95","103.30","21.30M","-0.84%"
"12/08/2022","104.42","106.28","106.79","103.71","20.99M","0.74%"
"12/07/2022","103.65","103.78","104.85","102.37","19.66M","-0.22%"
"12/06/2022","103.88","105.90","107.04","103.14","21.41M","-2.78%"
"12/05/2022","106.85","110.70","111.36","105.94","19.12M","-2.74%"
"12/02/2022","109.86","109.51","111.71","109.20","15.25M","-0.85%"
"12/01/2022","110.80","111.64","112.07","110.18","14.40M","-0.48%"
"11/30/2022","111.34","111.54","111.90","109.78","23.16M","0.72%"
"11/29/2022","110.54","110.61","111.80","109.79","14.45M","0.66%"
"11/28/2022","109.81","110.66","111.46","109.62","23.02M","-3.00%"
"11/25/2022","113.21","113.88","114.61","113.06","7.14M","-0.35%"
"11/23/2022","113.61","112.32","113.95","112.10","11.55M","-0.50%"
"11/22/2022","114.18","112.21","114.47","111.43","17.72M","2.89%"
