"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","105.25","105.07","106.49","105.06","1.35M","-0.64%"
"02/02/2023","105.93","105.82","106.35","104.08","1.92M","0.96%"
"02/01/2023","104.92","103.08","105.70","101.90","2.27M","0.87%"
"01/31/2023","104.01","101.73","104.01","100.69","2.16M","2.88%"
"01/30/2023","101.10","102.00","102.37","100.77","2.16M","-1.29%"
"01/27/2023","102.42","101.00","103.22","100.58","1.88M","1.08%"
"01/26/2023","101.33","103.37","103.49","100.54","2.78M","-1.18%"
"01/25/2023","102.54","102.43","103.03","101.07","2.86M","-0.99%"
"01/24/2023","103.57","101.03","104.46","101.00","4.79M","2.12%"
"01/23/2023","101.42","100.66","101.90","97.29","11.61M","-7.95%"
"01/20/2023","110.18","109.07","110.22","108.20","1.24M","1.43%"
"01/19/2023","108.63","112.93","113.11","108.50","843.11K","-4.32%"
"01/18/2023","113.54","116.72","117.24","113.16","779.44K","-2.12%"
"01/17/2023","116.00","116.87","117.42","115.69","706.34K","-0.80%"
"01/13/2023","116.93","118.00","118.58","115.89","938.00K","0.64%"
"01/12/2023","116.19","115.32","116.63","114.24","679.29K","1.16%"
"01/11/2023","114.86","113.52","114.92","113.02","949.44K","1.70%"
"01/10/2023","112.94","111.38","113.15","111.38","493.79K","1.03%"
"01/09/2023","111.79","111.82","113.74","111.23","1.14M","0.47%"
"01/06/2023","111.27","108.93","111.86","108.29","636.24K","3.56%"
"01/05/2023","107.45","109.93","110.18","106.83","1.30M","-2.84%"
"01/04/2023","110.59","110.34","111.76","109.66","905.84K","-0.15%"
"01/03/2023","110.76","111.88","111.97","109.30","803.23K","0.17%"
"12/30/2022","110.57","110.80","111.32","109.56","548.89K","-0.96%"
"12/29/2022","111.64","109.90","112.26","109.24","516.31K","2.48%"
"12/28/2022","108.94","110.82","111.57","108.78","479.04K","-1.61%"
"12/27/2022","110.72","109.99","111.30","109.23","461.25K","0.90%"
"12/23/2022","109.73","109.61","110.19","109.06","321.09K","-0.07%"
"12/22/2022","109.81","109.93","110.07","107.25","662.94K","-1.21%"
"12/21/2022","111.15","109.16","111.17","108.80","719.68K","2.64%"
"12/20/2022","108.29","108.30","109.19","107.84","801.79K","-0.18%"
"12/19/2022","108.48","109.46","110.83","107.69","883.36K","-1.30%"
"12/16/2022","109.91","109.39","110.80","109.02","1.75M","-0.66%"
"12/15/2022","110.64","112.92","113.21","109.32","1.14M","-3.58%"
"12/14/2022","114.75","115.12","116.78","114.05","838.87K","-0.21%"
"12/13/2022","114.99","116.32","116.64","113.84","632.56K","1.50%"
"12/12/2022","113.29","111.78","113.35","110.95","856.56K","1.85%"
"12/09/2022","111.23","111.78","112.99","110.87","1.13M","-0.10%"
"12/08/2022","111.34","111.57","112.09","110.82","518.11K","0.32%"
"12/07/2022","110.98","110.82","112.04","110.70","459.35K","0.15%"
"12/06/2022","110.81","112.16","112.19","109.57","654.08K","-1.10%"
"12/05/2022","112.04","111.86","112.32","110.67","721.51K","-1.31%"
"12/02/2022","113.53","112.16","114.24","111.29","768.74K","-0.24%"
"12/01/2022","113.80","113.43","114.18","112.03","857.52K","1.29%"
"11/30/2022","112.35","109.66","112.72","108.63","2.23M","2.25%"
"11/29/2022","109.88","109.62","110.49","109.15","819.03K","0.25%"
"11/28/2022","109.61","112.46","112.68","108.81","1.18M","-3.43%"
"11/25/2022","113.50","113.74","114.17","113.41","539.55K","0.22%"
"11/23/2022","113.25","112.85","113.97","112.41","585.64K","0.60%"
"11/22/2022","112.58","112.56","113.43","111.89","509.87K","0.53%"
"11/21/2022","111.99","111.75","112.96","111.62","529.36K","-0.57%"
"11/18/2022","112.63","112.00","113.20","111.40","637.40K","1.66%"
"11/17/2022","110.79","110.49","111.63","109.44","587.32K","-1.44%"
"11/16/2022","112.41","113.21","113.98","112.26","917.28K","0.25%"
"11/15/2022","112.13","110.50","112.38","109.97","941.06K","2.89%"
"11/14/2022","108.98","110.79","111.11","108.83","1.01M","-2.00%"
"11/11/2022","111.20","111.60","113.08","111.10","722.55K","-0.48%"
"11/10/2022","111.74","109.17","111.94","109.09","811.73K","6.07%"
"11/09/2022","105.35","107.45","107.61","104.99","853.19K","-2.70%"
"11/08/2022","108.27","108.93","109.65","107.20","897.27K","-0.42%"
"11/07/2022","108.73","107.46","108.89","106.54","835.18K","1.42%"
"11/04/2022","107.21","108.56","108.90","105.92","1.04M","0.04%"
"11/03/2022","107.17","103.14","108.21","102.74","1.12M","2.78%"
"11/02/2022","104.27","105.60","107.75","103.92","1.53M","-1.20%"
"11/01/2022","105.54","106.73","107.51","102.88","1.76M","3.04%"
"10/31/2022","102.43","102.06","103.55","101.77","1.22M","-0.09%"
"10/28/2022","102.52","100.67","102.66","100.30","914.23K","1.96%"
"10/27/2022","100.55","99.80","101.77","99.61","1.04M","1.49%"
"10/26/2022","99.07","98.70","100.21","98.31","680.74K","0.87%"
"10/25/2022","98.22","95.82","98.33","95.82","738.59K","2.31%"
"10/24/2022","96.00","94.92","96.44","94.45","684.13K","2.28%"
"10/21/2022","93.86","91.07","94.08","90.51","911.35K","3.10%"
"10/20/2022","91.04","92.84","93.22","90.46","771.04K","-2.00%"
"10/19/2022","92.90","92.81","93.44","91.67","686.98K","-0.73%"
"10/18/2022","93.58","93.65","94.39","92.62","1.10M","3.35%"
"10/17/2022","90.55","88.15","90.83","88.00","1.10M","5.05%"
"10/14/2022","86.20","89.00","90.35","86.03","895.81K","-2.42%"
"10/13/2022","88.34","84.99","88.75","84.15","976.44K","1.28%"
"10/12/2022","87.22","89.83","89.83","87.17","873.09K","-2.06%"
"10/11/2022","89.05","88.35","89.93","87.55","710.03K","0.26%"
"10/10/2022","88.82","90.33","90.50","87.86","664.19K","-0.50%"
"10/07/2022","89.27","90.23","90.65","88.57","966.84K","-2.61%"
"10/06/2022","91.66","92.68","93.01","91.30","951.65K","-1.08%"
"10/05/2022","92.66","91.78","93.29","91.24","820.40K","-0.52%"
"10/04/2022","93.14","91.63","93.23","91.63","807.92K","3.26%"
"10/03/2022","90.20","88.27","90.69","87.79","1.02M","3.25%"
"09/30/2022","87.36","88.15","89.48","87.22","2.16M","-0.83%"
"09/29/2022","88.09","89.35","89.56","87.52","959.71K","-2.74%"
"09/28/2022","90.57","89.30","91.07","88.64","730.68K","2.50%"
"09/27/2022","88.36","89.81","90.20","87.40","878.63K","-0.60%"
"09/26/2022","88.89","89.59","90.86","88.56","916.35K","-1.08%"
"09/23/2022","89.86","89.83","90.50","88.37","815.52K","-0.93%"
"09/22/2022","90.70","93.19","93.65","90.66","832.79K","-2.87%"
"09/21/2022","93.38","95.76","97.45","93.38","876.60K","-1.54%"
"09/20/2022","94.84","95.54","95.84","93.71","1.53M","-1.69%"
"09/19/2022","96.47","92.68","96.77","92.59","1.22M","3.44%"
"09/16/2022","93.26","92.96","93.61","91.38","3.03M","-1.08%"
"09/15/2022","94.28","94.36","95.36","93.68","1.12M","-0.30%"
"09/14/2022","94.56","93.79","94.99","92.79","965.48K","0.90%"
"09/13/2022","93.72","95.17","95.40","93.38","1.01M","-3.98%"
"09/12/2022","97.60","97.13","97.69","96.48","1.08M","0.75%"
"09/09/2022","96.87","96.78","97.37","96.28","765.31K","0.46%"
"09/08/2022","96.43","94.86","96.82","94.52","930.80K","0.66%"
"09/07/2022","95.80","92.75","96.16","92.75","973.45K","3.57%"
"09/06/2022","92.50","91.49","92.64","90.89","1.03M","1.41%"
"09/02/2022","91.21","93.25","93.93","90.80","764.26K","-0.96%"
"09/01/2022","92.09","90.85","92.33","90.12","1.72M","1.09%"
"08/31/2022","91.10","91.69","92.76","90.59","1.27M","-0.27%"
"08/30/2022","91.35","92.55","92.55","90.70","643.69K","-0.76%"
"08/29/2022","92.05","92.50","93.14","91.51","872.48K","-0.99%"
"08/26/2022","92.97","98.04","98.04","92.79","628.66K","-4.70%"
"08/25/2022","97.55","96.60","97.57","96.16","486.98K","1.48%"
