"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","129.45","127.61","132.28","126.02","2.85M","1.60%"
"02/02/2023","127.41","128.59","128.83","126.33","3.50M","-0.31%"
"02/01/2023","127.80","128.52","129.89","125.65","2.40M","0.36%"
"01/31/2023","127.34","126.09","127.36","125.16","1.23M","1.20%"
"01/30/2023","125.83","125.41","126.11","125.18","2.08M","-0.04%"
"01/27/2023","125.88","125.50","126.56","124.04","1.39M","0.30%"
"01/26/2023","125.50","125.38","126.22","125.10","1.17M","0.48%"
"01/25/2023","124.90","124.03","125.58","123.65","1.17M","-0.46%"
"01/24/2023","125.48","125.94","126.28","124.66","1.32M","-0.37%"
"01/23/2023","125.94","124.99","127.16","124.99","2.27M","1.49%"
"01/20/2023","124.09","122.62","124.62","121.82","1.74M","1.75%"
"01/19/2023","121.95","121.45","122.50","120.29","1.29M","-0.11%"
"01/18/2023","122.08","123.14","123.85","121.97","1.48M","-0.76%"
"01/17/2023","123.01","123.35","123.38","122.41","2.00M","-0.30%"
"01/13/2023","123.38","122.95","123.71","122.04","1.67M","0.15%"
"01/12/2023","123.20","124.63","124.68","121.87","1.87M","-0.90%"
"01/11/2023","124.32","126.03","126.29","123.06","2.41M","-0.94%"
"01/10/2023","125.50","125.80","126.45","124.48","1.86M","-0.44%"
"01/09/2023","126.05","128.07","128.67","125.71","1.42M","0.28%"
"01/06/2023","125.70","126.15","127.21","122.71","2.35M","-0.30%"
"01/05/2023","126.08","129.04","130.08","125.72","2.23M","-1.85%"
"01/04/2023","128.46","128.52","129.36","127.51","1.38M","0.93%"
"01/03/2023","127.28","127.41","128.88","126.21","904.42K","-0.17%"
"12/30/2022","127.50","127.15","127.73","126.21","785.22K","-0.26%"
"12/29/2022","127.83","126.66","128.50","126.14","672.11K","1.46%"
"12/28/2022","125.99","127.44","128.52","125.78","735.27K","-1.01%"
"12/27/2022","127.28","127.00","127.79","126.17","737.66K","0.47%"
"12/23/2022","126.69","125.94","126.77","125.24","789.77K","-0.08%"
"12/22/2022","126.79","126.45","126.82","124.88","806.81K","-0.23%"
"12/21/2022","127.08","126.49","127.11","126.04","932.70K","1.32%"
"12/20/2022","125.43","124.96","126.29","124.22","1.03M","0.38%"
"12/19/2022","124.96","125.33","125.58","124.29","934.08K","-0.49%"
"12/16/2022","125.58","125.99","126.68","123.71","2.71M","-1.13%"
"12/15/2022","127.02","126.55","127.47","125.96","1.67M","-0.95%"
"12/14/2022","128.24","128.17","130.84","127.11","1.51M","-0.15%"
"12/13/2022","128.43","128.97","129.96","127.35","2.03M","1.82%"
"12/12/2022","126.13","124.37","126.20","123.67","1.71M","1.39%"
"12/09/2022","124.40","125.17","126.32","124.34","1.45M","-1.14%"
"12/08/2022","125.84","124.76","127.25","124.05","1.79M","1.33%"
"12/07/2022","124.19","121.92","124.22","121.77","1.76M","2.31%"
"12/06/2022","121.39","121.77","121.93","120.35","1.92M","-0.73%"
"12/05/2022","122.28","121.93","122.88","120.79","1.06M","-0.56%"
"12/02/2022","122.97","122.06","123.52","121.99","723.16K","-0.31%"
"12/01/2022","123.35","120.99","123.78","120.72","1.43M","2.71%"
"11/30/2022","120.10","119.48","120.14","117.54","1.22M","0.92%"
"11/29/2022","119.00","117.16","119.32","116.85","983.49K","1.13%"
"11/28/2022","117.67","118.14","119.26","117.20","1.21M","-1.29%"
"11/25/2022","119.21","118.45","119.54","118.32","427.93K","1.02%"
"11/23/2022","118.01","116.37","118.19","116.27","1.24M","2.32%"
"11/22/2022","115.33","114.52","115.46","113.26","834.22K","0.70%"
"11/21/2022","114.53","113.42","114.79","113.27","655.43K","0.39%"
"11/18/2022","114.09","113.61","114.51","112.44","770.46K","1.76%"
"11/17/2022","112.12","112.75","113.47","111.77","1.12M","-2.04%"
"11/16/2022","114.46","115.16","115.59","113.97","938.15K","-0.57%"
"11/15/2022","115.12","114.76","115.64","113.39","1.01M","1.60%"
"11/14/2022","113.31","114.80","115.82","113.28","1.18M","-1.95%"
"11/11/2022","115.56","113.54","115.97","113.08","1.56M","2.36%"
"11/10/2022","112.90","109.38","113.13","109.38","989.43K","6.74%"
"11/09/2022","105.77","105.61","107.32","105.00","1.45M","-0.43%"
"11/08/2022","106.23","107.28","108.29","105.44","927.83K","-1.21%"
"11/07/2022","107.53","105.56","107.57","105.36","1.32M","2.56%"
"11/04/2022","104.85","106.61","107.50","103.75","1.73M","-0.54%"
"11/03/2022","105.42","106.29","106.71","103.79","1.32M","-2.11%"
"11/02/2022","107.69","114.99","115.25","107.62","2.49M","-3.71%"
"11/01/2022","111.84","113.66","113.66","109.77","2.43M","-1.33%"
"10/31/2022","113.35","113.40","113.60","112.35","1.23M","-0.11%"
"10/28/2022","113.47","112.08","113.64","111.87","1.21M","1.71%"
"10/27/2022","111.56","113.00","113.00","111.00","1.05M","-0.63%"
"10/26/2022","112.27","111.54","113.74","111.36","902.16K","1.39%"
"10/25/2022","110.73","109.27","111.00","109.11","1.23M","1.56%"
"10/24/2022","109.03","108.55","109.14","107.43","778.97K","1.53%"
"10/21/2022","107.39","105.93","107.70","102.60","1.12M","1.00%"
"10/20/2022","106.33","108.57","108.87","106.08","915.01K","-1.66%"
